Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
google_google-api-java-client,com.google.api.client.googleapis.auth.oauth2,GoogleCredentialTest,testCreateDelegated,Long Statement,The length of the statement "GoogleCredential credential=new GoogleCredential.Builder().setServiceAccountId(serviceAccountEmail).setServiceAccountScopes(SCOPES).setServiceAccountPrivateKey(SecurityTestUtils.newRsaPrivateKey()).setTransport(transport).setJsonFactory(JSON_FACTORY).build();" is 259.,459
google_google-api-java-client,com.google.api.client.googleapis.auth.oauth2,GoogleCredentialTest,testBuilderUserAccount,Long Statement,The length of the statement "GoogleCredential credential=new GoogleCredential.Builder().setClientSecrets(clientId`clientSecret).setTransport(transport).setJsonFactory(JSON_FACTORY).build();" is 160.,494
google_google-api-java-client,com.google.api.client.googleapis.auth.oauth2,GoogleCredentialTest,testBuilderServiceAccount,Long Statement,The length of the statement "GoogleCredential credential=new GoogleCredential.Builder().setServiceAccountId(serviceAccountEmail).setServiceAccountScopes(SCOPES).setServiceAccountPrivateKey(SecurityTestUtils.newRsaPrivateKey()).setServiceAccountUser(delegateUser).setTransport(transport).setJsonFactory(JSON_FACTORY).build();" is 295.,525
google_google-api-java-client,com.google.api.client.googleapis.auth.oauth2,GoogleCredentialTest,testBuilderServiceAccount,Long Statement,The length of the statement "org.junit.Assert.assertArrayEquals(credential.getServiceAccountScopes().toArray()`newCredential.getServiceAccountScopes().toArray());" is 133.,525
google_google-api-java-client,com.google.api.client.googleapis.auth.oauth2,GoogleBrowserClientRequestUrlTest,testBuild,Long Statement,The length of the statement "assertEquals(EXPECTED`new GoogleBrowserClientRequestUrl("812741506391.apps.googleusercontent.com"`"https://oauth2-login-demo.appspot.com/oauthcallback"`Arrays.asList("https://www.googleapis.com/auth/userinfo.email"`"https://www.googleapis.com/auth/userinfo.profile")).setState("/profile").build());" is 298.,33
google_google-api-java-client,com.google.api.client.googleapis.auth.oauth2,GoogleAuthorizationCodeFlowTest,testBuilder,Long Statement,The length of the statement "GoogleAuthorizationCodeFlow.Builder builder=new GoogleAuthorizationCodeFlow.Builder(new MockHttpTransport()`new GsonFactory()`CLIENT_ID`CLIENT_SECRET`ImmutableList.of("https://www.googleapis.com/auth/userinfo.email"));" is 218.,32
google_google-api-java-client,com.google.api.client.googleapis.services,AbstractGoogleClientRequest,AbstractGoogleClientRequest,Long Parameter List,The method has 5 parameters. ,106
google_google-api-java-client,com.google.api.client.googleapis.services,AbstractGoogleClientRequest,buildHttpRequest,Complex Conditional,The conditional expression httpContent == null && (requestMethod.equals(HttpMethods.POST) || requestMethod.equals(HttpMethods.PUT) || requestMethod.equals(HttpMethods.PATCH)) is complex.,407
google_google-api-java-client,com.google.api.client.googleapis.services,AbstractGoogleClientRequest,buildHttpRequest,Long Statement,The length of the statement "final HttpRequest httpRequest=getAbstractGoogleClient().getRequestFactory().buildRequest(requestMethodToUse`buildHttpRequestUrl()`httpContent);" is 143.,407
google_google-api-java-client,com.google.api.client.googleapis.services,AbstractGoogleClientRequest,buildHttpRequest,Long Statement,The length of the statement "if (httpContent == null && (requestMethod.equals(HttpMethods.POST) || requestMethod.equals(HttpMethods.PUT) || requestMethod.equals(HttpMethods.PATCH))) {" is 154.,407
google_google-api-java-client,com.google.api.client.googleapis.services,AbstractGoogleClientRequest,executeUnparsed,Long Statement,The length of the statement "HttpRequest httpRequest=getAbstractGoogleClient().getRequestFactory().buildRequest(requestMethod`httpRequestUrl`httpContent);" is 125.,517
google_google-api-java-client,com.google.api.client.googleapis.services,AbstractGoogleClientRequest,checkRequiredParameter,Long Statement,The length of the statement "Preconditions.checkArgument(abstractGoogleClient.getSuppressRequiredParameterChecks() || value != null`"Required parameter %s must be specified"`name);" is 151.,684
google_google-api-java-client,com.google.api.client.googleapis.services,AbstractGoogleClient,AbstractGoogleClient,Long Identifier,The length of the field googleClientRequestInitializer is 30.,71
google_google-api-java-client,com.google.api.client.googleapis.services,AbstractGoogleClient,AbstractGoogleClient,Long Identifier,The length of the field suppressRequiredParameterChecks is 31.,71
