Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
google_google-api-java-client,com.google.api.client.googleapis.testing.json,GoogleJsonResponseExceptionFactoryTesting,newMock,Long Identifier,The length of the identifier otherServiceUnavaiableLowLevelResponse is 38.,37
google_google-api-java-client,com.google.api.client.googleapis.testing.json,GoogleJsonResponseExceptionFactoryTesting,newMock,Long Identifier,The length of the identifier otherServiceUnavailableResponse is 31.,37
google_google-api-java-client,com.google.api.client.googleapis.testing.json,GoogleJsonResponseExceptionFactoryTesting,newMock,Long Statement,The length of the statement "MockLowLevelHttpResponse otherServiceUnavaiableLowLevelResponse=new MockLowLevelHttpResponse().setStatusCode(httpCode).setReasonPhrase(reasonPhrase).setContentType(Json.MEDIA_TYPE).setContent("{ \"error\": { \"errors\": [ { \"reason\": \"" + reasonPhrase + "\" } ]` "+ "\"code\": "+ httpCode+ " } }");" is 301.,37
google_google-api-java-client,com.google.api.client.googleapis.testing.json,GoogleJsonResponseExceptionFactoryTesting,newMock,Long Statement,The length of the statement "MockHttpTransport otherTransport=new MockHttpTransport.Builder().setLowLevelHttpResponse(otherServiceUnavaiableLowLevelResponse).build();" is 137.,37
google_google-api-java-client,com.google.api.client.googleapis.testing.json,GoogleJsonResponseExceptionFactoryTestingTest,testCreateException,Long Statement,The length of the statement "GoogleJsonResponseException exception=GoogleJsonResponseExceptionFactoryTesting.newMock(JSON_FACTORY`HTTP_CODE_NOT_FOUND`REASON_PHRASE_NOT_FOUND);" is 146.,34
google_google-api-java-client,com.google.api.client.googleapis.javanet,GoogleNetHttpTransport,newTrustedTransport,Long Statement,The length of the statement "return new NetHttpTransport.Builder().trustCertificates(GoogleUtils.getCertificateTrustStore()`mtlsKeyStore`mtlsKeyStorePassword).build();" is 138.,61
google_google-api-java-client,com.google.api.client.googleapis.notifications,TypedNotification,TypedNotification,Long Parameter List,The method has 5 parameters. ,36
google_google-api-java-client,com.google.api.client.googleapis.notifications,UnparsedNotification,UnparsedNotification,Long Parameter List,The method has 5 parameters. ,39
google_google-api-java-client,com.google.api.client.googleapis.notifications,StoredChannel,toString,Long Statement,The length of the statement "return Objects.toStringHelper(StoredChannel.class).add("notificationCallback"`getNotificationCallback()).add("clientToken"`getClientToken()).add("expiration"`getExpiration()).add("id"`getId()).add("topicId"`getTopicId()).toString();" is 232.,228
google_google-api-java-client,com.google.api.client.googleapis.notifications,AbstractNotification,AbstractNotification,Long Parameter List,The method has 5 parameters. ,64
google_google-api-java-client,com.google.api.client.googleapis.notifications,AbstractNotification,AbstractNotification,Long Statement,The length of the statement "this(source.getMessageNumber()`source.getResourceState()`source.getResourceId()`source.getResourceUri()`source.getChannelId());" is 127.,85
google_google-api-java-client,com.google.api.client.googleapis.notifications,AbstractNotification,toStringHelper,Long Statement,The length of the statement "return Objects.toStringHelper(this).add("messageNumber"`messageNumber).add("resourceState"`resourceState).add("resourceId"`resourceId).add("resourceUri"`resourceUri).add("channelId"`channelId).add("channelExpiration"`channelExpiration).add("channelToken"`channelToken).add("changed"`changed);" is 292.,103
google_google-api-java-client,com.google.api.client.googleapis.auth.oauth2,GoogleAuthorizationCodeTokenRequest,GoogleAuthorizationCodeTokenRequest,Long Parameter List,The method has 6 parameters. ,74
google_google-api-java-client,com.google.api.client.googleapis.auth.oauth2,GoogleAuthorizationCodeTokenRequest,GoogleAuthorizationCodeTokenRequest,Long Parameter List,The method has 7 parameters. ,100
google_google-api-java-client,com.google.api.client.googleapis.auth.oauth2,OAuth2Utils,runningOnComputeEngine,Empty catch clause,The method has an empty catch block.,71
