Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
orientechnologies_orientdb-lucene,com.orientechnologies.lucene,OLuceneIndexPlugin,startup,Long Statement,The length of the statement "OLogManager.instance().info(this`"Lucene index plugin installed and active. Lucene version: %s"`OLuceneIndexManagerAbstract.LUCENE_VERSION);" is 140.,45
orientechnologies_orientdb-lucene,com.orientechnologies.lucene,OLuceneIndexFactory,createIndex,Long Parameter List,The method has 7 parameters. ,85
orientechnologies_orientdb-lucene,com.orientechnologies.lucene,OLuceneIndexFactory,createIndex,Long Parameter List,The method has 6 parameters. ,136
orientechnologies_orientdb-lucene,com.orientechnologies.lucene,OLuceneIndexFactory,createLuceneIndex,Long Parameter List,The method has 5 parameters. ,141
orientechnologies_orientdb-lucene,com.orientechnologies.lucene,OLuceneIndexFactory,createLuceneIndex,Long Statement,The length of the statement "return new OLuceneFullTextIndex(name`indexType`LUCENE_ALGORITHM`new OLuceneIndexEngine<Set<OIdentifiable>>(new OLuceneFullTextIndexManager()`indexType)`valueContainerAlgorithm`metadata);" is 186.,141
orientechnologies_orientdb-lucene,com.orientechnologies.lucene,OLuceneIndexFactory,createLuceneIndex,Long Statement,The length of the statement "return new OLuceneSpatialIndex(name`indexType`LUCENE_ALGORITHM`new OLuceneIndexEngine<Set<OIdentifiable>>(new OLuceneSpatialIndexManager(OShapeFactoryImpl.INSTANCE)`indexType)`valueContainerAlgorithm`metadata);" is 210.,141
orientechnologies_orientdb-lucene,com.orientechnologies.lucene,OLuceneIndexEngine,OLuceneIndexEngine,Long Statement,The length of the statement "super(OGlobalConfiguration.ENVIRONMENT_CONCURRENT.getValueAsBoolean()`OGlobalConfiguration.MVRBTREE_TIMEOUT.getValueAsInteger()`true);" is 134.,42
orientechnologies_orientdb-lucene,com.orientechnologies.lucene,OLuceneIndexEngine,load,Long Parameter List,The method has 5 parameters. ,78
orientechnologies_orientdb-lucene,com.orientechnologies.lucene,OLuceneIndexEngine,iterateEntriesBetween,Long Parameter List,The method has 6 parameters. ,137
orientechnologies_orientdb-lucene,com.orientechnologies.lucene,OLuceneIndexType,createDeleteQuery,Long Statement,The length of the statement "booleanQuery.add(new TermQuery(new Term(s + OLuceneIndexManagerAbstract.STORED`values.get(s)))`BooleanClause.Occur.MUST);" is 121.,99
orientechnologies_orientdb-lucene,com.orientechnologies.lucene.utils,OLuceneIndexUtils,deleteFolderIfEmpty,Complex Conditional,The conditional expression f != null && f.listFiles() != null && f.listFiles().length == 0 is complex.,37
