Project Name,Package Name,Architecture Smell,Cause of the Smell
mapzen_on-the-road,com.mapzen.helpers,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RouteEngine; RouteListener; RouteEngineTest; RouteEngineTest.TestRouteListener]; [RouteEngine.RouteState]; [RouteEngine.Milestone]; [DistanceFormatter]; [CharStreams]; [GeometryHelper; GeometryHelperTest]; [ZoomController; ZoomControllerTest]; [ZoomController.DrivingSpeed]; [DistanceFormatterFeetTest]; [RouteEngineTest.TestRoute]; [DistanceFormatterConfigTest]; [DistanceFormatterMetersTest]. LCC (Lack of Component Cohesion) = 0.71
mapzen_on-the-road,com.mapzen.valhalla,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [LocationSerializer; JSON; RoutingService; LocationSerializerTest; JSONTest; RouterTest; TestHttpHandler; HttpHandler; RestAdapterFactory; HttpHandlerTest]; [JSON.CostingOptions]; [JSON.Location]; [JSON.DirectionOptions]; [TransitStopTest]; [RouteTest]; [TransitInfoTest]; [InstructionTest]. LCC (Lack of Component Cohesion) = 0.47
