Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
meltmedia_dropwizard-crypto,com.meltmedia.dropwizard.crypto,DecryptCommandTest,testDecryptionWithOtherKeys,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
meltmedia_dropwizard-crypto,com.meltmedia.dropwizard.crypto,JsonPointerEditorTest,shouldAllowRootNode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
meltmedia_dropwizard-crypto,com.meltmedia.dropwizard.crypto,JsonPointerEditorTest,shouldAllowRootNode,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.meltmedia.dropwizard.crypto.JsonPointerEditor.setValue; com.meltmedia.dropwizard.crypto.JsonPointerEditor.getRoot; com.meltmedia.dropwizard.crypto.JsonPointerEditor.getValue
