Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
bkimminich_kata-tcg,de.kimminich.kata.tcg,PlayerBuilder,Law of Demeter violation,The tool detected the smell in this method (anyPlayer) because the method voilates the law of Demeter. The long chain of method invocations is : de.kimminich.kata.tcg.PlayerBuilder.aPlayer; de.kimminich.kata.tcg.PlayerBuilder.build
bkimminich_kata-tcg,de.kimminich.kata.tcg,GameBuilder,Law of Demeter violation,The tool detected the smell in this method (anyGame) because the method voilates the law of Demeter. The long chain of method invocations is : de.kimminich.kata.tcg.GameBuilder.aGame; de.kimminich.kata.tcg.GameBuilder.build
