Project Name,Package Name,Architecture Smell,Cause of the Smell
idok_jscs-plugin,com.jscs,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.jscs; com.jscs.settings
idok_jscs-plugin,com.jscs,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.jscs.settings; com.jscs.utils
idok_jscs-plugin,com.jscs.settings,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.jscs.settings; com.jscs
