Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
holyeye_spring-trace,spring.trace.web,HttpReadUtils,getHttpBody,Long Statement,The length of the statement "log.warn("MultiReadHttpServletRequest 타입이 아닙니다. 필터를 설정하세요. requestType={} URL={}"`request.getClass()`getRequestURLWithQueryString(request));" is 140.,39
holyeye_spring-trace,spring.trace.web,HttpReadUtils,isFormUrlencoded,Long Identifier,The length of the field APPLICATION_FORM_URLENCODED_VALUE is 33.,62
holyeye_spring-trace,spring.trace.web,HttpReadUtils,getRequestURLWithQueryString,Magic Number,The method contains a magic number: 128,95
holyeye_spring-trace,spring.trace.web,TraceLogFilter,setErrorLogTypeByHttpStatus,Magic Number,The method contains a magic number: 400,99
holyeye_spring-trace,spring.trace.web,TraceLogFilter,setErrorLogTypeByHttpStatus,Magic Number,The method contains a magic number: 499,99
holyeye_spring-trace,spring.trace.web,TraceLogFilter,setErrorLogTypeByHttpStatus,Magic Number,The method contains a magic number: 500,99
holyeye_spring-trace,spring.trace.web,TraceLogFilter,setErrorLogTypeByHttpStatus,Magic Number,The method contains a magic number: 599,99
holyeye_spring-trace,spring.trace.web,TraceLogFilter,buildResponseLog,Long Statement,The length of the statement "return "[RES] host=" + request.getRemoteHost() + "` method="+ request.getMethod()+ "` url="+ HttpReadUtils.getRequestURLWithQueryString(request)+ "` status="+ response.getStatus()+ "` time="+ resultTime+ "ms` ex="+ e+ "\n";" is 223.,145
holyeye_spring-trace,spring.trace.testweb.controller,HelloController,exceptionCatch,Empty catch clause,The method has an empty catch block.,34
holyeye_spring-trace,spring.trace,SpringTraceAopInterceptor,replacePlaceholders,Complex Method,Cyclomatic complexity of the method is 12,60
holyeye_spring-trace,spring.trace,SpringTraceAopInterceptor,replacePlaceholders,Long Identifier,The length of the field PLACEHOLDER_RETURN_VALUE_CUSTOM is 31.,60
holyeye_spring-trace,spring.trace,SpringTraceAopInterceptor,replacePlaceholders,Long Parameter List,The method has 5 parameters. ,60
holyeye_spring-trace,spring.trace,SpringTraceAopInterceptor,replacePlaceholders,Long Statement,The length of the statement "matcher.appendReplacement(output`Matcher.quoteReplacement(StringUtils.arrayToCommaDelimitedString(methodInvocation.getArguments())));" is 133.,60
holyeye_spring-trace,spring.trace,SpringTraceAopInterceptor,appendArgumentTypes,Long Statement,The length of the statement "matcher.appendReplacement(output`Matcher.quoteReplacement(StringUtils.arrayToCommaDelimitedString(argumentTypeShortNames)));" is 124.,133
holyeye_spring-trace,spring.trace.configuration,TraceRegistrar,selectImports,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@75de7009,12
holyeye_spring-trace,spring.trace.configuration,SimpleTraceConfiguration,setImportMetadata,Long Statement,The length of the statement "this.annotationAttributes=AnnotationAttributes.fromMap(importMetadata.getAnnotationAttributes(EnableTrace.class.getName()`false));" is 130.,55
holyeye_spring-trace,spring.trace.configuration,SimpleTraceConfiguration,setImportMetadata,Long Statement,The length of the statement "Assert.notNull(this.annotationAttributes`"@EnableTrace is not present on importing class " + importMetadata.getClassName());" is 124.,55
holyeye_spring-trace,spring.trace.configuration,SimpleTraceConfiguration,packageTraceAdvisor,Long Statement,The length of the statement "DefaultPointcutAdvisor pointcutAdvisor=new DefaultPointcutAdvisor(resultPointcut`new SpringTraceAopInterceptor(traceLogManager));" is 129.,65
holyeye_spring-trace,spring.trace.configuration,SimpleTraceConfiguration,hasAnnotation,Empty catch clause,The method has an empty catch block.,114
