Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
stealthly_xml-avro,ly.stealth.xmlavro,SchemaBuilder,createTypeSchema,Long Statement,The length of the statement "if (type.getTypeCategory() == XSTypeDefinition.SIMPLE_TYPE) schema=Schema.create(getPrimitiveType((XSSimpleTypeDefinition)type));" is 129.,145
stealthly_xml-avro,ly.stealth.xmlavro,SchemaBuilder,isGroupTypeWithMultipleOccurs,Long Statement,The length of the statement "return type instanceof XSComplexTypeDefinition && isGroupTypeWithMultipleOccurs(((XSComplexTypeDefinition)type).getParticle());" is 127.,170
stealthly_xml-avro,ly.stealth.xmlavro,SchemaBuilder,isGroupTypeWithMultipleOccurs,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@286866cb,175
stealthly_xml-avro,ly.stealth.xmlavro,SchemaBuilder,createGroupFields,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@ce561cc,237
stealthly_xml-avro,ly.stealth.xmlavro,SchemaBuilder,createField,Long Parameter List,The method has 5 parameters. ,274
stealthly_xml-avro,ly.stealth.xmlavro,SchemaBuilder,createField,Long Statement,The length of the statement "List<Short> supportedTypes=Arrays.asList(XSConstants.ELEMENT_DECLARATION`XSConstants.ATTRIBUTE_DECLARATION`XSConstants.WILDCARD);" is 129.,274
stealthly_xml-avro,ly.stealth.xmlavro,SchemaBuilder,createField,Long Statement,The length of the statement "if (!supportedTypes.contains(source.getType())) throw new ConverterException("Invalid source object type " + source.getType());" is 127.,274
stealthly_xml-avro,ly.stealth.xmlavro,SchemaBuilder,validName,Empty catch clause,The method has an empty catch block.,319
stealthly_xml-avro,ly.stealth.xmlavro,DatumBuilder,createNodeDatum,Long Statement,The length of the statement "if (!Arrays.asList(Node.ELEMENT_NODE`Node.ATTRIBUTE_NODE).contains(source.getNodeType())) throw new IllegalArgumentException("Unsupported node type " + source.getNodeType());" is 174.,93
stealthly_xml-avro,ly.stealth.xmlavro,DatumBuilder,createUnionDatum,Magic Number,The method contains a magic number: 2,126
stealthly_xml-avro,ly.stealth.xmlavro,DatumBuilder,createRecord,Complex Method,Cyclomatic complexity of the method is 12,163
stealthly_xml-avro,ly.stealth.xmlavro,DatumBuilder,createRecord,Long Statement,The length of the statement "List<String> ignoredNamespaces=Arrays.asList("http://www.w3.org/2000/xmlns/"`"http://www.w3.org/2001/XMLSchema-instance");" is 122.,163
stealthly_xml-avro,ly.stealth.xmlavro,DatumBuilder,setFieldFromNode,Long Statement,The length of the statement "if (anyField == null) throw new ConverterException("Could not find field " + fieldName + " in Avro Schema "+ schema.getName()+ " ` neither as specific field nor 'any' element");" is 177.,212
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,basic,Long Statement,The length of the statement "String xsd="<xs:schema xmlns:xs='http://www.w3.org/2001/XMLSchema'>" + " <xs:element name='root' type='xs:string'/>" + "</xs:schema>";" is 134.,32
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,rootIntPrimitive,Magic Number,The method contains a magic number: 5,50
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,rootLongPrimitive,Magic Number,The method contains a magic number: 20,57
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,rootLongPrimitive,Magic Number,The method contains a magic number: 30,57
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,rootDoublePrimitive,Magic Number,The method contains a magic number: 999999999.999999999,63
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,rootDateTimePrimitive,Magic Number,The method contains a magic number: 1414681113000L,73
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,rootDateTimePrimitive,Magic Number,The method contains a magic number: 1410353913000L,73
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,rootDateTimePrimitive,Magic Number,The method contains a magic number: 1414681113000L,73
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,rootDateTimePrimitive,Magic Number,The method contains a magic number: 1410353913000L,73
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,rootPrimitiveWithType,Long Statement,The length of the statement "String xsd="<xs:schema xmlns:xs='http://www.w3.org/2001/XMLSchema'>" + " <xs:element name='value' type='" + xmlType + "'/>"+ "</xs:schema>";" is 140.,83
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,severalRoots,Long Statement,The length of the statement "String xsd="<xs:schema xmlns:xs='http://www.w3.org/2001/XMLSchema'>" + " <xs:element name='i' type='xs:int'/>" + " <xs:element name='r'>"+ " <xs:complexType>"+ " <xs:sequence>"+ " <xs:element name='s' type='xs:string'/>"+ " </xs:sequence>"+ " </xs:complexType>"+ " </xs:element>"+ "</xs:schema>";" is 296.,96
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,severalRoots,Magic Number,The method contains a magic number: 2,96
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,severalRoots,Magic Number,The method contains a magic number: 5,96
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,rootRecord,Long Statement,The length of the statement "String xsd="<xs:schema xmlns:xs='http://www.w3.org/2001/XMLSchema'>" + " <xs:element name='root'>" + " <xs:complexType>"+ " <xs:sequence>"+ " <xs:element name='i' type='xs:int'/>"+ " <xs:element name='s' type='xs:string'/>"+ " <xs:element name='d' type='xs:double'/>"+ " </xs:sequence>"+ " </xs:complexType>"+ " </xs:element>"+ "</xs:schema>";" is 343.,139
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,rootRecord,Magic Number,The method contains a magic number: 3,139
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,nestedRecursiveRecords,Long Statement,The length of the statement "String xsd="<xs:schema xmlns:xs='http://www.w3.org/2001/XMLSchema'>" + " <xs:complexType name='type'>" + " <xs:sequence>"+ " <xs:element name='node' type='type' minOccurs='0'/>"+ " </xs:sequence>"+ " </xs:complexType>"+ " <xs:element name='root' type='type'/>"+ "</xs:schema>";" is 277.,177
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,attributes,Long Statement,The length of the statement "String xsd="<xs:schema xmlns:xs='http://www.w3.org/2001/XMLSchema'>" + " <xs:element name='root'>" + " <xs:complexType>"+ " <xs:attribute name='required' use='required'/>"+ " <xs:attribute name='prohibited' use='prohibited'/>"+ " <xs:attribute name='optional' use='optional'/>"+ " </xs:complexType>"+ " </xs:element>"+ "</xs:schema>";" is 334.,204
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,attributes,Long Statement,The length of the statement "assertEquals(Arrays.asList(Schema.create(Schema.Type.NULL)`Schema.create(Schema.Type.STRING))`optional.schema().getTypes());" is 124.,204
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,uniqueFieldNames,Long Statement,The length of the statement "String xsd="<xs:schema xmlns:xs='http://www.w3.org/2001/XMLSchema'>" + " <xs:complexType name='type'>" + " <xs:sequence>"+ " <xs:element name='field' type='xs:string'/>"+ " </xs:sequence>"+ " <xs:attribute name='field' type='xs:string'/>"+ " </xs:complexType>"+ " <xs:element name='root' type='type'/>"+ "</xs:schema>";" is 319.,242
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,uniqueFieldNames,Magic Number,The method contains a magic number: 2,242
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,recordWithWildcardField,Long Statement,The length of the statement "String xsd="<xs:schema xmlns:xs='http://www.w3.org/2001/XMLSchema'>" + " <xs:complexType name='type'>" + " <xs:sequence>"+ " <xs:element name='field' type='xs:string'/>"+ " <xs:any/>"+ " </xs:sequence>"+ " </xs:complexType>"+ " <xs:element name='root' type='type'/>"+ "</xs:schema>";" is 283.,272
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,recordWithWildcardField,Long Statement,The length of the statement "@SuppressWarnings("unchecked") java.util.Map<String`String> map=(java.util.Map<String`String>)record.get(Source.WILDCARD);" is 122.,272
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,recordWithWildcardField,Magic Number,The method contains a magic number: 2,272
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,recordWithWildcardField,Magic Number,The method contains a magic number: 2,272
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,severalWildcards,Long Statement,The length of the statement "String xsd="<xs:schema xmlns:xs='http://www.w3.org/2001/XMLSchema'>" + " <xs:element name='root'>" + " <xs:complexType>"+ " <xs:sequence>"+ " <xs:any/>"+ " <xs:any/>"+ " </xs:sequence>"+ " </xs:complexType>"+ " </xs:element>"+ "</xs:schema>";" is 242.,317
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,optionalElementValues,Long Statement,The length of the statement "String xsd="<xs:schema xmlns:xs='http://www.w3.org/2001/XMLSchema'>" + " <xs:element name='root'>" + " <xs:complexType>"+ " <xs:sequence>"+ " <xs:element name='required' type='xs:string'/>"+ " <xs:element name='optional' type='xs:string' minOccurs='0'/>"+ " </xs:sequence>"+ " </xs:complexType>"+ " </xs:element>"+ "</xs:schema>";" is 330.,338
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,optionalElementValues,Long Statement,The length of the statement "assertEquals(Arrays.asList(Schema.create(Schema.Type.NULL)`Schema.create(Schema.Type.STRING))`optionalSchema.getTypes());" is 121.,338
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,optionalElementValues,Magic Number,The method contains a magic number: 2,338
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,array,Long Statement,The length of the statement "String xsd="<xs:schema xmlns:xs='http://www.w3.org/2001/XMLSchema'>" + " <xs:element name='root'>" + " <xs:complexType>"+ " <xs:sequence>"+ " <xs:element name='value' type='xs:string' maxOccurs='unbounded'/>"+ " </xs:sequence>"+ " </xs:complexType>"+ " </xs:element>"+ "</xs:schema>";" is 284.,382
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,choiceElements,Long Statement,The length of the statement "String xsd="<xs:schema xmlns:xs='http://www.w3.org/2001/XMLSchema'>" + " <xs:element name='root'>" + " <xs:complexType>"+ " <xs:choice>"+ " <xs:element name='s' type='xs:string'/>"+ " <xs:element name='i' type='xs:int'/>"+ " </xs:choice>"+ " </xs:complexType>"+ " </xs:element>"+ "</xs:schema>";" is 295.,410
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,choiceElements,Long Statement,The length of the statement "assertEquals(Arrays.asList(Schema.create(Schema.Type.NULL)`Schema.create(Schema.Type.STRING))`sField.schema().getTypes());" is 122.,410
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,choiceElements,Magic Number,The method contains a magic number: 2,410
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,arrayOfUnboundedChoiceElements,Long Statement,The length of the statement "String xsd="<xs:schema xmlns:xs='http://www.w3.org/2001/XMLSchema'>" + " <xs:element name='root'>" + " <xs:complexType>"+ " <xs:choice maxOccurs='unbounded'>"+ " <xs:element name='s' type='xs:string'/>"+ " <xs:element name='i' type='xs:int'/>"+ " </xs:choice>"+ " </xs:complexType>"+ " </xs:element>"+ "</xs:schema>";" is 317.,448
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,arrayOfChoiceElements,Long Statement,The length of the statement "String xsd="<xs:schema xmlns:xs='http://www.w3.org/2001/XMLSchema'>" + " <xs:element name='root'>" + " <xs:complexType>"+ " <xs:choice maxOccurs='3'>"+ " <xs:element name='s' type='xs:string'/>"+ " <xs:element name='i' type='xs:int'/>"+ " </xs:choice>"+ " </xs:complexType>"+ " </xs:element>"+ "</xs:schema>";" is 309.,467
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,arrayOfChoiceElements,Magic Number,The method contains a magic number: 2,467
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,arrayOfChoiceElements,Magic Number,The method contains a magic number: 2,467
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,arrayOfChoiceElements,Magic Number,The method contains a magic number: 2,467
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,arrayFromComplexTypeChoiceElements,Long Statement,The length of the statement "String xsd="<xs:schema xmlns:xs='http://www.w3.org/2001/XMLSchema'>" + " <xs:element name='root'>" + " <xs:complexType>"+ " <xs:choice maxOccurs='unbounded'>"+ " <xs:element name='s' type='xs:string'/>"+ " <xs:element name='i' type='xs:int'/>"+ " </xs:choice>"+ " </xs:complexType>"+ " </xs:element>"+ "</xs:schema>";" is 317.,503
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,arrayFromComplexTypeChoiceElements,Long Statement,The length of the statement "JSONAssert.assertEquals("{" + " 'type': 'array'`" + " 'items': {"+ " 'type': 'record'`"+ " 'name': 'AnonType_root'`"+ " 'fields': ["+ " {"+ " 'name': 's'`"+ " 'type': ['null'` 'string']"+ " }`"+ " {"+ " 'name': 'i'`"+ " 'type': ['null'` 'int']"+ " }"+ " ]"+ " }"+ "}"`schema.toString()`false);" is 293.,503
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,arrayFromComplexTypeSequenceOfChoiceElements,Long Statement,The length of the statement "String xsd="<xs:schema xmlns:xs='http://www.w3.org/2001/XMLSchema'>" + " <xs:element name='root'>" + " <xs:complexType>"+ " <xs:sequence>"+ " <xs:element name='s' type='xs:string'/>"+ " <xs:element name='i' type='xs:int'/>"+ " <xs:choice maxOccurs='2'>"+ " <xs:element name='x' type='xs:string'/>"+ " <xs:element name='y' type='xs:int'/>"+ " </xs:choice>"+ " </xs:sequence>"+ " </xs:complexType>"+ " </xs:element>"+ "</xs:schema>";" is 431.,554
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,arrayFromComplexTypeSequenceOfChoiceElements,Long Statement,The length of the statement "JSONAssert.assertEquals("{" + " 'type': 'record'`" + " 'fields': ["+ " {"+ " 'name': 's'`"+ " 'type': 'string'"+ " }`"+ " {"+ " 'name': 'i'`"+ " 'type': 'int'"+ " }`"+ " {"+ " 'name': 'type0'`"+ " 'type': {"+ " 'type': 'array'`"+ " 'items': {"+ " 'type': 'record'`"+ " 'name': 'type1'`"+ " 'fields': ["+ " {"+ " 'name': 'x'`"+ " 'type': ['null'`'string']"+ " }`"+ " {"+ " 'name': 'y'`"+ " 'type': ['null'`'int']"+ " }"+ " ]"+ " }"+ " }"+ " }"+ " ]"+ "}"`schema.toString()`false);" is 479.,554
stealthly_xml-avro,ly.stealth.xmlavro,ConverterTest,arrayFromComplexTypeSequenceOfChoiceElements,Long Statement,The length of the statement "JSONAssert.assertEquals("{" + " 's': 's'`" + " 'i': 1`"+ " 'type0': ["+ " {'x': 'x1'}`"+ " {'y': 2}"+ " ]"+ "}"`datum.toString()`false);" is 136.,554
stealthly_xml-avro,ly.stealth.xmlavro.simple,Converter,unwrapElement,Long Statement,The length of the statement "@SuppressWarnings("unchecked") GenericArray<GenericRecord> attrArray=(GenericArray<GenericRecord>)record.get("attributes");" is 123.,138
stealthly_xml-avro,ly.stealth.xmlavro.simple,Converter,main,Magic Number,The method contains a magic number: 3,175
stealthly_xml-avro,ly.stealth.xmlavro.simple,Converter,main,Magic Number,The method contains a magic number: 2,175
