Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
warmshowers_wsandroid,fi.bitrite.android.ws,NotificationScheduler,schedule,Long Statement,The length of the statement "PeriodicWorkRequest notificationWorkRequest=new PeriodicWorkRequest.Builder(NotificationWorker.class`2`TimeUnit.HOURS).setInitialDelay(3`TimeUnit.MINUTES).build();" is 163.,26
warmshowers_wsandroid,fi.bitrite.android.ws,NotificationScheduler,schedule,Magic Number,The method contains a magic number: 2,26
warmshowers_wsandroid,fi.bitrite.android.ws,NotificationScheduler,schedule,Magic Number,The method contains a magic number: 3,26
warmshowers_wsandroid,fi.bitrite.android.ws,NotificationScheduler,snoozeNotification,Magic Number,The method contains a magic number: 60,52
warmshowers_wsandroid,fi.bitrite.android.ws,NotificationScheduler,snoozeNotification,Magic Number,The method contains a magic number: 60,52
warmshowers_wsandroid,fi.bitrite.android.ws,NotificationScheduler,snoozeNotification,Magic Number,The method contains a magic number: 1000,52
warmshowers_wsandroid,fi.bitrite.android.ws,NotificationScheduler,snoozeNotification,Magic Number,The method contains a magic number: 21,52
warmshowers_wsandroid,fi.bitrite.android.ws,NotificationScheduler,snoozeNotification,Magic Number,The method contains a magic number: 7,52
warmshowers_wsandroid,fi.bitrite.android.ws,NotificationScheduler,snoozeNotification,Magic Number,The method contains a magic number: 24,52
warmshowers_wsandroid,fi.bitrite.android.ws,NotificationScheduler,snoozeNotification,Magic Number,The method contains a magic number: 24.0,52
warmshowers_wsandroid,fi.bitrite.android.ws,WSAndroidApplication,onCreate,Long Statement,The length of the statement "NotificationChannel channel=new NotificationChannel(NOTIFICATION_CHANNEL_ID`"Notifications"`NotificationManager.IMPORTANCE_DEFAULT);" is 132.,14
warmshowers_wsandroid,fi.bitrite.android.ws,NotificationWorker,doWork,Long Statement,The length of the statement "Log.d(TAG`String.format("Notification cool down period not yet reached (current: %d` min: %d)"`System.currentTimeMillis()`nextNotificationMs));" is 143.,24
warmshowers_wsandroid,fi.bitrite.android.ws,NotificationWorker,showNotification,Long Statement,The length of the statement "NotificationCompat.Builder builder=new NotificationCompat.Builder(context`WSAndroidApplication.NOTIFICATION_CHANNEL_ID).setSmallIcon(R.drawable.ic_bicycle_white_24dp).setContentTitle(context.getString(R.string.moving_out_notification_title)).setContentText(context.getString(R.string.moving_out_notification_text_short)).setStyle(new NotificationCompat.BigTextStyle().bigText(context.getString(R.string.moving_out_notification_text_short) + ".\n" + context.getString(R.string.moving_out_notification_text_long))).setOnlyAlertOnce(true).setContentIntent(clickPendingIntent).setDeleteIntent(snoozePendingIntent).setAutoCancel(true);" is 630.,50
warmshowers_wsandroid,fi.bitrite.android.ws.ui,ActivityMovingOut,onCreate,Long Statement,The length of the statement "makeExpandable(backstoryBody`findViewById(R.id.moving_out_backstory_title)`findViewById(R.id.moving_out_backstory_head)`findViewById(R.id.moving_out_backstory_expand_collapse));" is 177.,23
warmshowers_wsandroid,fi.bitrite.android.ws.ui,ActivityMovingOut,onCreate,Long Statement,The length of the statement "makeExpandable(whatToDoBody`findViewById(R.id.moving_out_what_to_do_title)`findViewById(R.id.moving_out_what_to_do_head)`findViewById(R.id.moving_out_what_to_do_expand_collapse));" is 179.,23
warmshowers_wsandroid,fi.bitrite.android.ws.ui,ActivityMovingOut,getFormattedText,Long Statement,The length of the statement "return Build.VERSION.SDK_INT >= Build.VERSION_CODES.N ? Html.fromHtml(text`Html.FROM_HTML_MODE_COMPACT) : Html.fromHtml(text);" is 126.,142
