Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
stephanenicolas_injectview,com.github.stephanenicolas.injectview.statement,FindStatement,checkNullable,Long Statement,The length of the statement "builder.append("if (").append(fieldName).append(" == null) {\n throw new RuntimeException(\"Field ").append(fieldName).append(" is null and is not @Nullable.\"); \n}\n");" is 170.,16
stephanenicolas_injectview,com.github.stephanenicolas.injectview.statement,FindStatement,appendAssignment,Long Statement,The length of the statement "return builder.append("this.").append(binding.getFieldName()).append(" = (").append(binding.getFieldTypeName()).append(") ");" is 125.,36
stephanenicolas_injectview,com.github.stephanenicolas.injectview.statement,FindFragmentStatement,append,Long Statement,The length of the statement "appendAssignment(builder).append(root).append('.').append(getFragmentManagerString).append('.').append(findFragmentString).append(";\n");" is 137.,34
stephanenicolas_injectview,com.github.stephanenicolas.injectview.binding,FieldBinding,FieldBinding,Long Parameter List,The method has 5 parameters. ,22
stephanenicolas_injectview,com.github.stephanenicolas.injectview.binding,ViewBinding,ViewBinding,Long Parameter List,The method has 5 parameters. ,7
stephanenicolas_injectview,com.github.stephanenicolas.injectview.binding,FragmentBinding,FragmentBinding,Long Parameter List,The method has 6 parameters. ,12
stephanenicolas_injectview,com.github.stephanenicolas.injectview,InjectViewProcessor,injectStuffInActivity,Long Statement,The length of the statement "builder.insertIntoClass(classToTransform).inMethodIfExists("onCreate").afterACallTo(insertionMethod).withBody(createInjectedBody(classToTransform`views`fragments`contentViewBinding)).elseCreateMethodIfNotExists("").doIt();" is 222.,126
stephanenicolas_injectview,com.github.stephanenicolas.injectview,InjectViewProcessor,injectStuffInFragment,Long Statement,The length of the statement "afterBurner.afterOverrideMethod(classToTransform`"onViewCreated"`createInjectedBody(classToTransform`views`fragments`null));" is 124.,165
stephanenicolas_injectview,com.github.stephanenicolas.injectview,InjectViewProcessor,injectStuffInView,Long Statement,The length of the statement "afterBurner.afterOverrideMethod(classToTransform`"onFinishInflate"`createInjectedBody(classToTransform`viewBindings`new ArrayList<FragmentBinding>()`null));" is 156.,179
stephanenicolas_injectview,com.github.stephanenicolas.injectview,InjectViewProcessor,injectStuffInClass,Long Statement,The length of the statement "constructor.insertBeforeBody(createInjectedBodyWithParam(constructor.getParameterTypes()`indexValidParam`views`fragments));" is 123.,192
stephanenicolas_injectview,com.github.stephanenicolas.injectview,InjectViewProcessor,injectStuffInClass,Long Statement,The length of the statement "log.warn("No suitable constructor was found in class {}. Add a constructor with a single argument : Activity` Fragment or View. Don't use non static inner classes."`clazz.getName());" is 182.,192
stephanenicolas_injectview,com.github.stephanenicolas.injectview,InjectViewProcessor,createOnCreateMethod,Long Statement,The length of the statement "return "public void onCreate(android.os.Bundle savedInstanceState) { \n" + "super.onCreate(savedInstanceState);\n" + createInjectedBody(clazz`views`fragments`contentViewBinding) + "}";" is 184.,218
stephanenicolas_injectview,com.github.stephanenicolas.injectview,InjectViewProcessor,createInjectedBody,Complex Conditional,The conditional expression isActivity || isFragment || isSupportFragment is complex.,279
stephanenicolas_injectview,com.github.stephanenicolas.injectview,InjectViewProcessorForViewsWithFragmentTest,shouldInjectView_whenUsingAtContentView_withId_withoutOnViewCreated,Long Identifier,The length of the field testFragmentWithoutOnViewCreated is 32.,36
stephanenicolas_injectview,com.github.stephanenicolas.injectview,InjectViewProcessorForViewsWithFragmentTest,shouldInjectView_whenUsingAtContentView_withTag_withoutOnViewCreated,Long Identifier,The length of the field testFragmentWithoutOnViewCreated is 32.,66
stephanenicolas_injectview,com.github.stephanenicolas.injectview,InjectViewProcessorForViewsWithActivityTest,shouldInjectView_whenUsingAtContentView_withId,Long Statement,The length of the statement "TestActivityWithContentViewAndId activity=Robolectric.buildActivity(TestActivityWithContentViewAndId.class).create().get();" is 123.,51
stephanenicolas_injectview,com.github.stephanenicolas.injectview,InjectViewProcessorForViewsWithActivityTest,shouldInjectView_whenUsingAtContentView_withTag,Long Statement,The length of the statement "TestActivityWithContentViewAndTag activity=Robolectric.buildActivity(TestActivityWithContentViewAndTag.class).create().get();" is 125.,64
stephanenicolas_injectview,com.github.stephanenicolas.injectview,InjectViewProcessorForViewsWithActivityTest,shouldInjectView_whenUsingAtContentView_withId_withoutOnCreate,Long Statement,The length of the statement "TestActivityWithContentViewAndIdWithoutOnCreate activity=Robolectric.buildActivity(TestActivityWithContentViewAndIdWithoutOnCreate.class).create().get();" is 153.,77
stephanenicolas_injectview,com.github.stephanenicolas.injectview,InjectViewProcessorForViewsWithActivityTest,shouldInjectView_whenUsingAtContentView_withTag_withoutOnCreate,Long Statement,The length of the statement "TestActivityWithContentViewAndTagWithoutOnCreate activity=Robolectric.buildActivity(TestActivityWithContentViewAndTagWithoutOnCreate.class).create().get();" is 155.,90
