Project Name,Package Name,Architecture Smell,Cause of the Smell
christoffer_pycharm-pyxl,com.christofferklang.pyxl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PyxlColorSettingsPage; PyxlHighlighterColors; PyxlHighlighter; PyxlTokenTypes; PyxlModuleReference; PyxlElementTypes; PyxlDialectTokenContributor]; [PyxlHighlighterFactory]; [PyxlFormattingModelBuilder]. LCC (Lack of Component Cohesion) = 0.33
christoffer_pycharm-pyxl,com.christofferklang.pyxl.parsing,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PyxlHighlightingLexer; PyxlLexer]; [PyxlHighlightingLexer.state]; [PyxlParser]; [PyxlParserDefinition]; [PyxlParsingContext; PyxlExpressionParsing]; [PyxlExpressionParsing.PyxlParsingException]; [PyxlIndentingLexer]. LCC (Lack of Component Cohesion) = 0.78
