Repo,HWD,GS,ED,LDV,Total
mpetazzoni_ttorrent,77,65,13,96,251
Graphify_graphify,0,41,4,0,45
jbake-org_jbake,0,123,7,0,130
andrewgaul_s3proxy,11,51,2,1,65
apache_storm,1176,2208,330,628,4342
palominolabs_jvm-ssh-groovy-shell,0,0,0,0,0
jai-imageio_jai-imageio-jpeg2000,46,225,21,246,538
Cube-Space_Yamler,5,11,0,0,16
lumifyio_lumify,0,681,103,0,784
apache_incubator-reef,0,773,177,2,952
linkedin_Cubert,0,541,37,0,578
renepickhardt_generalized-language-modeling-toolkit,20,0,1,0,21
NLPchina_nlp-lang,15,38,6,0,59
kkapelon_java-testing-with-spock,0,0,0,0,0
jordw_heftydb,0,27,15,0,42
prometheus_jmx_exporter,5,2,0,0,7
OhadR_oAuth2-sample,1,1,0,0,2
ethereum_ethereumj,0,297,76,3,376
ptgoetz_storm-hbase,0,9,0,0,9
tehmou_rx-android-architecture,0,26,2,0,28
martinpaljak_GlobalPlatform,0,32,2,0,34
graphaware_neo4j-reco,3,2,0,0,5
gosu-lang_gosu-lang,0,1203,304,22,1529
google_closure-compiler,1,628,281,13,923
SahaginOrg_sahagin-java,50,33,11,52,146
looly_hutool,0,614,124,25,763
SoftInstigate_restheart,0,359,29,0,388
spotify_trickle,4,7,5,20,36
chanedi_QuickProject,0,193,1,0,194
reds-heig_logisim-evolution,1,1670,259,7,1937
AndroidBootstrap_android-bootstrap,0,0,0,0,0
wildfly-security_wildfly-elytron,295,835,130,735,1995
tesseradata_RHIPE,14,106,0,2,122
Azure_azure-storage-android,0,915,76,0,991
benhysell_V.FlyoutTest,0,348,2,0,350
WhisperSystems_BitHub,1,3,0,17,21
ArcBees_gwtquery-tooltip-plugin,7,18,3,7,35
JCTools_JCTools,38,405,6,2,451
dev9com_parallel-webtest,0,15,0,0,15
sharneng_gm4java,9,6,1,27,43
cloudera_spark-dataflow,0,0,0,0,0
bedrin_jdbc-sniffer,37,99,25,44,205
petitparser_java-petitparser,14,28,1,291,334
mulesoft_jaxrs-to-raml,6,13,7,15,41
Conductor_kangaroo,0,13,0,0,13
square_burst,0,22,0,0,22
grpc_grpc-java,0,725,232,1,958
ObsidianBox_Obsidian,0,13,0,0,13
highsource_jaxb2-annotate-plugin,1,30,0,2,33
rjenkins_ursus,7,10,0,1,18
skroutz_elasticsearch-analysis-turkishstemmer,2,12,0,0,14
DeemOpen_zkui,5,7,0,0,12
ceskaexpedice_kramerius,1,1117,130,2,1250
xaguzman_pathfinding,0,4,0,0,4
elastic_elasticsearch,3,13352,5003,28,18386
mono_sharpen,0,19,5,0,24
englishtown_vertx-jersey,15,49,2,6,72
caoxinyu_RedisClient,0,238,4,0,242
jooby-project_jooby,112,270,28,290,700
ZheYuan_Mario,0,5,0,0,5
gjoseph_BarbaryWatchService,0,0,0,0,0
openhab_jmdns,18,92,7,99,216
InstantWebP2P_node-android,0,268,15,0,283
mulesoft_raml-jaxrs-codegen,9,8,0,1,18
augustt198_lumen,23,23,11,64,121
spring-projects_spring-test-htmlunit,0,2,0,0,2
ymback_NGA-CLIENT-VER-OPEN-SOURCE,0,177,26,0,203
holgerbrandl_r4intellij,0,234,8,3,245
wso2_balana,67,497,46,151,761
sys1yagi_indirect-injector,0,3,0,0,3
jbossdemocentral_bpms-travel-agency-demo,0,15,4,0,19
Pragmatists_junitparams,12,19,0,1,32
