LOC,TotalTestabilitySmells,TySmellDensity,OpenIssues,ClosedIssues,TotalIssues
1.0,0.9396,0.932,0.8859,0.6387,0.6627
0.4998,1.0,0.4568,0.6126,0.4808,0.5331
0.5356,0.5748,1.0,0.6622,0.65,0.7084
0.5997,0.6739,0.8418,1.0,0.0,0.0
0.7434,0.8946,0.6953,0.1099,1.0,0.1099
0.7182,0.8895,0.7481,0.0198,0.0198,1.0
