LOC,TotalTestabilitySmells,TySmellDensity,OpenIssues,ClosedIssues,TotalIssues
1.0,0.2313,0.2371,0.002,0.1731,0.0438
0.7345,1.0,0.7482,0.0085,0.1861,0.1935
0.8439,0.8001,1.0,0.0001,0.174,0.1196
0.0003,0.3786,0.4293,1.0,0.0258,0.0258
0.0002,0.1405,0.0135,0.3975,1.0,0.3975
0.0,0.1698,0.0123,0.5846,0.5846,1.0
