LOC,TotalTestabilitySmells,TySmellDensity,OpenIssues,ClosedIssues,TotalIssues
1.0,0.7414,0.7219,0.8986,0.3325,0.3352
0.3909,1.0,0.3914,0.71,0.3105,0.2986
0.7987,0.8092,1.0,0.7618,0.7049,0.6619
0.7599,0.6519,0.4522,1.0,0.0274,0.0274
0.0767,0.2103,0.6701,0.7677,1.0,0.7677
0.0698,0.224,0.4444,0.5748,0.5748,1.0
