LOC,TotalTestabilitySmells,TySmellDensity,OpenIssues,ClosedIssues,TotalIssues
1.0,0.2752,0.1484,0.2622,0.0,0.0
0.55,1.0,0.3196,0.4226,0.0,0.0
0.5371,0.5367,1.0,0.1987,0.2199,0.2497
0.0,0.0009,0.3212,1.0,0.4314,0.4314
0.1051,0.0079,0.1559,0.5146,1.0,0.5146
0.0889,0.0054,0.1301,0.5063,0.5063,1.0
