Class,Assertion roulette,Conditional test logic,Constructor initialization,Eager test,Empty test,Exception handling,Ignored tests,Unknown test,Total
apache_storm.org.apache.storm.kafka.spout.ByTopicRecordTranslator,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.kafka.spout.KafkaSpoutConfig,1,0,0,1,0,0,0,2,4
apache_storm.org.apache.storm.kafka.spout.internal.CommonKafkaSpoutConfig,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.kafka.spout.KafkaSpoutRetryExponentialBackoff,8,0,0,8,0,0,0,0,16
apache_storm.org.apache.storm.utils.Time,9,0,0,4,0,0,0,4,17
apache_storm.org.apache.storm.kafka.spout.KafkaSpoutMessageId,1,0,0,0,0,0,0,0,1
apache_storm.org.apache.storm.kafka.spout.DefaultRecordTranslator,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.hive.bolt.mapper.DelimitedRecordHiveMapper,5,0,0,5,0,0,0,2,12
apache_storm.org.apache.storm.hive.bolt.mapper.JsonRecordHiveMapper,1,0,0,1,0,0,0,4,6
apache_storm.org.apache.storm.loadgen.NormalDistStats,0,0,0,0,0,0,0,1,1
apache_storm.org.apache.storm.loadgen.LoadCompConf,2,0,0,2,0,0,0,0,4
apache_storm.org.apache.storm.loadgen.LoadMetricsServer,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.loadgen.OutputStream,1,0,0,0,0,0,0,0,1
apache_storm.org.apache.storm.security.auth.ReqContext,5,0,0,2,0,0,0,0,7
apache_storm.org.apache.storm.blobstore.NimbusBlobStore,0,0,0,0,0,0,0,1,1
apache_storm.org.apache.storm.topology.InputDeclarer,1,1,0,0,0,1,0,0,3
apache_storm.org.apache.storm.cluster.PaceMakerStateStorage,2,0,0,2,0,0,0,0,4
apache_storm.org.apache.storm.generated.HBPulse,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.generated.HBMessageData,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.StormSubmitter,6,0,0,1,0,0,0,0,7
apache_storm.org.apache.storm.utils.ConfigUtils,14,0,0,10,0,0,0,0,24
apache_storm.org.apache.storm.Testing,2,0,0,2,0,0,0,4,8
apache_storm.org.apache.storm.utils.LocalState,3,0,0,3,0,0,0,0,6
apache_storm.org.apache.storm.pacemaker.Pacemaker,9,0,0,9,0,0,0,0,18
apache_storm.org.apache.storm.topology.TopologyBuilder,13,0,0,13,0,0,0,0,26
apache_storm.org.apache.storm.testing.FeederSpout,6,0,0,6,0,1,0,0,13
apache_storm.org.apache.storm.metrics2.RollingAverageGauge,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.assignments.LocalAssignmentsBackendFactory,2,0,0,2,0,0,0,0,4
apache_storm.org.apache.storm.windowing.WaterMarkEventGenerator,4,0,0,4,0,0,0,0,8
apache_storm.org.apache.storm.windowing.TriggerPolicy,9,0,0,0,0,0,0,0,9
apache_storm.org.apache.storm.windowing.WindowManager,2,0,0,2,0,0,0,0,4
apache_storm.org.apache.storm.windowing.Event,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.windowing.persistence.WindowState,1,0,0,0,0,0,0,0,1
apache_storm.org.apache.storm.topology.PersistentWindowedBoltExecutor,3,0,0,3,0,0,0,3,9
