Repo,TotalTestabilitySmells,TestabilitySmellsDensity,TotalTests,TestDensity
NLPchina_elasticsearch-sql,196,12.94,395,26.09
novoda_simple-easy-xml-parser,31,8.87,38,10.87
Steveice10_MCProtocolLib,91,11.89,7,0.91
squeek502_SpiceOfLife,145,21.51,6,0.89
CaptainBern_Reflection,739,75.07,3,0.30
tomitribe_crest,240,15.43,231,14.85
yahoo_xpath_proto_builder,101,21.60,6,1.28
alexholmes_hiped2,216,16.63,8,0.62
pmd_pmd-eclipse-plugin,581,18.77,61,1.97
TouK_sputnik,23,4.74,171,35.24
metricminer-msr_metricminer2,115,26.14,98,22.27
mooso_azure-tables-hadoop,11,7.16,11,7.16
HubSpot_Rosetta,8,2.82,150,52.97
Netflix_ocelli,22,3.88,33,5.82
GlenKPeterson_fp4java7,324,14.93,302,13.91
uwolfer_gerrit-rest-java-client,157,10.44,164,10.91
ReactiveX_RxJavaMath,1,0.57,56,32.15
coheigea_testcases,19,0.73,41,1.59
ToastShaman_dropwizard-auth-jwt,2,3.17,17,26.98
mklemm_jaxb2-rich-contract-plugin,57,9.13,33,5.29
CloudSlang_cloud-slang,193,6.69,941,32.61
mikeberger_borg_calendar,211,5.59,17,0.45
thekrakken_java-grok,9,5.89,60,39.27
enioka_jqm,66,2.59,179,7.01
GrammarViz2_grammarviz2_src,75,11.44,6,0.92
hmsonline_storm-cassandra-cql,43,37.01,8,6.88
lumifyio_securegraph,716,48.49,85,5.76
PSDev_FormValidations,1,1.83,35,64.22
bulenkov_iconloader,587,123.22,1,0.21
dswarm_dswarm,168,5.31,386,12.21
spotify_helios,215,6.18,572,16.45
cloud-software-foundation_c5-replicator,46,4.25,124,11.46
wiztools_stagen,7,10.25,4,5.86
wgybzbrobot_sentiment-search,51,3.32,11,0.72
eXparity_hamcrest-date,452,48.43,718,76.93
takari_takari-smart-builder,1,1.16,8,9.31
jmeter-maven-plugin_jmeter-maven-plugin,143,34.30,203,48.69
sailorgeoffrey_ddp-client-java,5,2.86,6,3.43
structurizr_java,28,1.56,783,43.64
puniverse_capsule,17,5.17,68,20.67
tuenti_SmsRadar,1,1.30,16,20.73
vinhkhuc_jcrfsuite,19,17.21,3,2.72
tech-advantage_sonar-gerrit-plugin,64,27.35,125,53.42
mapzen_open,143,13.42,623,58.45
sword-org_wechat4j,16,2.40,47,7.05
stickfigure_gwizard,29,18.59,6,3.85
mapzen_on-the-road,18,7.50,224,93.29
consulo_consulo-dotnet,172,10.77,1,0.06
SEL-columbia_dristhi,841,33.35,1009,40.01
mcharmas_shoppinglist-clean-architecture-example,5,3.06,20,12.24
syncany_syncany,210,6.34,394,11.89
ReactiveCouchbase_ReactiveCouchbase-play,10,9.45,3,2.84
aparapi_aparapi,494,16.02,13,0.42
Kurento_kurento-java,356,11.41,747,23.95
couchbase_couchbase-lite-java,495,17.96,530,19.23
wuic_wuic,179,3.93,218,4.79
weefbellington_screenplay,19,12.77,3,2.02
AzureAD_azure-activedirectory-library-for-java,74,15.29,43,8.88
seagate_kinetic-java,1645,34.10,111,2.30
KleeGroup_vertigo,823,40.23,454,22.19
Flow_nbt,32,17.02,7,3.72
icode_ameba,167,7.12,3,0.13
iluwatar_java-design-patterns,575,13.43,912,21.30
apache_servicemix,10,3.03,33,10.01
libgdx_ashley,38,6.88,111,20.11
podcastpedia_podcastpedia-web,7,2.04,34,9.89
jaibeermalik_elasticsearch-tutorial,53,23.19,29,12.69
HubSpot_jinjava,186,7.38,1362,54.02
zafarkhaja_jsemver,41,8.91,76,16.51
dschulten_hydra-java,57,5.99,178,18.71
WhisperSystems_PushServer,22,21.91,8,7.97
red5_red5-websocket,31,11.05,9,3.21
vmware_thinapp_factory,279,6.66,93,2.22
tkurz_sesame-vocab-builder,5,3.53,11,7.76
abwaters_cryptsy-api,699,356.27,22,11.21
google_google-api-java-client,162,10.58,15,0.98
audit4j_audit4j-core,146,9.20,162,10.21
red5_red5-client,5,1.37,11,3.01
OhmData_c5-replicator,46,4.25,124,11.46
fhussonnois_storm-trident-elasticsearch,41,29.41,7,5.02
OpenHFT_Chronicle-Bytes,189,7.91,470,19.67
matiwinnetou_spring-soy-view,61,15.93,163,42.56
jbossdemocentral_brms-coolstore-demo,1,1.03,9,9.28
blackberry_Krackle,17,4.44,4,1.04
jmockit_jmockit1,199,4.03,1102,22.34
mendix_RestServices,96,10.70,43,4.79
TheLQ_PircBotX,198,15.22,71,5.46
tim-group_test-driven-detectors4findbugs,10,10.67,16,17.08
techdev-solutions_trackr-backend,7,1.36,291,56.61
tokuhirom_avans,99,13.63,55,7.57
Microsoft_AppInsights-Java,380,8.88,550,12.85
surech_halarious,2,1.81,28,25.29
snazy_ohc,178,12.04,104,7.03
blackberry_KaBoom,4,0.98,10,2.45
noskovd_spring-data-orient,2,0.79,38,14.97
giovibal_vertx-mqtt-broker-mod,37,10.42,2,0.56
orientechnologies_orientdb-etl,1,0.31,54,16.64
droidstealth_droid-stealth,66,8.18,4,0.50
highsource_jsonix-schema-compiler,195,28.79,34,5.02
jimmoores_quandl4j,46,5.61,57,6.95
krschultz_AndroidWeatherBuoyDemo,1,0.86,38,32.70
clarkparsia_stardog-examples,2,1.35,11,7.41
edx_edx-app-android,563,14.32,221,5.62
TNG_jgiven,132,6.25,498,23.56
reinert_requestor,579,15.71,99,2.69
jenjinstudios_jenjin,34,4.02,113,13.37
IKCAP_wings,175,7.09,4,0.16
Jimmy-Shi_bean-query,21,14.26,100,67.89
darcy-framework_darcy-ui,39,5.73,239,35.10
bitcoin-solutions_multibit-website,4,1.94,27,13.09
optimaize_language-detector,88,25.32,91,26.18
zhangkaitao_shiro-example,24,1.18,56,2.76
andsel_moquette,196,21.73,194,21.51
caskdata_tephra,320,12.26,229,8.77
otros-systems_otroslogviewer,413,10.03,387,9.40
searchisko_elasticsearch-river-jira,92,9.69,199,20.97
serenity-bdd_serenity-jbehave,20,4.14,121,25.05
bodiam_markdown-to-asciidoc,1,5.56,4,22.22
uPhyca_GAlette,7,5.63,11,8.84
thelinmichael_spotify-web-api-java,251,7.24,288,8.31
TestFX_TestFX,22,1.59,585,42.25
paukiatwee_budgetapp,59,19.65,23,7.66
SteveyO_Hue-Emulator,26,6.09,17,3.98
arquillian_arquillian-cube,493,14.90,496,14.99
odiszapc_nginx-java-parser,97,57.33,41,24.23
adjust_android_sdk,106,5.65,48,2.56
ExactTarget_fuel-java,8,0.78,267,26.14
JakeWharton_Telecine,1,0.81,9,7.25
ceph_cephfs-hadoop,27,20.75,3,2.31
xtreemfs_babudb,178,8.06,57,2.58
cathive_sass-java,15,12.76,21,17.86
squarespace_jersey2-guice,20,14.66,6,4.40
arangodb_arangodb-java-driver,1094,27.96,569,14.54
juniversal_jsimple,96,5.46,239,13.58
carymrobbins_intellij-haskforce,125,6.68,3,0.16
eseifert_gral,85,2.88,460,15.58
numenta_htm.java,101,2.37,643,15.07
googlegenomics_dataflow-java,91,11.28,83,10.29
HubSpot_live-config,1,1.11,22,24.34
Netflix_Raigad,56,5.87,66,6.92
eclipsesource_J2V8,186,9.66,1161,60.27
JasonRuckman_sidney,238,9.98,30,1.26
alaisi_postgres-async-driver,23,5.38,93,21.77
google_gcm,106,16.08,47,7.13
vogellacompany_eclipse4book,12,8.21,4,2.74
TheMCPEGamer_Dragonet,434,45.58,33,3.47
stephanenicolas_injectview,69,39.07,20,11.33
bkimminich_kata-tcg,2,3.01,43,64.76
hcoles_QuickBuilder,36,12.76,127,45.02
roikku_swift-explorer,29,3.06,124,13.08
stuartgunter_dropwizard-cassandra,29,17.54,40,24.20
kennycason_kumo,75,20.12,82,22.00
tsiemens_pathfinder-toolkit,130,8.12,96,5.99
yahoo_artifactory_ssh_proxy,14,1.80,51,6.56
oxo42_stateless4j,29,10.53,78,28.31
RichardWarburton_honest-profiler,193,14.89,34,2.62
BuiltBrokenModding_ICBM,333,9.60,19,0.55
highsource_jaxb2-basics,235,17.82,44,3.34
Cascading_fluid,22,14.29,13,8.45
casidiablo_multidex,11,9.78,5,4.44
wiztools_rest-client,64,5.45,28,2.39
RestExpress_RestExpress-Examples,20,19.27,4,3.85
mapzen_mapzen-android-demo,143,13.42,623,58.45
virgo47_javasimon,601,22.43,257,9.59
yfpeng_pengyifan-commons,34,6.01,101,17.85
pwittchen_NetworkEvents,3,4.78,7,11.15
LapisBlue_Commons,44,21.81,22,10.91
googlemaps_google-maps-services-java,74,6.19,134,11.20
seleniumQuery_seleniumQuery,1787,93.80,880,46.19
raulhaag_MiMangaNu,176,8.86,71,3.57
Putnami_putnami-web-toolkit,186,6.92,1,0.04
Stratio_stratio-ingestion,120,14.45,177,21.31
c4fcm_CLIFF,110,20.57,50,9.35
Appendium_objectlabkit,283,18.52,183,11.97
teamed_qulice,34,2.70,122,9.70
google_acai,3,1.65,43,23.61
mdeverdelhan_ta4j,483,42.89,299,26.55
takari_takari-lifecycle,68,5.53,206,16.75
sjamesr_jfreesane,9,4.75,40,21.12
caelum_vraptor-panettone,60,25.21,129,54.20
Stratio_streaming-cep-engine,93,9.19,152,15.02
VHAINNOVATIONS_InfoButtons-182,301,6.95,45,1.04
bytedeco_javacpp,236,9.39,71,2.83
fiji_Trainable_Segmentation,157,8.27,6,0.32
apache_incubator-samoa,230,6.73,77,2.25
SudoPlayGames_Joise,18,2.45,36,4.90
path_android-priority-jobqueue,56,10.23,44,8.04
onepf_OPFPush,105,14.07,53,7.10
vert-x3_vertx-metrics,86,16.33,70,13.29
fge_grappa,12,1.57,71,9.28
IBM-Bluemix_todo-apps,1,0.52,57,29.52
guardianproject_ChatSecureAndroid,855,28.85,18,0.61
wbaumann_SmartReceiptsLibrary,647,17.63,706,19.24
KittehOrg_KittehIRCClientLib,520,23.48,159,7.18
ZK-1931_javazab,15,1.47,21,2.06
astefanutti_camel-cdi,14,2.29,183,29.88
robert-bor_aho-corasick,16,6.94,92,39.88
RichardWarburton_java-8-lambdas-exercises,49,14.00,143,40.86
Esri_solutions-geoevent-java,67,2.33,47,1.64
tabulapdf_tabula-java,116,20.65,132,23.50
Netflix_s3mper,2,0.80,13,5.22
tdunning_t-digest,35,4.76,92,12.52
raphaeljolivet_java2typescript,68,27.69,21,8.55
copper-engine_copper-engine,84,2.56,324,9.89
simpligility_android-ndk-maven-plugin,39,11.11,14,3.99
square_javapoet,27,4.25,365,57.48
l3nz_ObjectiveSync,13,5.90,18,8.17
migzai_irc-api,153,24.20,39,6.17
commons-rdf_commons-rdf,67,40.70,35,21.26
real-logic_Agrona,172,4.42,756,19.44
getsentry_raven-java,743,29.30,45,1.77
nutzam_nutzwx,61,10.59,3,0.52
ebay_oink,70,39.24,24,13.45
martinpaljak_GlobalPlatformPro,34,13.03,27,10.34
kuenishi_presto-riak,21,9.24,9,3.96
johnmartel_javaccPlugin,34,13.38,124,48.78
smola_galimatias,150,33.76,47,10.58
Jaspersoft_jrs-rest-java-client,204,11.13,459,25.04
ruediste1_btrbck,11,4.14,54,20.32
Qkyrie_Twitch,19,13.92,37,27.11
nidi3_raml-tester,192,27.56,239,34.31
tracee_tracee,111,15.22,435,59.66
chanjarster_weixin-java-tools,273,19.39,8,0.57
exteso_alf.io,324,8.04,524,13.00
OpenHFT_hftc,102,5.11,43,2.15
finn-no_cassandra-hadoop,24,6.15,1,0.26
