Repo,TotalTestabilitySmells,TestabilitySmellsDensity,TotalTests,TestDensity
beothorn_webGrude,5,7.79,2,3.12
OpenMRS_openmrs-module-fhir,599,41.02,115,7.87
jitsi_jigasi,205,12.76,8,0.50
srikalyc_Sql4D,729,138.54,3,0.57
HubTurbo_HubTurbo,159,6.74,520,22.05
elibom_jogger,86,16.37,78,14.85
fizzed_java-stork,22,7.17,25,8.15
extjwnl_extjwnl,353,19.20,270,14.68
xpqiu_fnlp,551,16.78,41,1.25
moznion_java-mysql-diff,6,4.43,9,6.65
vert-x3_service-proxy,50,7.16,158,22.63
gwtbootstrap3_gwtbootstrap3,417,14.18,3,0.10
elastic_elasticsearch-transport-memcached,5,6.51,1,1.30
WASdev_standards.jsr352.jbatch,279,16.84,51,3.08
Kixeye_kixmpp,138,19.31,30,4.20
Rayman2200_PDFA3,398,29.72,5,0.37
bither_bitherj,723,29.58,53,2.17
mirkosertic_FXDesktopSearch,18,5.60,10,3.11
SmartBear_JCeleryWorker,2,1.19,9,5.38
etsy_Conjecture,9,1.70,25,4.72
goodow_realtime-store,7,1.64,24,5.63
airbnb_AirMapView,8,3.12,10,3.90
Cardshifter_Cardshifter,51,3.69,24,1.74
nicklondhe_newsindexer,10,7.52,34,25.56
google_rich-test-results,1,5.29,18,95.24
ribot_easy-adapter,3,2.08,34,23.53
lightcouch_LightCouch,7,1.85,57,15.02
tuplejump_stargate-core,58,7.33,17,2.15
meyerjp3_psychometrics,419,9.07,237,5.13
levigo_jbig2-imageio,174,20.99,46,5.55
nightscout_android-uploader,140,21.95,190,29.79
reines_dropwizard-debpkg-maven-plugin,26,5.39,64,13.26
HdrHistogram_HdrHistogram,80,6.16,64,4.92
netizen539_civcraft,2271,47.24,1,0.02
FasterXML_jackson-dataformat-cbor,45,15.59,3,1.04
subchen_jetbrick-template-1x,437,41.79,36,3.44
Netflix_Nicobar,42,5.39,70,8.99
mulesoft-labs_quartz-mongodb,2,2.25,7,7.89
smartparam_smartparam,57,2.99,476,25.00
HadoopGenomics_Hadoop-BAM,136,16.20,141,16.80
dropwizard_metrics,482,17.64,751,27.48
igniterealtime_jxmpp,54,7.83,76,11.01
google_google-http-java-client,568,20.21,101,3.59
Mashape_Astronode-Broadcaster,4,5.19,2,2.59
rkday_jsipp,6,2.56,26,11.11
ks-no_eventstore2,165,12.89,102,7.97
SonarCommunity_sonar-csharp,199,13.22,595,39.52
chenlb_mmseg4j-core,14,7.64,44,24.00
poetix_octarine,77,14.29,93,17.26
RNCryptor_JNCryptor,14,5.80,34,14.08
ic3fox_jawr,328,7.00,717,15.31
javaee-samples_javaee7-samples,151,4.15,445,12.22
awslabs_aws-sdk-java-resources,78,4.73,17,1.03
whois-server-list_public-suffix-list,58,36.11,24,14.94
the-blue-alliance_the-blue-alliance-android,500,14.37,451,12.96
kohlschutter_junixsocket,151,5.29,324,11.35
linux-china_plantuml-gist,1,0.87,2,1.73
spearal_spearal-java,15,2.86,35,6.68
sneerteam_sneer,33,8.11,2,0.49
abel533_Mapper,198,6.44,496,16.14
digitalbuddha_AndroidStarter,1184,489.86,2,0.83
Ecwid_consul-api,34,4.63,22,2.99
ajohnston9_ciscorouter,13,5.77,9,3.99
TannerPerrien_picasso-transformations,68,12.63,3,0.56
OpenHFT_Chronicle-Queue,446,17.15,430,16.54
kiselev-dv_gazetteer,113,8.15,37,2.67
jansorg_BashSupport,109,4.14,936,35.53
kairosdb_kairosdb-client,110,24.87,100,22.61
nguyenq_tess4j,142,18.44,79,10.26
Netflix_ReactiveLab,22,9.31,2,0.85
krasa_StringManipulation,83,4.88,164,9.64
juniversal_juniversal,404,17.01,27,1.14
AChep_AcDisplay,344,14.28,3,0.12
HPI-Information-Systems_Metanome,717,27.81,624,24.21
basgren_railways,53,16.94,36,11.51
Stratio_stratio-streaming,93,9.19,152,15.02
swookiee_com.swookiee.runtime,16,8.60,3,1.61
codelibs_elasticsearch-dynarank,18,12.88,7,5.01
radcortez_wow-auctions,4,4.35,15,16.32
hansenji_pocketknife,90,26.77,35,10.41
palantir_stash-codesearch-plugin,41,15.47,5,1.89
irobertson_pojomatic,58,9.11,172,27.02
ESAPI_esapi-java-legacy,856,21.75,531,13.49
ben-manes_concurrentlinkedhashmap,11,0.83,10,0.76
psidnell_ofexport2,80,16.38,125,25.59
mraad_Shapefile,30,17.80,22,13.06
ruediste_btrbck,11,4.14,54,20.32
tectonicus_tectonicus,224,10.88,27,1.31
jherico_jovr,349,312.44,1,0.90
englishtown_vertx-when,8,3.70,53,24.51
OpenSOC_opensoc-streaming,95,6.45,53,3.60
JD-Software_JDeSurvey,12,0.70,4,0.23
thheller_shadow-pgsql,60,19.51,30,9.75
google_openrtb-doubleclick,21,8.63,46,18.91
stickfigure_objectify-insight,8,3.80,51,24.21
Cloudslab_cloudsim,769,24.75,119,3.83
edwardcapriolo_nibiru,440,65.71,40,5.97
vt-middleware_passay,57,5.98,1,0.10
btrplace_scheduler,206,4.16,555,11.20
Netflix_staash,208,19.19,41,3.78
stagemonitor_stagemonitor,197,6.70,551,18.73
maciejmiklas_cyclop,64,5.31,220,18.26
calrissian_flowmix,158,40.73,37,9.54
google_google-oauth-java-client,59,7.13,20,2.42
ReactiveX_RxJavaReactiveStreams,2,1.32,28,18.45
spotify_docker-maven-plugin,9,3.78,21,8.82
eseifert_vectorgraphics2d,33,6.26,133,25.23
divolte_divolte-collector,46,5.98,220,28.60
theupswell_appengine-counter,6,1.45,111,26.84
NetApp_NetApp-Hadoop-NFS-Connector,52,12.14,5,1.17
komamitsu_jackson-dataformat-msgpack,7,6.64,14,13.27
WhisperSystems_TextSecure-Server,207,6.56,653,20.71
cecom_pomutils,18,13.77,12,9.18
davidsowerby_krail,45,3.08,224,15.34
fesh0r_fernflower,315,11.58,169,6.21
HolmesNL_kafka-spout,19,15.57,46,37.70
jbachorik_btrace,265,8.33,169,5.31
HotswapProjects_HotswapAgentExamples,12,6.20,18,9.29
krisjey_redis.usecase,1,1.52,6,9.15
pushtorefresh_bamboo-storage,211,6.22,1010,29.79
jprante_elasticsearch-xml,20,5.87,13,3.82
aceleradora6-tw_RegistroLivre,3,1.96,46,30.05
arun-gupta_wildfly-samples,135,8.23,11,0.67
whatscloud_whatscloud-android,151,5.65,1,0.04
BranchMetrics_Branch-Android-SDK,87,4.85,112,6.24
eHarmony_vw-webservice,21,9.68,16,7.38
flaxsearch_luwak,133,17.41,160,20.94
edwardcapriolo_farsandra,87,45.86,12,6.33
scratches_spring-boot-legacy,4,3.84,11,10.55
phasenraum2010_javaee7-petclinic,2,0.81,40,16.19
lordi_tickmate,29,7.23,15,3.74
webdriverextensions_webdriverextensions,35,5.66,100,16.17
couchbase_couchbase-jvm-core,675,15.72,577,13.44
spring-cloud_spring-cloud-connectors,53,5.94,227,25.45
dcevm_dcevm,385,47.34,111,13.65
brettwooldridge_HikariJSON,23,38.79,4,6.75
Baqend_Orestes-Bloomfilter,19,2.50,97,12.75
quemb_QMBForm,71,20.54,15,4.34
JetBrains_teamcity-deployer-plugin,59,17.53,25,7.43
Netflix_zeno,51,3.20,120,7.53
viritin_viritin,125,5.75,56,2.58
vladmihalcea_flexy-pool,90,11.83,125,16.44
chanjarster_tomcat-mongo-access-log,31,20.68,2,1.33
Alexey1Gavrilov_expectit,78,16.34,56,11.73
Vincentyification_JavaBot,58,14.59,35,8.80
caelum_mamute,367,23.81,329,21.35
chanan_SignalJ,30,10.77,3,1.08
vinumeris_lighthouse,191,15.18,29,2.30
Netflix_spectator,81,2.21,1585,43.21
readydev_retrogram,2,1.86,28,26.00
red5_red5-io,175,10.73,90,5.52
google_jimfs,124,8.28,458,30.57
searchisko_elasticsearch-river-remote,133,10.16,252,19.25
Sotera_distributed-graph-analytics,46,10.10,76,16.69
tlaukkan_zigbee4java,1713,37.35,80,1.74
chiuki_gce2retrofit,1,1.24,30,37.13
Team254_TrajectoryLib,38,23.28,32,19.61
fcrepo3_gsearch,1,0.12,169,20.16
jetty-project_jetty-alpn,1,1.42,7,9.97
prasanthj_hyperloglog,12,5.35,34,15.17
jurmous_etcd4j,56,13.62,58,14.11
41concepts_VALJOGen,96,14.19,169,24.98
tkaczmarzyk_specification-arg-resolver,151,15.21,536,53.99
JetBrains_teamcity-azure-plugin,1,0.74,2,1.48
twitter_hpack,7,5.22,11,8.20
recruit-tech_redpen,1181,53.17,1131,50.92
serenity-bdd_serenity-cucumber,13,3.60,36,9.97
XiaoMi_chronos,20,11.84,19,11.25
reveal-technologies_sitewhere,194,5.75,13,0.39
junichi11_netbeans-github-issues-plugin,74,12.58,6,1.02
dropwizard_dropwizard-java8,29,10.64,109,39.99
rterp_GMapsFX,54,10.83,26,5.21
tox4j_tox4j,2,1.62,1,0.81
rapidftr_RapidFTR-Android,94,8.63,424,38.93
inductiveautomation_opc-ua-stack,6818,240.45,15,0.53
mulesoft_raml-for-jax-rs,41,4.28,73,7.62
bramp_ffmpeg-cli-wrapper,136,30.94,75,17.06
kwon37xi_hibernate4-memcached,45,10.28,146,33.36
spring-cloud_spring-cloud-config,93,3.86,767,31.85
netceteragroup_valdr-bean-validation,2,1.20,31,18.63
stephanenicolas_mimic,1,1.51,28,42.36
google_google-authenticator-android,60,6.05,215,21.69
jensjaeger_play4jpa,7,3.61,43,22.18
graphaware_neo4j-uuid,1,0.78,45,34.88
miho_JCSG,31,1.94,6,0.38
yesnault_PlayStartApp,10,10.64,1,1.06
Flow_Caustic,91,10.17,1,0.11
IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java,6,2.76,27,12.44
jenkinsci_junit-plugin,60,6.09,109,11.06
jayway_powermock,140,3.91,971,27.12
hogelog_line-chart-view,14,13.35,2,1.91
revapi_revapi,476,15.49,329,10.71
WebGoat_WebGoat,38,3.75,254,25.06
documents4j_documents4j,251,26.29,47,4.92
spring-projects_spring-restdocs,37,1.88,882,44.89
abrensch_brouter,72,3.82,37,1.96
lightblue-platform_lightblue-core,532,12.08,1294,29.38
apache_curator,2647,56.90,634,13.63
OpenHFT_Chronicle-Core,169,11.04,324,21.16
davidmoten_rxjava-jdbc,100,10.79,204,22.01
oasp_oasp4j,92,8.15,64,5.67
salyh_elasticsearch-river-imap,23,6.90,17,5.10
resty-gwt_resty-gwt,129,8.69,34,2.29
statefulj_statefulj,49,7.81,62,9.88
octo-online_reactive-audit,30,3.73,85,10.58
confluentinc_kafka-rest,324,13.17,765,31.09
tootedom_related,240,18.18,228,17.27
fabric8io_quickstarts,22,10.12,9,4.14
ehcache_ehcache-jcache,5,2.16,12,5.18
expercise_expercise,119,22.58,88,16.70
uPhyca_idobata4j,5,1.63,43,14.01
jubeio_jube,42,6.86,15,2.45
guikeller_jetty-runner,10,10.49,21,22.04
nativelibs4java_BridJ,642,21.32,458,15.21
Firebase_geofire-java,22,10.23,30,13.95
mstahv_maddon,125,5.75,56,2.58
etsy_statsd-jvm-profiler,32,17.48,45,24.58
cloudfoundry-community_spring-boot-cf-service-broker,5,3.22,42,27.08
xmlunit_xmlunit,895,30.71,864,29.65
apache_incubator-twill,259,10.74,83,3.44
holgerbrandl_themoviedbapi,62,12.27,80,15.83
branky_cascading.hive,15,11.49,20,15.31
rtreffer_minidns,91,9.20,130,13.15
vladmihalcea_hibernate-master-class,142,12.36,125,10.88
vbence_stream-m,48,7.13,6,0.89
orangesignal_orangesignal-android-camera,31,3.15,26,2.64
springer-opensource_omelet,100,26.58,30,7.97
redraiment_jactiverecord,42,13.94,27,8.96
OpenHFT_Chronicle-Wire,1083,25.24,945,22.03
MER-C_wiki-java,103,11.98,178,20.71
jitsi_jicofo,63,6.39,9,0.91
AltBeacon_android-beacon-library,56,4.60,214,17.57
flexiblepower_powermatcher,41,4.47,177,19.31
iheartradio_open-m3u8,114,22.43,36,7.08
tesis-dynaware_graph-editor,65,4.24,31,2.02
NirmataOSS_workflow,96,24.36,33,8.37
udacity_ud859,74,12.86,100,17.38
linkedin_Spyglass,18,6.06,23,7.74
phax_ph-css,1124,59.10,177,9.31
internet-research-network_breeze,12,5.54,68,31.38
davidmoten_rtree,194,9.51,288,14.11
naver_volley-extensions,40,3.67,206,18.91
pydio_pydio-sync-java,50,9.14,13,2.38
gregturn_spring-a-gram,8,6.96,4,3.48
awslabs_aws-ant-tasks,48,9.74,9,1.83
Hive2Hive_PeerBox,60,3.17,365,19.27
mapzen_lost,52,6.24,349,41.90
yegor256_netbout,35,3.09,116,10.24
tynamo_tapestry-security,32,8.97,5,1.40
knightliao_disconf,170,9.08,29,1.55
MCTCP_TerrainControl,547,23.98,43,1.89
jprante_elasticsearch-plugin-bundle,55,4.52,4,0.33
zhangkaitao_spring4-showcase,8,1.66,59,12.23
johnjohndoe_TypedPreferences,7,10.69,57,87.02
spotify_futures-extra,2,0.86,89,38.30
MinecraftForge_FernFlower,315,11.58,169,6.21
RentTheRunway2_alchemy,259,37.60,167,24.25
orhanobut_wasp,13,3.93,40,12.10
Accla_d4m_api_java,331,18.32,160,8.86
esigate_esigate,467,23.88,17,0.87
javers_javers,94,4.32,18,0.83
codelibs_elasticsearch-taste,175,11.06,2,0.13
spirosoik_RapidAndroidApp,58,16.99,12,3.51
la-team_light-admin,246,23.47,105,10.02
apache_struts-examples,72,11.07,10,1.54
fadeyev_intellijcoder,46,15.43,63,21.13
wb14123_bard,55,18.68,44,14.95
scopely_fontain,9,7.63,4,3.39
timtiemens_secretshare,48,4.74,83,8.19
buschmais_extended-objects,690,52.25,167,12.64
novoda_sqlite-analyzer,494,84.63,26,4.45
embulk_embulk,80,3.55,249,11.05
polydawn_mdm,12,2.77,63,14.52
JetBrains_kotlin-eclipse,75,6.05,1133,91.41
square_okio,7,0.99,453,63.96
cternes_openkeepass,411,69.59,182,30.82
tuenti_ButtonMenu,1,0.57,49,27.86
FEMR_femr,23,1.12,12,0.58
castlabs_dashencrypt,40,7.59,9,1.71
orangesignal_orangesignal-csv,41,0.98,765,18.36
ewolff_user-registration,2,5.39,8,21.56
XiaoMi_themis,118,11.18,174,16.49
ClickTravel_Cheddar,31,1.24,830,33.33
pumadong_cl-privilege,11,3.44,1,0.31
google_google-auth-library-java,166,9.35,573,32.29
Swrve_rate-limited-logger,3,2.35,14,10.98
andrewgaul_modernizer-maven-plugin,28,14.26,26,13.25
bjornharrtell_jdbc-http-server,2,3.13,16,25.04
dcm4che_dcm4chee-arc-cdi,213,6.89,185,5.99
tiagobento_watertemplate-engine,28,11.77,59,24.81
spotify_docker-client,328,10.37,330,10.43
yammer_tenacity,31,8.15,105,27.60
mjsax_aeolus,288,21.10,219,16.04
pac4j_play-pac4j,10,7.32,21,15.36
Eldelshell_jongo,299,35.09,214,25.12
netplex_json-smart-v2,113,13.33,140,16.51
elastic_elasticsearch-hadoop,368,9.11,822,20.36
OpenNMS_newts,246,28.39,105,12.12
blockchain_api-v1-client-java,37,13.45,4,1.45
clinejj_foursquare-api-java,410,65.30,69,10.99
Yubico_java-u2flib-server,80,27.44,98,33.62
aol_micro-server,44,2.61,499,29.55
joeattardi_tailstreamer,6,8.58,13,18.60
sdstoehr_har-reader,11,5.06,56,25.78
sviperll_adt4j,4,0.80,9,1.81
pmarches_jStellarAPI,20,4.50,33,7.42
ehcache_sizeof,34,10.45,31,9.52
pprados_audit-reactive,30,3.73,85,10.58
benas_easy-batch,488,38.16,277,21.66
taichi_siden,17,3.66,48,10.33
apache_uima-uimafit,303,16.93,318,17.77
shiyimin_androidtestdebug,65,7.35,66,7.47
spring-cloud_spring-cloud-cluster,5,1.65,35,11.57
Apereo-Learning-Analytics-Initiative_LearningAnalyticsProcessor,20,4.34,40,8.68
dsyer_spring-boot-ratpack,2,2.03,14,14.21
radkovo_jStyleParser,847,33.14,200,7.83
operasoftware_operaprestodriver,2666,125.96,613,28.96
semanticvectors_semanticvectors,352,18.60,105,5.55
TomasMikula_RichTextFX,28,1.71,122,7.44
acciente_oacc-core,90,1.93,1230,26.32
open-eid_digidoc4j,1454,33.05,1326,30.14
camelinaction_camelinaction,1,0.13,221,28.40
thiagolocatelli_parse4j,59,9.15,59,9.15
DICE-UNC_idrop,209,5.84,155,4.33
exxeleron_qJava,6,0.99,39,6.47
remibantos_jeeshop,103,15.30,231,34.31
urandom_gearshift,616,69.54,41,4.63
kairosdb_kairosdb,403,10.30,572,14.62
fireduck64_jelectrum,57,3.17,76,4.23
Netflix_iep,37,4.16,321,36.12
thm-projects_arsnova-backend,149,8.98,52,3.13
zutherb_AppStash,15,2.97,38,7.52
meltmedia_dropwizard-crypto,17,30.58,10,17.99
policeman-tools_forbidden-apis,15,5.14,20,6.85
kohlschuetter_junixsocket,151,5.29,324,11.35
dpaukov_combinatoricslib,36,7.02,116,22.61
ReactiveX_RxJavaString,1,0.71,50,35.51
forge_roaster,637,37.33,565,33.11
unitsofmeasurement_unit-ri,125,12.56,301,30.24
kite-sdk_kite-examples,4,2.71,14,9.49
Haehnchen_idea-php-shopware-plugin,56,7.22,2,0.26
matrix-org_matrix-android-sdk,345,7.13,158,3.27
ConnectSDK_Connect-SDK-Android-Core,541,28.06,184,9.54
crosswalk-project_crosswalk-cordova-android,69,4.31,10,0.62
mongobee_mongobee,17,11.46,38,25.62
PayPal_SeLion,318,8.54,276,7.42
Netflix_suro,476,27.85,177,10.36
spring-projects_spring-data-keyvalue,15,2.87,258,49.30
h3xstream_http-script-generator,19,6.39,23,7.73
jbox2d_jbox2d,519,14.41,2,0.06
matlux_jvm-breakglass,13,12.81,11,10.84
xvik_dropwizard-guicey,174,8.89,54,2.76
nitram509_jmacaroons,66,25.08,46,17.48
dashbuilder_dashbuilder,738,16.06,742,16.15
3breadt_dd-plist,64,18.02,94,26.47
lsds_SEEP,64,1.72,72,1.94
liveoak-io_liveoak,1061,21.66,401,8.18
twotoasters_SectionCursorAdapter,6,8.96,10,14.93
coinbase_coinbase-java,56,5.92,44,4.65
oldratlee_classloader-playground,19,25.07,11,14.51
arnohaase_a-base,27,1.57,193,11.22
NLPchina_ansj_seg,216,21.23,117,11.50
greenrobot_greenrobot-common,23,4.09,108,19.22
jodastephen_property-alliance,6,3.30,30,16.52
JeffreyFalgout_ThrowingStream,16,4.11,12,3.08
kzwang_elasticsearch-image,17,11.24,1,0.66
atinfo_at.info-knowledge-base,25,5.40,69,14.90
kaazing_robot,977,21.34,1664,36.34
raydac_java-binary-block-parser,726,31.95,1252,55.09
CalebFenton_simplify,134,6.52,253,12.31
sinkillerj_ProjectE,403,17.12,62,2.63
ATLauncher_ATLauncher,306,9.59,33,1.03
AChep_HeadsUp,162,12.88,3,0.24
sanjivsingh_stackoverflow-java-sdk,293,20.23,154,10.63
groupon_jesos,594,21.14,15,0.53
iainporter_oauth2-provider,4,1.71,24,10.24
lejon_T-SNE-Java,31,4.73,73,11.14
mrmans0n_smart-location-lib,26,8.27,24,7.63
lestard_advanced-bindings,2,0.67,109,36.47
