Repo,TotalTestabilitySmells,TotalTestSmells,LOC,NoOfTests,TyS_normalized, TS_normalized
apache_storm.org.apache.storm.daemon.GrouperFactory,3,2,0,1,0,2.0
apache_storm.org.apache.storm.daemon.supervisor.Container,2,5,495,3,4.040404040404041,1.6666666666666667
apache_storm.org.apache.storm.daemon.supervisor.BasicContainer,2,9,0,5,0,1.8
apache_storm.org.apache.storm.daemon.supervisor.Slot,2,17,0,9,0,1.8888888888888888
apache_storm.org.apache.storm.daemon.worker.LogConfigManager,1,6,98,9,10.204081632653061,0.6666666666666666
apache_storm.org.apache.storm.generated.StormTopology,1,1,0,1,0,1.0
apache_storm.org.apache.storm.generated.LocalAssignment,2,0,0,4,0,0.0
apache_storm.org.apache.storm.generated.LogLevel,1,2,0,2,0,1.0
apache_storm.org.apache.storm.generated.WorkerToken,1,4,0,2,0,2.0
apache_storm.org.apache.storm.generated.HBPulse,1,2,0,1,0,2.0
apache_storm.org.apache.storm.generated.WorkerSummary,1,6,0,6,0,1.0
apache_storm.org.apache.storm.generated.HBMessageData,4,2,0,1,0,2.0
apache_storm.org.apache.storm.generated.ErrorInfo,1,4,0,2,0,2.0
apache_storm.org.apache.storm.validation.ConfigValidation,2,5,0,18,0,0.2777777777777778
apache_storm.org.apache.storm.blobstore.NimbusBlobStore,1,1,351,2,2.849002849002849,0.5
apache_storm.org.apache.storm.blobstore.BlobStore,1,2,348,2,2.8735632183908044,1.0
apache_storm.org.apache.storm.blobstore.ClientBlobStore,1,2,119,2,8.403361344537815,1.0
apache_storm.org.apache.storm.blobstore.LocalFsBlobStore,7,1,378,2,18.51851851851852,0.5
apache_storm.org.apache.storm.blobstore.BlobStoreUtils,4,8,205,9,19.51219512195122,0.8888888888888888
apache_storm.org.apache.storm.serialization.GzipBridgeThriftSerializationDelegate,2,2,30,1,66.66666666666667,2.0
apache_storm.org.apache.storm.serialization.SerializationFactory,3,0,197,2,15.228426395939087,0.0
apache_storm.org.apache.storm.messaging.DeserializingConnectionCallback,1,4,63,2,15.873015873015873,2.0
apache_storm.org.apache.storm.grouping.LoadAwareShuffleGrouping,2,4,0,2,0,2.0
apache_storm.org.apache.storm.pacemaker.Pacemaker,5,18,0,9,0,2.0
apache_storm.org.apache.storm.dependency.DependencyUploader,6,4,122,4,49.18032786885246,1.0
apache_storm.org.apache.storm.command.CLI,6,3,393,3,15.267175572519085,1.0
apache_storm.org.apache.storm.kafka.spout.internal.CommonKafkaSpoutConfig,5,0,184,2,27.17391304347826,0.0
apache_storm.org.apache.storm.kafka.spout.trident.KafkaTridentSpoutEmitter,4,14,247,8,16.194331983805668,1.75
apache_storm.org.apache.storm.kafka.spout.trident.KafkaTridentSpoutBatchMetadata,3,6,53,3,56.60377358490566,2.0
apache_storm.org.apache.storm.hdfs.blobstore.HdfsBlobStoreImpl,2,3,302,2,6.622516556291391,1.5
apache_storm.org.apache.storm.redis.state.RedisKeyValueStateProvider,1,2,90,2,11.11111111111111,1.0
apache_storm.org.apache.storm.redis.state.RedisKeyValueState,3,2,274,1,10.94890510948905,2.0
apache_storm.org.apache.storm.rocketmq.bolt.RocketMqBolt,2,2,143,2,13.986013986013987,1.0
apache_storm.org.apache.storm.rocketmq.common.mapper.FieldNameBasedTupleToMessageMapper,3,2,39,1,76.92307692307692,2.0
apache_storm.org.apache.storm.rocketmq.spout.RocketMqSpout,2,2,145,2,13.793103448275861,1.0
apache_storm.org.apache.storm.rocketmq.spout.scheme.StringScheme,1,2,23,2,43.47826086956522,1.0
apache_storm.org.apache.storm.cassandra.trident.state.MapStateFactoryBuilder,6,3,0,3,0,1.0
apache_storm.org.apache.storm.hbase.state.HBaseKeyValueState,6,2,332,1,18.072289156626507,2.0
apache_storm.org.apache.storm.eventhubs.spout.EventHubSpoutConfig,1,0,165,1,6.0606060606060606,0.0
apache_storm.org.apache.storm.eventhubs.trident.TransactionalTridentEventHubEmitter,6,1,94,2,63.829787234042556,0.5
apache_storm.org.apache.storm.metricstore.rocksdb.StringMetadataCache,1,4,133,2,7.518796992481203,2.0
