Class,TotalTestabilitySmells,TestabilitySmellsDensity,TotalTests,TestDensity
apache_storm.org.apache.storm.generated.Nimbus.AsyncProcessor,1,0.26,0,0.00
gosu-lang_gosu-lang.gw.internal.gosu.parser.GosuClass,1,0.47,0,0.00
gosu-lang_gosu-lang.gw.internal.gosu.parser.GosuClassParser,1,0.29,0,0.00
gosu-lang_gosu-lang.gw.internal.gosu.parser.TypeLord,1,0.50,0,0.00
gosu-lang_gosu-lang.gw.internal.gosu.compiler.AnnotationsTest,1,0.42,0,0.00
gosu-lang_gosu-lang.gw.internal.gosu.ir.transform.AbstractElementTransformer,12,5.21,0,0.00
google_closure-compiler.com.google.javascript.jscomp.AbstractCommandLineRunner,1,0.43,0,0.00
google_closure-compiler.com.google.javascript.jscomp.NodeUtilTest,1,0.33,0,0.00
google_closure-compiler.com.google.javascript.jscomp.NodeUtilTest.AssortedTests,1,0.40,0,0.00
looly_hutool.cn.hutool.core.text.CharSequenceUtil,5,1.56,0,0.00
looly_hutool.cn.hutool.core.io.FileUtil,7,2.52,0,0.00
looly_hutool.cn.hutool.core.util.PrimitiveArrayUtil,1,0.37,0,0.00
looly_hutool.cn.hutool.core.collection.CollUtil,1,0.41,0,0.00
elastic_elasticsearch.org.elasticsearch.snapshots.SnapshotsService,10,4.23,0,0.00
elastic_elasticsearch.org.elasticsearch.repositories.blobstore.BlobStoreRepository,23,10.87,0,0.00
elastic_elasticsearch.org.elasticsearch.transport.AbstractSimpleTransportTestCase,2,0.99,0,0.00
elastic_elasticsearch.org.elasticsearch.painless.phase.DefaultSemanticAnalysisPhase,1,0.48,0,0.00
jooby-project_jooby.io.jooby.FeaturedTest,1,0.34,0,0.00
micromata_javaapiforkml.de.micromata.opengis.kml.v_2_2_0.xal.AddressDetails,1,0.30,0,0.00
Unidata_awips2.net.opengis.gml._3.ObjectFactory,1,0.19,0,0.00
Unidata_awips2.org.isotc211._2005.gmd.ObjectFactory,1,0.44,0,0.00
Unidata_awips2.com.raytheon.uf.edex.plugin.text.dao.StdTextProductDao,1,0.47,0,0.00
Unidata_awips2.com.raytheon.viz.texteditor.dialogs.TextEditorDialog,3,0.51,0,0.00
Unidata_awips2.com.raytheon.viz.warngen.gui.WarngenLayer,5,1.55,0,0.00
Unidata_awips2.com.raytheon.viz.hydro.timeseries.TimeSeriesDisplayCanvas,1,0.46,0,0.00
Unidata_awips2.com.raytheon.viz.hydro.timeseries.TabularTimeSeriesDlg,1,0.39,0,0.00
Unidata_awips2.com.raytheon.uf.viz.monitor.ffmp.ui.rsc.FFMPResource,1,0.33,0,0.00
sindicetech_siren.com.sindicetech.siren.index.codecs.block.AForFrameDecompressor,3,0.68,0,0.00
sindicetech_siren.com.sindicetech.siren.index.codecs.block.AForFrameCompressor,1,0.18,0,0.00
OfficeDev_ews-java-api.microsoft.exchange.webservices.data.core.XmlElementNames,913,249.66,0,0.00
google_guava.com.google.common.cache.LocalCache,29,8.51,0,0.00
google_guava.com.google.common.cache.CacheLoadingTest,111,54.33,0,0.00
google_guava.com.google.common.cache.LocalCacheTest,264,124.47,0,0.00
google_guava.com.google.common.util.concurrent.FuturesTest,25,8.64,0,0.00
google_guava.com.google.common.collect.Maps,5,2.14,0,0.00
google_guava.com.google.common.reflect.TypeTokenTest,120,53.31,0,0.00
igniterealtime_Openfire.org.jivesoftware.openfire.muc.spi.MultiUserChatServiceImpl,64,26.62,0,0.00
igniterealtime_Openfire.org.jivesoftware.openfire.admin.reg_002dsettings_jsp,6,2.89,0,0.00
igniterealtime_Openfire.org.jivesoftware.openfire.admin.security_002dcertificate_002dstore_002dmanagement_jsp,7,3.30,0,0.00
igniterealtime_Openfire.org.jivesoftware.openfire.admin.connection_002dsettings_002dsocket_002ds2s_jsp,10,3.44,0,0.00
