Repo,TotalTestabilitySmells,TotalTestSmells,LOC,NoOfTests,TyS_normalized, TS_normalized
mpetazzoni_ttorrent,251,12,12942,17,19.394220367794777,0.7058823529411765
Graphify_graphify,45,8,2582,9,17.428350116189,0.8888888888888888
jbake-org_jbake,130,135,9415,224,13.807753584705258,0.6026785714285714
andrewgaul_s3proxy,65,135,6346,126,10.242672549637566,1.0714285714285714
apache_storm,4342,1185,202837,1183,21.4063509123089,1.0016906170752324
jai-imageio_jai-imageio-jpeg2000,538,4,21761,4,24.72312853269611,1.0
Cube-Space_Yamler,16,2,3114,3,5.138086062941555,0.6666666666666666
lumifyio_lumify,784,113,55235,149,14.193898796053228,0.7583892617449665
apache_incubator-reef,952,339,84731,440,11.235557234070175,0.7704545454545455
linkedin_Cubert,578,49,28938,86,19.97373695486903,0.5697674418604651
renepickhardt_generalized-language-modeling-toolkit,21,11,2523,11,8.323424494649228,1.0
NLPchina_nlp-lang,59,20,9821,32,6.007534874249058,0.625
jordw_heftydb,42,25,6911,64,6.0772681232817245,0.390625
prometheus_jmx_exporter,7,29,2048,52,3.41796875,0.5576923076923077
ethereum_ethereumj,376,907,73610,1261,5.108001630213287,0.7192704203013481
tehmou_rx-android-architecture,28,32,4044,104,6.923837784371909,0.3076923076923077
martinpaljak_GlobalPlatform,34,13,2610,27,13.026819923371647,0.48148148148148145
graphaware_neo4j-reco,5,16,1786,19,2.799552071668533,0.8421052631578947
gosu-lang_gosu-lang,1529,158,210952,168,7.248094353217794,0.9404761904761905
google_closure-compiler,923,16670,209736,17905,4.400770492428577,0.931024853392907
SahaginOrg_sahagin-java,146,288,9017,217,16.19163801707885,1.327188940092166
looly_hutool,763,1767,170020,2250,4.4877073285495825,0.7853333333333333
SoftInstigate_restheart,388,210,37119,248,10.452867803550742,0.8467741935483871
spotify_trickle,36,40,2451,60,14.687882496940025,0.6666666666666666
chanedi_QuickProject,194,6,4562,6,42.525208241999124,1.0
reds-heig_logisim-evolution,1937,29,125108,49,15.482623013716148,0.5918367346938775
wildfly-security_wildfly-elytron,1995,1612,130857,1333,15.245649831495449,1.2093023255813953
tesseradata_RHIPE,122,26,5606,21,21.76239743132358,1.2380952380952381
Azure_azure-storage-android,991,721,51913,606,19.089630728333944,1.1897689768976898
WhisperSystems_BitHub,21,7,956,12,21.96652719665272,0.5833333333333334
JCTools_JCTools,451,230,85064,197,5.3018903413900125,1.16751269035533
dev9com_parallel-webtest,15,55,3580,72,4.189944134078212,0.7638888888888888
sharneng_gm4java,43,94,2659,131,16.17149304249718,0.7175572519083969
bedrin_jdbc-sniffer,205,672,25452,642,8.054376866258055,1.0467289719626167
petitparser_java-petitparser,334,465,6890,426,48.476052249637156,1.091549295774648
mulesoft_jaxrs-to-raml,41,47,9583,73,4.278409683815089,0.6438356164383562
Conductor_kangaroo,13,39,3052,47,4.259501965923985,0.8297872340425532
