Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,KubernetesInstanceDiscoveryTest,onlyAcceptsCorrectValuesInPortAnnotation,Long Statement,The length of the statement "invalidAnnotation.getMetadata().setAnnotations(Maps.newHashMap(KubernetesInstanceDiscovery.PORT_ANNOTATION_KEY`"invalid-port"));" is 128.,121
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,KubernetesInstanceDiscoveryTest,removesPodTemplateHashFromClusterName,Long Statement,The length of the statement "Optional<Instance> instanceOptional=discovery.getInstanceList().stream().filter(instance -> instance.getCluster().equals("production-service-depl")).findAny();" is 159.,159
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,RancherInstanceDiscoveryTest,testGetInstanceList,Long Statement,The length of the statement "Assert.assertEquals(Arrays.asList(new Instance("192.168.1.109:8081"`"xyz"`true)`new Instance("192.168.1.109:8082"`"abc"`true)`new Instance("192.168.1.109:8081"`"production"`true)`new Instance("192.168.1.109:8082"`"production"`true))`instanceList);" is 247.,37
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,ConcatenatingInstanceDiscoveryTest,twoConcats,Long Statement,The length of the statement "assertThat(new ConcatenatingInstanceDiscovery(() -> ImmutableList.of(instanceOne)`() -> ImmutableList.of(instanceTwo)).getInstanceList()).contains(instanceOne`instanceTwo);" is 172.,21
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,ConcatenatingInstanceDiscoveryTest,threeConcats,Long Statement,The length of the statement "assertThat(new ConcatenatingInstanceDiscovery(() -> ImmutableList.of(instanceOne)`() -> ImmutableList.of(instanceTwo)`() -> ImmutableList.of(instanceThree)).getInstanceList()).contains(instanceOne`instanceTwo`instanceThree);" is 224.,30
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,YamlInstanceConfigurationTest,defaultConfiguration,Long Statement,The length of the statement "final YamlInstanceConfiguration configuration=configFactory.build(new File(Resources.getResource("turbineConfigurations/default.yml").toURI()));" is 144.,26
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,YamlInstanceConfigurationTest,defaultConfiguration,Long Statement,The length of the statement "assertThat(configuration.getClusters()).isEqualTo(ImmutableMap.of("breakerbox"`YamlInstanceConfiguration.Cluster.withInstances(HostAndPort.fromParts("localhost"`8080))`"production"`YamlInstanceConfiguration.Cluster.withClusters("breakerbox")));" is 244.,26
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,YamlInstanceConfigurationTest,defaultConfiguration,Long Statement,The length of the statement "assertThat(configuration.getAllInstances()).isEqualTo(ImmutableSet.of(new Instance("localhost:8080"`"breakerbox"`true)`new Instance("localhost:8080"`"production"`true)));" is 170.,26
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,YamlInstanceConfigurationTest,defaultConfiguration,Magic Number,The method contains a magic number: 8080,26
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,YamlInstanceConfigurationTest,multipleClusters,Long Statement,The length of the statement "final YamlInstanceConfiguration configuration=configFactory.build(new File(Resources.getResource("turbineConfigurations/multipleClusters.yml").toURI()));" is 153.,38
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,YamlInstanceConfigurationTest,multipleClusters,Long Statement,The length of the statement "assertThat(configuration.getClusters()).isEqualTo(ImmutableMap.of("one"`new YamlInstanceConfiguration.Cluster(ImmutableSet.of(HostAndPort.fromParts("localhost"`1234)`HostAndPort.fromParts("localhost"`5678))`ImmutableSet.of("two"))`"two"`new YamlInstanceConfiguration.Cluster(ImmutableSet.of(HostAndPort.fromParts("localhost"`4321)`HostAndPort.fromParts("localhost"`9876))`ImmutableSet.of("one"))`"three"`YamlInstanceConfiguration.Cluster.withClusters("one"`"two")));" is 466.,38
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,YamlInstanceConfigurationTest,multipleClusters,Long Statement,The length of the statement "assertThat(configuration.getAllInstances()).isEqualTo(ImmutableSet.of(new Instance("localhost:1234"`"one"`true)`new Instance("localhost:5678"`"one"`true)`new Instance("localhost:4321"`"one"`true)`new Instance("localhost:9876"`"one"`true)`new Instance("localhost:4321"`"two"`true)`new Instance("localhost:9876"`"two"`true)`new Instance("localhost:1234"`"two"`true)`new Instance("localhost:5678"`"two"`true)`new Instance("localhost:4321"`"three"`true)`new Instance("localhost:9876"`"three"`true)`new Instance("localhost:1234"`"three"`true)`new Instance("localhost:5678"`"three"`true)));" is 584.,38
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,YamlInstanceConfigurationTest,multipleClusters,Magic Number,The method contains a magic number: 1234,38
yammer_breakerbox,com.yammer.breakerbox.turbine.tests,YamlInstanceConfigurationTest,multipleClusters,Magic Number,The method contains a magic number: 5678,38
