Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
HotelsDotCom_plunger,com.hotels.plunger,AbstractOperationCallStub,collect,Long Statement,The length of the statement "throw new IllegalArgumentException("Collected fields != declared fields: " + tupleEntry.getFields() + "` "+ getDeclaredFields());" is 129.,46
HotelsDotCom_plunger,com.hotels.plunger,TupleComparator,TupleComparator,Long Statement,The length of the statement "throw new IllegalArgumentException("Declared fields must contain sort fields: sortFields=" + sortFields + "` declaredFields="+ declaredFields);" is 143.,33
HotelsDotCom_plunger,com.hotels.plunger,PrettyPrinter,toString,Empty catch clause,The method has an empty catch block.,77
HotelsDotCom_plunger,com.hotels.plunger,Bucket,Bucket,Long Statement,The length of the statement "throw new IllegalStateException("You've already wielded your plunger! Create all of your buckets before calling result() on any one of them.");" is 143.,47
HotelsDotCom_plunger,com.hotels.plunger,DataBuilder,withFields,Long Statement,The length of the statement "throw new IllegalArgumentException("selected fields must be contained in record fields: selected fields=" + fieldMask + "` source fields="+ this.fields);" is 153.,135
HotelsDotCom_plunger,com.hotels.plunger,DataBuilder,setTuple,Long Statement,The length of the statement "throw new IllegalArgumentException("arguments.length {" + values.length + "} != current fieldMask.size() {"+ fieldMask.size()+ "` values="+ Arrays.toString(values)+ "}");" is 170.,185
HotelsDotCom_plunger,com.hotels.plunger,FieldTypeValidator,validateValues,Complex Method,Cyclomatic complexity of the method is 8,28
HotelsDotCom_plunger,com.hotels.plunger,PipeFactory,newInstance,Long Statement,The length of the statement "throw new IllegalStateException("You've already wielded your plunger! Create all of your pipes before calling result() on any of your buckets.");" is 145.,33
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleVarargs,Magic Number,The method contains a magic number: 2,32
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleVarargs,Magic Number,The method contains a magic number: 3,32
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleVarargs,Magic Number,The method contains a magic number: 4,32
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleVarargs,Magic Number,The method contains a magic number: 2,32
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleVarargs,Magic Number,The method contains a magic number: 2,32
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleVarargs,Magic Number,The method contains a magic number: 3,32
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleVarargs,Magic Number,The method contains a magic number: 4,32
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleVarargsInvalidLength,Magic Number,The method contains a magic number: 2,45
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleVarargsInvalidLength,Magic Number,The method contains a magic number: 3,45
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleVarargsWithFields,Magic Number,The method contains a magic number: 3,51
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleVarargsWithFields,Magic Number,The method contains a magic number: 2,51
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleVarargsWithFields,Magic Number,The method contains a magic number: 3,51
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleVarargsWithAllFields,Magic Number,The method contains a magic number: 2,64
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleVarargsWithAllFields,Magic Number,The method contains a magic number: 3,64
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleVarargsWithAllFields,Magic Number,The method contains a magic number: 2,64
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleVarargsWithAllFields,Magic Number,The method contains a magic number: 2,64
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleVarargsWithAllFields,Magic Number,The method contains a magic number: 3,64
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleVarargsWithFieldsInvalidLength,Magic Number,The method contains a magic number: 2,77
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleTuple,Magic Number,The method contains a magic number: 2,83
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleTuple,Magic Number,The method contains a magic number: 3,83
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleTuple,Magic Number,The method contains a magic number: 4,83
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleTuple,Magic Number,The method contains a magic number: 2,83
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleTuple,Magic Number,The method contains a magic number: 2,83
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleTuple,Magic Number,The method contains a magic number: 3,83
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleTuple,Magic Number,The method contains a magic number: 4,83
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleTupleInvalidLength,Magic Number,The method contains a magic number: 2,96
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleTupleInvalidLength,Magic Number,The method contains a magic number: 3,96
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleTupleWithFields,Magic Number,The method contains a magic number: 2,102
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleTupleWithFields,Magic Number,The method contains a magic number: 4,102
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleTupleWithFields,Magic Number,The method contains a magic number: 2,102
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleTupleWithFields,Magic Number,The method contains a magic number: 2,102
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleTupleWithFields,Magic Number,The method contains a magic number: 4,102
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addTupleTupleWithFieldsInvalidLength,Magic Number,The method contains a magic number: 2,115
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addMultipleTuplesVarArgs,Magic Number,The method contains a magic number: 2,121
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addMultipleTuplesVarArgs,Magic Number,The method contains a magic number: 3,121
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addMultipleTuplesVarArgs,Magic Number,The method contains a magic number: 4,121
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addMultipleTuplesVarArgs,Magic Number,The method contains a magic number: 5,121
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addMultipleTuplesVarArgs,Magic Number,The method contains a magic number: 6,121
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addMultipleTuplesVarArgs,Magic Number,The method contains a magic number: 3,121
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addMultipleTuplesVarArgs,Magic Number,The method contains a magic number: 2,121
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addMultipleTuplesVarArgs,Magic Number,The method contains a magic number: 3,121
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addMultipleTuplesVarArgs,Magic Number,The method contains a magic number: 4,121
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addMultipleTuplesVarArgs,Magic Number,The method contains a magic number: 2,121
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addMultipleTuplesVarArgs,Magic Number,The method contains a magic number: 5,121
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addMultipleTuplesVarArgs,Magic Number,The method contains a magic number: 6,121
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addMultipleTuplesVarArgsInvalidLength,Magic Number,The method contains a magic number: 2,136
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addMultipleTuplesVarArgsInvalidLength,Magic Number,The method contains a magic number: 3,136
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addMultipleTuplesVarArgsInvalidLength,Magic Number,The method contains a magic number: 4,136
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addMultipleTuplesVarArgsInvalidLength,Magic Number,The method contains a magic number: 5,136
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addMultipleTuplesVarArgsWithFields,Magic Number,The method contains a magic number: 2,142
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addMultipleTuplesVarArgsWithFields,Magic Number,The method contains a magic number: 2,142
HotelsDotCom_plunger,com.hotels.plunger,DataBuilderTest,addMultipleTuplesVarArgsWithFields,Magic Number,The method contains a magic number: 2,142
