Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
ontrack,net.nemerosa.ontrack.boot.ui,UIResourceAssembler,toProjectResource,Long Statement,The length of the statement "return Resource.of(project).self(link(fromMethodCall(on(UIProject.class).project(project.getId()`follow)))).link("branches"`link(fromMethodCall(on(UIBranch.class).getBranchesForProject(project.getId())))`() -> uiBranch().getBranchesForProject(project.getId()));" is 261.,30
ontrack,net.nemerosa.ontrack.boot.ui,UIProject,projects,Long Statement,The length of the statement "return Resource.of(projects.stream().map(p -> resourceAssembler.toProjectResource(p`Collections.emptySet())).collect(Collectors.toList())).self(link(fromMethodCall(on(UIProject.class).projects())));" is 198.,28
ontrack,net.nemerosa.ontrack.boot.ui,UIBranch,getBranchesForProject,Long Statement,The length of the statement "return Resource.of(branches.stream().map(resourceAssembler::toBranchResource).collect(Collectors.toList())).self(link(fromMethodCall(on(UIBranch.class).getBranchesForProject(project))));" is 186.,30
ontrack,net.nemerosa.ontrack.boot.ui,UITop,ui,Long Statement,The length of the statement "return Resource.empty().self(link(fromMethodCall(on(UITop.class).ui()))).link("projects"`link(fromMethodCall(on(UIProject.class).projects())));" is 143.,24
ontrack,net.nemerosa.ontrack.json,ObjectMapperFactory,create,Long Statement,The length of the statement "AnnotationIntrospector pair=AnnotationIntrospector.pair(config.getAnnotationIntrospector()`new ConstructorPropertiesAnnotationIntrospector());" is 142.,17
ontrack,net.nemerosa.ontrack.json,ProxyAnnotation,of,Long Statement,The length of the statement "return (A)Proxy.newProxyInstance(annotationType.getClassLoader()`new Class[]{annotationType}`new AnnotationInvocationHandler<A>(annotationType`properties));" is 156.,11
ontrack,net.nemerosa.ontrack.json,JsonUtils,toObject,Complex Method,Cyclomatic complexity of the method is 9,40
ontrack,net.nemerosa.ontrack.json,JsonUtils,toObject,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@18209303,40
ontrack,net.nemerosa.ontrack.json,JDKLocalDateTimeSerializerTest,toJson,Long Statement,The length of the statement "assertEquals("\"2014-03-20T20:44:00Z\""`ObjectMapperFactory.create().writeValueAsString(LocalDateTime.of(2014`3`20`20`44)));" is 124.,14
ontrack,net.nemerosa.ontrack.json,JDKLocalDateTimeSerializerTest,toJson,Magic Number,The method contains a magic number: 2014,14
ontrack,net.nemerosa.ontrack.json,JDKLocalDateTimeSerializerTest,toJson,Magic Number,The method contains a magic number: 3,14
ontrack,net.nemerosa.ontrack.json,JDKLocalDateTimeSerializerTest,toJson,Magic Number,The method contains a magic number: 20,14
ontrack,net.nemerosa.ontrack.json,JDKLocalDateTimeSerializerTest,toJson,Magic Number,The method contains a magic number: 20,14
ontrack,net.nemerosa.ontrack.json,JDKLocalDateTimeSerializerTest,toJson,Magic Number,The method contains a magic number: 44,14
ontrack,net.nemerosa.ontrack.json,JDKLocalDateTimeSerializerTest,fromJson_with_zone,Long Statement,The length of the statement "assertEquals(LocalDateTime.of(2014`3`20`7`30)`ObjectMapperFactory.create().readValue("\"2014-03-20T07:30:00.000Z\""`LocalDateTime.class));" is 138.,44
ontrack,net.nemerosa.ontrack.json,JDKLocalDateTimeSerializerTest,fromJson_with_zone,Magic Number,The method contains a magic number: 2014,44
