Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
Roanis_atg-tdd,com.roanis.tdd.samples.userprofiling,ProfileToolsTest,setUp,Long Statement,The length of the statement "userEmailAddress=(String)ServletUtil.getCurrentUserProfile().getPropertyValue(mProfileTools.getPropertyManager().getEmailAddressPropertyName());" is 144.,29
Roanis_atg-tdd,com.roanis.tdd.samples.userprofiling,ProfileRepositoryTest,setPropertyValue,Long Statement,The length of the statement "MutableRepositoryItem mutableUser=mProfileRepositoy.getItemForUpdate(mUser.getRepositoryId()`mUser.getItemDescriptor().getItemDescriptorName());" is 144.,46
Roanis_atg-tdd,com.roanis.tdd.samples.commerce.catalog,CatalogToolsTest,productHasChildSkus,Long Statement,The length of the statement "@SuppressWarnings("unchecked") List<RepositoryItem> childSkus=(List<RepositoryItem>)jacket.getPropertyValue("childSKUs");" is 121.,40
Roanis_atg-tdd,com.roanis.tdd.samples.commerce.catalog,CatalogToolsTest,productHasChildSkus,Magic Number,The method contains a magic number: 3,40
Roanis_atg-tdd,com.roanis.tdd.samples.commerce.pricing.priceLists,PriceListManagerTest,skuListPriceExists,Long Statement,The length of the statement "RepositoryItem price=mPriceListManager.getPrice(mListPrices.getRepositoryId()`CatalogTestConstants.MENS_BELT_PRODUCT_ID`CatalogTestConstants.CASUAL_BELT_BROWN_SMALL_SKU_ID);" is 173.,62
Roanis_atg-tdd,com.roanis.tdd.samples.commerce.pricing.priceLists,PriceListManagerTest,skuListPriceExists,Magic Number,The method contains a magic number: 19.99D,62
Roanis_atg-tdd,com.roanis.tdd.samples.commerce.pricing.priceLists,PriceListManagerTest,skuSalePriceExists,Long Statement,The length of the statement "RepositoryItem price=mPriceListManager.getPrice(mSalePrices.getRepositoryId()`CatalogTestConstants.PHONE_PRODUCT_ID`CatalogTestConstants.PHONE_SKU_ID);" is 151.,69
Roanis_atg-tdd,com.roanis.tdd.samples.commerce.pricing.priceLists,PriceListManagerTest,skuSalePriceExists,Magic Number,The method contains a magic number: 269.00D,69
Roanis_atg-tdd,com.roanis.tdd.samples.commerce.pricing,RepriceOrderTest,singleItem,Magic Number,The method contains a magic number: 19.99D,56
Roanis_atg-tdd,com.roanis.tdd.samples.commerce.pricing,RepriceOrderTest,addItem,Long Statement,The length of the statement "mOrderTestHelper.addItemToOrder(mOrder`CatalogTestConstants.JACKET_LARGE_SKU_ID`CatalogTestConstants.MENS_JACKET_PRODUCT_ID`2L);" is 128.,67
