Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
joeattardi_tailstreamer,com.thinksincode.tailstreamer,TailStreamer,getHelpText,Long Statement,The length of the statement "return new StringBuilder().append("Usage: tailstreamer [options] file\n").append(" -h Print this message\n").append(" -v Display version information\n").append(" --encryptPassword <password> Encrypts a specified password\n").append(" --server.port=PORT Listen on PORT (default 8080)\n").toString();" is 298.,58
joeattardi_tailstreamer,com.thinksincode.tailstreamer,ArgumentProcessor,validateArguments,Complex Method,Cyclomatic complexity of the method is 9,52
joeattardi_tailstreamer,com.thinksincode.tailstreamer,ArgumentProcessorTests,testNonExistentFile,Long Statement,The length of the statement "Assert.assertEquals(String.format(ArgumentProcessor.MESSAGE_FILE_NOT_FOUND`"some_file.txt")`processor.getValidationErrorMessage());" is 131.,44
joeattardi_tailstreamer,com.thinksincode.tailstreamer,WatchServiceFileWatcherTests,testWatchFile,Magic Number,The method contains a magic number: 1000,19
joeattardi_tailstreamer,com.thinksincode.tailstreamer.config,WebSecurityConfig,configure,Long Statement,The length of the statement "http.authorizeRequests().antMatchers("/css/*.css"`"/fonts/*"`"/logo.png"`"/favicon.png").permitAll().anyRequest().authenticated().and().formLogin().loginPage("/login").permitAll().and().logout().permitAll();" is 207.,31
joeattardi_tailstreamer,com.thinksincode.tailstreamer.controller,MainController,maybeTruncate,Long Statement,The length of the statement "return fileName.substring(0`MAX_FILENAME_LENGTH) + "..." + fileName.substring(fileName.length() - extension.length() - 1);" is 122.,27
