Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
xp,com.enonic.wem.core.elasticsearch,XContentBuilderFactoryTest,create_given_indexdocument_arrayvalues,Magic Number,The method contains a magic number: 2.0,75
xp,com.enonic.wem.core.elasticsearch,XContentBuilderFactoryTest,create_given_indexdocument_arrayvalues,Magic Number,The method contains a magic number: 2,75
xp,com.enonic.wem.core.elasticsearch,XContentBuilderFactoryTest,create_given_indexdocument_arrayvalues,Magic Number,The method contains a magic number: 2,75
xp,com.enonic.wem.core.elasticsearch,XContentBuilderFactoryTest,create_given_indexdocument_arrayvalues,Magic Number,The method contains a magic number: 2,75
xp,com.enonic.wem.core.elasticsearch,XContentBuilderFactoryTest,create_given_indexdocument_arrayvalues,Magic Number,The method contains a magic number: 2,75
xp,com.enonic.wem.core.elasticsearch,XContentBuilderFactoryTest,getObjectMap,Long Statement,The length of the statement "final Tuple<XContentType`Map<String`Object>> xContentTypeMapTuple=XContentHelper.convertToMap(xContentBuilder.bytes()`true);" is 124.,114
xp,com.enonic.wem.core.elasticsearch,ElasticsearchVersionServiceTest,getVersions,Long Statement,The length of the statement "Mockito.when(elasticsearchDao.get(Mockito.any(QueryMetaData.class)`Mockito.isA(TermQueryBuilder.class))).thenReturn(SearchResult.create().results(SearchResultEntries.create().add(SearchResultEntry.create().id("1").score(5).addField(NODE_VERSION_ID_FIELD_NAME`new SearchResultField(NODE_VERSION_ID_FIELD_NAME`"a")).addField(TIMESTAMP_ID_FIELD_NAME`new SearchResultField(TIMESTAMP_ID_FIELD_NAME`first)).build()).add(SearchResultEntry.create().id("2").score(4).addField(NODE_VERSION_ID_FIELD_NAME`new SearchResultField(NODE_VERSION_ID_FIELD_NAME`"c")).addField(TIMESTAMP_ID_FIELD_NAME`new SearchResultField(TIMESTAMP_ID_FIELD_NAME`third)).build()).add(SearchResultEntry.create().id("3").score(3).addField(NODE_VERSION_ID_FIELD_NAME`new SearchResultField(NODE_VERSION_ID_FIELD_NAME`"b")).addField(TIMESTAMP_ID_FIELD_NAME`new SearchResultField(TIMESTAMP_ID_FIELD_NAME`second)).build()).build()).build());" is 899.,43
xp,com.enonic.wem.core.elasticsearch,ElasticsearchVersionServiceTest,getVersions,Magic Number,The method contains a magic number: 5,43
xp,com.enonic.wem.core.elasticsearch,ElasticsearchVersionServiceTest,getVersions,Magic Number,The method contains a magic number: 4,43
xp,com.enonic.wem.core.elasticsearch,ElasticsearchVersionServiceTest,getVersions,Magic Number,The method contains a magic number: 3,43
xp,com.enonic.wem.core.elasticsearch,ElasticsearchVersionServiceTest,getVersions,Magic Number,The method contains a magic number: 3,43
xp,com.enonic.wem.core.elasticsearch,ElasticsearchVersionService,store,Long Statement,The length of the statement "final IndexRequest versionsDocument=Requests.indexRequest().index(VERSION_INDEX.getName()).type(IndexType.NODE.getName()).source(VersionXContentBuilderFactory.create(entityVersionDocument)).id(entityVersionDocument.getNodeVersionId().toString()).refresh(DEFAULT_REFRESH);" is 271.,41
xp,com.enonic.wem.core.elasticsearch,ElasticsearchVersionService,findVersions,Long Identifier,The length of the identifier findEntityVersionResultBuilder is 30.,72
xp,com.enonic.wem.core.elasticsearch,ElasticsearchVersionService,createQueryMetaData,Long Statement,The length of the statement "return QueryMetaData.create(VERSION_INDEX).addFields(fieldNames).size(size).from(from).indexType(IndexType.NODE).addSort(descendingTimestampSort).build();" is 154.,133
xp,com.enonic.wem.core.elasticsearch,ElasticsearchWorkspaceService,doStore,Long Statement,The length of the statement "final WorkspaceDocumentId workspaceDocumentId=new WorkspaceDocumentId(workspaceDocument.getEntityId()`workspaceDocument.getWorkspace());" is 136.,75
xp,com.enonic.wem.core.elasticsearch,ElasticsearchWorkspaceService,doStore,Long Statement,The length of the statement "final IndexRequest publish=Requests.indexRequest().index(WORKSPACE_INDEX.getName()).type(IndexType.NODE.getName()).source(WorkspaceXContentBuilderFactory.create(workspaceDocument)).id(workspaceDocumentId.toString()).refresh(DEFAULT_REFRESH);" is 241.,75
xp,com.enonic.wem.core.elasticsearch,ElasticsearchWorkspaceService,delete,Long Statement,The length of the statement "DeleteRequest deleteRequest=new DeleteRequest(WORKSPACE_INDEX.getName()).type(IndexType.NODE.getName()).id(new WorkspaceDocumentId(query.getEntityId()`query.getWorkspace()).toString()).refresh(DEFAULT_REFRESH);" is 210.,90
xp,com.enonic.wem.core.elasticsearch,ElasticsearchWorkspaceService,getCurrentVersion,Long Statement,The length of the statement "throw new ElasticsearchDataException("Field " + NODE_VERSION_ID_FIELD_NAME + " not found on node with id "+ entityId+ " in workspace "+ query.getWorkspace().getName());" is 168.,101
xp,com.enonic.wem.core.elasticsearch,ElasticsearchWorkspaceService,doGetById,Long Statement,The length of the statement "final TermQueryBuilder idQuery=new TermQueryBuilder(WorkspaceXContentBuilderFactory.ENTITY_ID_FIELD_NAME`entityId.toString());" is 126.,130
xp,com.enonic.wem.core.elasticsearch,ElasticsearchWorkspaceService,doGetById,Long Statement,The length of the statement "final QueryMetaData queryMetaData=QueryMetaData.create(WORKSPACE_INDEX).indexType(IndexType.NODE).from(0).size(1).addFields(fields).build();" is 140.,130
xp,com.enonic.wem.core.elasticsearch,ElasticsearchWorkspaceService,doGetByIds,Long Statement,The length of the statement "final Map<String`SearchResultField> orderedResultMap=getSearchResultFieldsWithPreservedOrder(workspace`entityIdsAsStrings`searchResult);" is 136.,169
xp,com.enonic.wem.core.elasticsearch,ElasticsearchWorkspaceService,getSearchResultFieldsWithPreservedOrder,Long Statement,The length of the statement "return Maps.asMap(entityIdsAsStrings`new EntityIdToSearchResultFieldMapper(searchResult`NODE_VERSION_ID_FIELD_NAME`workspace));" is 127.,190
xp,com.enonic.wem.core.elasticsearch,ElasticsearchWorkspaceService,getByPath,Long Statement,The length of the statement "throw new ElasticsearchDataException("Field " + NODE_VERSION_ID_FIELD_NAME + " not found on node with path "+ query.getNodePathAsString()+ " in workspace "+ query.getWorkspace());" is 179.,199
xp,com.enonic.wem.core.elasticsearch,ElasticsearchWorkspaceService,getEntriesWithDiff,Long Statement,The length of the statement "final BoolQueryBuilder inOnOfTheWorkspaces=new BoolQueryBuilder().should(inSource).should(inTarget).minimumNumberShouldMatch(1);" is 128.,262
xp,com.enonic.wem.core.elasticsearch,ElasticsearchWorkspaceService,getEntriesWithDiff,Long Statement,The length of the statement "final TermsBuilder changedAggregationQuery=AggregationBuilders.terms(changedAggregationName).size((int)(long)totalCount).order(Terms.Order.count(true));" is 152.,262
xp,com.enonic.wem.core.elasticsearch,ElasticsearchWorkspaceService,getEntriesWithDiff,Long Statement,The length of the statement "final ElasticsearchQuery query=ElasticsearchQuery.newQuery().query(inOnOfTheWorkspaces).setAggregations(Sets.newHashSet(changedAggregationQuery)).size(0).from(0).index(WORKSPACE_INDEX.getName()).indexType(IndexType.NODE).build();" is 229.,262
xp,com.enonic.wem.core.elasticsearch,ElasticsearchWorkspaceService,getEntriesWithDiff,Long Statement,The length of the statement "throw new ClassCastException("Aggregation of unexpected type` should be BucketAggregation` was " + changedAggregation.getClass().getName());" is 140.,262
xp,com.enonic.wem.core.elasticsearch,ElasticsearchWorkspaceService,hasChildren,Long Statement,The length of the statement "final QueryMetaData queryMetaData=QueryMetaData.create(WORKSPACE_INDEX).indexType(IndexType.NODE).from(0).size(0).build();" is 122.,309
xp,com.enonic.wem.core.elasticsearch,ElasticsearchWorkspaceService,createGetBlobKeyQueryMetaData,Long Statement,The length of the statement "return QueryMetaData.create(WORKSPACE_INDEX).indexType(IndexType.NODE).from(0).size(numberOfHits).addField(ENTITY_ID_FIELD_NAME).addField(NODE_VERSION_ID_FIELD_NAME).addSort(fieldSortBuilder).build();" is 200.,342
xp,com.enonic.wem.core.elasticsearch,ElasticsearchDao,update,Long Statement,The length of the statement "UpdateRequestBuilder updateRequestBuilder=new UpdateRequestBuilder(this.client).setIndex(indexRequest.index()).setType(indexRequest.type()).setId(indexRequest.id()).setDoc(indexRequest);" is 186.,45
xp,com.enonic.wem.core.elasticsearch,ElasticsearchDao,store,Long Statement,The length of the statement "final IndexRequest req=Requests.indexRequest().id(id).index(indexDocument.getIndexName()).type(indexDocument.getIndexTypeName()).source(xContentBuilder).refresh(indexDocument.doRefreshOnStore());" is 195.,61
xp,com.enonic.wem.core.elasticsearch,ElasticsearchDao,delete,Long Statement,The length of the statement "DeleteRequest deleteRequest=new DeleteRequest(deleteDocument.getIndexName()).type(deleteDocument.getIndexTypeName()).id(deleteDocument.getId()).refresh(DEFAULT_REFRESH);" is 169.,87
xp,com.enonic.wem.core.elasticsearch,ElasticsearchDao,delete,Long Statement,The length of the statement "throw new IndexException("Failed to delete from index " + deleteDocument.getIndexName() + " of type "+ deleteDocument.getIndexTypeName()+ " with id "+ deleteDocument.getId()`e);" is 177.,87
xp,com.enonic.wem.core.elasticsearch,ElasticsearchDao,search,Long Statement,The length of the statement "final SearchRequest searchRequest=Requests.searchRequest(elasticsearchQuery.getIndexName()).types(elasticsearchQuery.getIndexType().getName()).source(searchSource);" is 164.,106
xp,com.enonic.wem.core.elasticsearch,ElasticsearchDao,get,Long Statement,The length of the statement "final SearchRequestBuilder searchRequestBuilder=this.client.prepareSearch(queryMetaData.getIndex()).setTypes(queryMetaData.getIndexType()).setQuery(queryBuilder).setFrom(queryMetaData.getFrom()).setSize(queryMetaData.getSize());" is 228.,146
xp,com.enonic.wem.core.elasticsearch,ElasticsearchDao,count,Long Statement,The length of the statement "SearchRequestBuilder searchRequestBuilder=new SearchRequestBuilder(this.client).setIndices(queryMetaData.getIndex()).setTypes(queryMetaData.getIndexType()).setQuery(query).setSearchType(SearchType.COUNT);" is 204.,187
xp,com.enonic.wem.core.elasticsearch,FieldNameResolver,resolve,Long Statement,The length of the statement "final String postFix=Strings.isNullOrEmpty(item.getIndexBaseType().getPostfix()) ? "" : SEPARATOR + item.getIndexBaseType().getPostfix();" is 137.,13
xp,com.enonic.wem.core.elasticsearch,XContentBuilderFactory,addCollectionInfo,Long Statement,The length of the statement "addField(builder`IndexConstants.COLLECTION_FIELD`Strings.isNullOrEmpty(collection) ? IndexConstants.DEFAULT_COLLECTION : collection);" is 133.,64
xp,com.enonic.wem.core.elasticsearch,ElasticsearchIndexService,applyIndexTemplates,Long Statement,The length of the statement "final PutIndexTemplateRequestBuilder request=new PutIndexTemplateRequestBuilder(this.client.admin().indices()`SEARCH_INDEX_TEMPLATE_NAME).setTemplate(SEARCH_INDEX_NAME_PATTERN);" is 177.,90
xp,com.enonic.wem.core.elasticsearch,ElasticsearchIndexService,getClusterHealth,Long Statement,The length of the statement "LOG.trace("ElasticSearch cluster health: Status " + clusterHealthResponse.getStatus().name() + "; "+ clusterHealthResponse.getNumberOfNodes()+ " nodes; "+ clusterHealthResponse.getActiveShards()+ " active shards.");" is 215.,142
xp,com.enonic.wem.core.elasticsearch,ElasticsearchIndexService,indexExists,Long Statement,The length of the statement "final IndicesExistsResponse exists=this.client.admin().indices().exists(new IndicesExistsRequest(index.getName())).actionGet();" is 127.,171
xp,com.enonic.wem.core.elasticsearch,ElasticsearchIndexService,getAllIndicesNames,Magic Number,The method contains a magic number: 10,234
xp,com.enonic.wem.core.elasticsearch.query.builder.function,FunctionQueryBuilderFactoryTest,test_fulltext,Long Statement,The length of the statement "List<ValueExpr> arguments=Lists.newArrayList(ValueExpr.string("myField")`ValueExpr.string("mySearchString")`ValueExpr.string("OR"));" is 132.,19
xp,com.enonic.wem.core.elasticsearch.query.builder.function,FunctionQueryBuilderFactory,createFulltext,Long Statement,The length of the statement "SimpleQueryStringBuilder builder=new SimpleQueryStringBuilder(arguments.getSearchString()).defaultOperator(arguments.getOperator());" is 132.,32
xp,com.enonic.wem.core.elasticsearch.query.builder.function,FunctionQueryBuilderFactory,createNGram,Long Statement,The length of the statement "SimpleQueryStringBuilder builder=new SimpleQueryStringBuilder(arguments.getSearchString()).defaultOperator(arguments.getOperator());" is 132.,49
xp,com.enonic.wem.core.elasticsearch.query.builder.function,DynamicSortBuilderFactory,create,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@37f08e6d,16
xp,com.enonic.wem.core.config,ConfigLoaderTest,testDefaultConfig,Magic Number,The method contains a magic number: 5,86
xp,com.enonic.wem.core.config,ConfigLoaderTest,testHomeConfig,Magic Number,The method contains a magic number: 6,102
xp,com.enonic.wem.core.config,ConfigLoaderTest,testSystemProperties,Magic Number,The method contains a magic number: 5,120
xp,com.enonic.wem.core.home,HomeResolver,resolvePath,Long Statement,The length of the statement "throw new IllegalArgumentException("Home directory not set. Please set either [cms.home] " + "system property or [CMS_HOME] environment variable.");" is 148.,34
xp,com.enonic.wem.core.form,FormItemsDataSerializerTest,deserializeDatas_givenFormItems,Long Statement,The length of the statement "dataList.add(createFormItemSetData("form-item-set"`createInputData("text-line"`InputTypes.TEXT_LINE)`createInputData("text-area"`InputTypes.TEXT_AREA)));" is 153.,56
xp,com.enonic.wem.core.form,FormItemsDataSerializerTest,deserializeDatas_givenFormItems,Long Statement,The length of the statement "dataList.add(createFieldSetData("field-set"`createInputData("text-line"`InputTypes.TEXT_LINE)`createInputData("text-area"`InputTypes.TEXT_AREA)));" is 146.,56
xp,com.enonic.wem.core.form,FormItemsDataSerializerTest,deserializeDatas_givenFormItems,Long Statement,The length of the statement "expectedFormItems.add(createFormItemSet("form-item-set"`createInput("text-line"`InputTypes.TEXT_LINE)`createInput("text-area"`InputTypes.TEXT_AREA)));" is 150.,56
xp,com.enonic.wem.core.form,FormItemsDataSerializerTest,deserializeDatas_givenFormItems,Long Statement,The length of the statement "expectedFormItems.add(createFieldSet("field-set"`createInput("text-line"`InputTypes.TEXT_LINE)`createInput("text-area"`InputTypes.TEXT_AREA)));" is 143.,56
xp,com.enonic.wem.core.form,FormItemsDataSerializerTest,createInput,Long Statement,The length of the statement "return Input.newInput().name(name).label(name).immutable(false).multiple(false).indexed(true).customText("custom text").helpText("help text").inputType(inputType).inputTypeConfig(inputType.getDefaultConfig()).occurrences(0`1).build();" is 234.,104
xp,com.enonic.wem.core.form,FormItemsDataSerializerTest,createInputData,Long Statement,The length of the statement "DataSet.Builder inputDataBuilder=DataSet.newDataSet().name("Input").set("name"`name`ValueTypes.STRING).set("label"`name`ValueTypes.STRING).set("customText"`"custom text"`ValueTypes.STRING).set("helpText"`"help text"`ValueTypes.STRING).set("immutable"`Boolean.FALSE`ValueTypes.STRING).set("indexed"`Boolean.TRUE`ValueTypes.STRING);" is 330.,119
xp,com.enonic.wem.core.form,FormItemsDataSerializerTest,createFormItemSet,Long Statement,The length of the statement "FormItemSet.Builder formItemSetBuilder=FormItemSet.newFormItemSet().name(name).customText("custom text").helpText("help text").maximumOccurrences(1).minimumOccurrences(0).label(name).immutable(false).multiple(false).required(false);" is 232.,147
xp,com.enonic.wem.core.form,FormItemsDataSerializerTest,createFormItemSetData,Long Statement,The length of the statement "formItemSetBuilder.set("name"`name`ValueTypes.STRING).set("label"`name`ValueTypes.STRING).set("customText"`"custom text"`ValueTypes.STRING).set("helpText"`"help text"`ValueTypes.STRING).set("immutable"`Boolean.FALSE`ValueTypes.STRING);" is 235.,161
xp,com.enonic.wem.core.form,FormItemsDataSerializerTest,createOccurrences,Long Statement,The length of the statement "return DataSet.newDataSet().name("occurrences").set("minimum"`0`ValueTypes.LONG).set("maximum"`1`ValueTypes.LONG).build();" is 122.,208
xp,com.enonic.wem.core.form,FormItemDataSerializerTest,serializeFormItem_given_FormItemSet,Long Statement,The length of the statement "FormItemSet formItemSet=createFormItemSet("form-item-set"`createInput("text-line"`InputTypes.TEXT_LINE)`createInput("html-area"`InputTypes.HTML_AREA)`createFormItemSet("inner-form-item-set"));" is 192.,52
xp,com.enonic.wem.core.form,FormItemDataSerializerTest,serializeFormItem_given_FormItemSet,Long Statement,The length of the statement "Data expectedData=createFormItemSetData("form-item-set"`createInputData("text-line"`InputTypes.TEXT_LINE)`createInputData("html-area"`InputTypes.HTML_AREA)`createFormItemSetData("inner-form-item-set"));" is 202.,52
xp,com.enonic.wem.core.form,FormItemDataSerializerTest,serializeFormItem_given_FieldSet,Long Statement,The length of the statement "FieldSet fieldSet=createFieldSet("field-set"`createInput("text-line"`InputTypes.TEXT_LINE)`createInput("html-area"`InputTypes.HTML_AREA));" is 138.,70
xp,com.enonic.wem.core.form,FormItemDataSerializerTest,serializeFormItem_given_FieldSet,Long Statement,The length of the statement "Data expectedData=createFieldSetData("field-set"`createInputData("text-line"`InputTypes.TEXT_LINE)`createInputData("html-area"`InputTypes.HTML_AREA));" is 150.,70
xp,com.enonic.wem.core.form,FormItemDataSerializerTest,serializeFormItems_given_MixinReference,Long Statement,The length of the statement "final MixinReference mixinReference=MixinReference.newMixinReference().name("mymixinreference").mixin("mymodule-1.0.0:mymixinreferencedto").build();" is 148.,87
xp,com.enonic.wem.core.form,FormItemDataSerializerTest,createInput,Long Statement,The length of the statement "return Input.newInput().name(name).label(name).immutable(false).multiple(false).indexed(true).customText("custom text").helpText("help text").inputType(inputType).inputTypeConfig(inputType.getDefaultConfig()).occurrences(0`1).build();" is 234.,101
xp,com.enonic.wem.core.form,FormItemDataSerializerTest,createInputData,Long Statement,The length of the statement "DataSet.Builder inputDataBuilder=DataSet.newDataSet().name("Input").set("name"`name`ValueTypes.STRING).set("label"`name`ValueTypes.STRING).set("customText"`"custom text"`ValueTypes.STRING).set("helpText"`"help text"`ValueTypes.STRING).set("immutable"`Boolean.FALSE`ValueTypes.STRING).set("indexed"`Boolean.TRUE`ValueTypes.STRING);" is 330.,116
xp,com.enonic.wem.core.form,FormItemDataSerializerTest,createFormItemSet,Long Statement,The length of the statement "FormItemSet.Builder formItemSetBuilder=FormItemSet.newFormItemSet().name(name).customText("custom text").helpText("help text").maximumOccurrences(1).minimumOccurrences(0).label(name).immutable(false).multiple(false).required(false);" is 232.,144
xp,com.enonic.wem.core.form,FormItemDataSerializerTest,createFormItemSetData,Long Statement,The length of the statement "formItemSetBuilder.set("name"`name`ValueTypes.STRING).set("label"`name`ValueTypes.STRING).set("customText"`"custom text"`ValueTypes.STRING).set("helpText"`"help text"`ValueTypes.STRING).set("immutable"`Boolean.FALSE`ValueTypes.STRING);" is 235.,158
xp,com.enonic.wem.core.form,FormItemDataSerializerTest,createOccurrences,Long Statement,The length of the statement "return DataSet.newDataSet().name("occurrences").set("minimum"`0`ValueTypes.LONG).set("maximum"`1`ValueTypes.LONG).build();" is 122.,205
xp,com.enonic.wem.core.form,FormItemDataSerializer,deserializeInput,Complex Method,Cyclomatic complexity of the method is 10,222
xp,com.enonic.wem.core.form,FormItemDataSerializer,deserializeOccurrences,Long Statement,The length of the statement "return new Occurrences(occurrencesAsDataSet.getProperty("minimum").getLong().intValue()`occurrencesAsDataSet.getProperty("maximum").getLong().intValue());" is 154.,287
xp,com.enonic.wem.core.form,FormItemDataSerializer,deserializeFormItemSet,Complex Method,Cyclomatic complexity of the method is 8,293
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactoryTest,set_analyzer,Long Statement,The length of the statement "final Node node=Node.newNode().id(EntityId.from("abc")).entityIndexConfig(EntityPropertyIndexConfig.newEntityIndexConfig().analyzer(myAnalyzerName).build()).build();" is 165.,83
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactoryTest,node_index_document_meta_data_values,Long Statement,The length of the statement "Node node=Node.newNode().id(EntityId.from("myId")).parent(NodePath.ROOT).name(NodeName.from("my-name")).createdTime(Instant.now()).creator(UserKey.from("test:creator")).modifier(UserKey.from("test:modifier").asUser()).modifiedTime(modifiedDateTime).entityIndexConfig(EntityPropertyIndexConfig.newEntityIndexConfig().analyzer(myAnalyzerName).build()).build();" is 358.,103
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactoryTest,node_index_document_meta_data_values,Long Statement,The length of the statement "final AbstractIndexDocumentItem createdTimeItem=getItemWithName(indexDocument`NodeIndexDocumentFactory.CREATED_TIME_PROPERTY`IndexValueType.DATETIME);" is 150.,103
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactoryTest,node_index_document_meta_data_values,Long Statement,The length of the statement "final AbstractIndexDocumentItem creator=getItemWithName(indexDocument`NodeIndexDocumentFactory.CREATOR_PROPERTY_PATH`IndexValueType.STRING);" is 140.,103
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactoryTest,node_index_document_meta_data_values,Long Statement,The length of the statement "final AbstractIndexDocumentItem modifier=getItemWithName(indexDocument`NodeIndexDocumentFactory.MODIFIER_PROPERTY_PATH`IndexValueType.STRING);" is 142.,103
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactoryTest,node_index_document_meta_data_values,Magic Number,The method contains a magic number: 2013,103
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactoryTest,node_index_document_meta_data_values,Magic Number,The method contains a magic number: 2,103
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactoryTest,node_index_document_meta_data_values,Magic Number,The method contains a magic number: 3,103
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactoryTest,node_index_document_meta_data_values,Magic Number,The method contains a magic number: 4,103
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactoryTest,node_index_document_meta_data_values,Magic Number,The method contains a magic number: 5,103
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactoryTest,add_properties_then_index_document_items_created_for_each_property,Magic Number,The method contains a magic number: 2.0,148
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactoryTest,create_for_properties_with_multiple_values,Long Statement,The length of the statement "final Set<AbstractIndexDocumentItem> numberItems=getItemsWithName(next`IndexDocumentItemPath.from("a_b_c")`IndexValueType.NUMBER);" is 130.,169
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactoryTest,create_for_properties_with_multiple_values,Magic Number,The method contains a magic number: 2.0,169
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactoryTest,create_for_properties_with_multiple_values,Magic Number,The method contains a magic number: 3.0,169
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactoryTest,create_for_properties_with_multiple_values,Magic Number,The method contains a magic number: 2,169
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactory,createDataDocument,Long Statement,The length of the statement "final IndexDocument.Builder builder=IndexDocument.newIndexDocument().id(node.id()).index(workspace.getSearchIndexName()).indexType(IndexType.NODE).analyzer(entityIndexConfig.getAnalyzer()).collection(entityIndexConfig.getCollection());" is 235.,76
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactory,addNodeMetaData,Complex Method,Cyclomatic complexity of the method is 8,95
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactory,addNodeMetaData,Long Statement,The length of the statement "builder.addEntries(factory.create(CREATED_TIME_PROPERTY`Value.newInstant(node.getCreatedTime())`metadataPropertyIndexConfig));" is 126.,95
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactory,addNodeMetaData,Long Statement,The length of the statement "builder.addEntries(factory.create(CREATOR_PROPERTY_PATH`Value.newString(node.getCreator().getQualifiedName())`metadataPropertyIndexConfig));" is 140.,95
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactory,addNodeMetaData,Long Statement,The length of the statement "builder.addEntries(factory.create(MODIFIED_TIME_PROPERTY_PATH`Value.newInstant(node.getModifiedTime())`metadataPropertyIndexConfig));" is 133.,95
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactory,addNodeMetaData,Long Statement,The length of the statement "builder.addEntries(factory.create(MODIFIER_PROPERTY_PATH`Value.newString(node.getModifier().getQualifiedName())`metadataPropertyIndexConfig));" is 142.,95
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactory,addNodeMetaData,Long Statement,The length of the statement "builder.addEntries(factory.create(PATH_PROPERTY_PATH`Value.newString(node.path().toString())`metadataPropertyIndexConfig));" is 123.,95
xp,com.enonic.wem.core.entity.index,NodeIndexDocumentFactory,addNodeMetaData,Long Statement,The length of the statement "builder.addEntries(factory.create(PARENT_PROPERTY_PATH`Value.newString(node.parent().toString())`metadataPropertyIndexConfig));" is 127.,95
xp,com.enonic.wem.core.entity,RenameNodeCommandTest,rename_no_children,Long Statement,The length of the statement "final Node nodeToBeRenamed=Node.newNode().id(EntityId.from("rename-node-id")).name(NodeName.from("my-node-name")).parent(NodePath.ROOT).creator(UserKey.superUser()).build();" is 173.,26
xp,com.enonic.wem.core.entity,RenameNodeCommandTest,rename_no_children,Long Statement,The length of the statement "when(workspaceService.findByParent(new WorkspaceParentQuery(workspace`nodeToBeRenamed.path()))).thenReturn(NodeVersionIds.empty());" is 131.,26
xp,com.enonic.wem.core.entity,RenameNodeCommandTest,createCommand,Long Statement,The length of the statement "return RenameNodeCommand.create(TEST_CONTEXT).indexService(this.indexService).versionService(this.versionService).nodeDao(this.nodeDao).workspaceService(this.workspaceService).params(params).build();" is 199.,73
xp,com.enonic.wem.core.entity,NodeHasChildResolverTest,resolve_node,Long Statement,The length of the statement "final Node node=Node.newNode().creator(UserKey.superUser()).id(EntityId.from("test")).parent(NodePath.ROOT).name(NodeName.from("test")).build();" is 144.,22
xp,com.enonic.wem.core.entity,NodeHasChildResolverTest,resolve_node,Long Statement,The length of the statement "final Node resolvedNode=NodeHasChildResolver.create().workspaceService(workspaceService).workspace(workspace).build().resolve(node);" is 132.,22
xp,com.enonic.wem.core.entity,NodeHasChildResolverTest,resolve_nodes,Long Statement,The length of the statement "final Node nodeWithChild=Node.newNode().creator(UserKey.superUser()).id(nodeWithChildId).parent(NodePath.ROOT).name(NodeName.from("node-with-child")).build();" is 158.,49
xp,com.enonic.wem.core.entity,NodeHasChildResolverTest,resolve_nodes,Long Statement,The length of the statement "final Node nodeWithoutChild=Node.newNode().creator(UserKey.superUser()).id(nodeWithoutChildId).parent(NodePath.ROOT).name(NodeName.from("node-without-child")).build();" is 167.,49
xp,com.enonic.wem.core.entity,NodeHasChildResolverTest,resolve_nodes,Long Statement,The length of the statement "final Nodes resolvedNodes=NodeHasChildResolver.create().workspaceService(workspaceService).workspace(workspace).build().resolve(nodes);" is 135.,49
xp,com.enonic.wem.core.entity,GetActiveNodeVersionsCommandTest,getFromMultipleWorkspaces,Long Statement,The length of the statement "Mockito.when(this.workspaceService.getCurrentVersion(new WorkspaceIdQuery(testWorkspace`nodeId))).thenReturn(testVersionId);" is 124.,40
xp,com.enonic.wem.core.entity,GetActiveNodeVersionsCommandTest,getFromMultipleWorkspaces,Long Statement,The length of the statement "Mockito.when(this.workspaceService.getCurrentVersion(new WorkspaceIdQuery(prodWorkspace`nodeId))).thenReturn(prodVersionId);" is 124.,40
xp,com.enonic.wem.core.entity,GetActiveNodeVersionsCommandTest,getFromMultipleWorkspaces,Long Statement,The length of the statement "final GetActiveNodeVersionsResult result=GetActiveNodeVersionsCommand.create(testContext).versionService(this.versionService).nodeDao(nodeDao).workspaceService(this.workspaceService).entityId(nodeId).workspaces(workspaces).build().execute();" is 241.,40
xp,com.enonic.wem.core.entity,GetActiveNodeVersionsCommandTest,getFromMultipleWorkspaces,Magic Number,The method contains a magic number: 2,40
xp,com.enonic.wem.core.entity,GetActiveNodeVersionsCommandTest,onlyInOneOfTheWorkspaces,Long Statement,The length of the statement "Mockito.when(this.workspaceService.getCurrentVersion(new WorkspaceIdQuery(testWorkspace`nodeId))).thenReturn(testVersionId);" is 124.,81
xp,com.enonic.wem.core.entity,GetActiveNodeVersionsCommandTest,onlyInOneOfTheWorkspaces,Long Statement,The length of the statement "final GetActiveNodeVersionsResult result=GetActiveNodeVersionsCommand.create(testContext).versionService(this.versionService).nodeDao(nodeDao).workspaceService(this.workspaceService).entityId(nodeId).workspaces(workspaces).build().execute();" is 241.,81
