Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
xp,com.enonic.wem.core.schema.relationship.dao,RelationshipTypeDaoImplTest,createRelationshipType,Long Statement,The length of the statement "RelationshipType like=RelationshipType.newRelationshipType().name("mymodule-1.0.0:like").fromSemantic("likes").toSemantic("liked by").addAllowedFromType(ContentTypeName.from("mymodule-1.0.0:person")).addAllowedToType(ContentTypeName.from("mymodule-1.0.0:person")).build();" is 272.,39
xp,com.enonic.wem.core.schema.relationship.dao,RelationshipTypeDaoImplTest,selectRelationshipType,Long Statement,The length of the statement "RelationshipType like=RelationshipType.newRelationshipType().name("mymodule-1.0.0:like").displayName("Like").fromSemantic("likes").toSemantic("liked by").addAllowedFromType(ContentTypeName.from("mymodule-1.0.0:person")).addAllowedToType(ContentTypeName.from("mymodule-1.0.0:person")).build();" is 292.,59
xp,com.enonic.wem.core.schema.relationship.dao,RelationshipTypeDaoImplTest,selectRelationshipType,Long Statement,The length of the statement "RelationshipType hates=RelationshipType.newRelationshipType().name("mymodule-1.0.0:hate").displayName("Hate").fromSemantic("hates").toSemantic("hated by").addAllowedFromType(ContentTypeName.from("mymodule-1.0.0:person")).addAllowedToType(ContentTypeName.from("mymodule-1.0.0:thing")).build();" is 292.,59
xp,com.enonic.wem.core.schema.relationship.dao,RelationshipTypeDaoImplTest,selectRelationshipType,Long Statement,The length of the statement "RelationshipType.Builder relationshipType=relationshipTypeDao.getRelationshipType(RelationshipTypeName.from("system-0.0.0:like"));" is 130.,59
xp,com.enonic.wem.core.schema.relationship.dao,RelationshipTypeDaoImplTest,selectAllRelationshipTypes,Long Statement,The length of the statement "RelationshipType like=RelationshipType.newRelationshipType().name("mymodule-1.0.0:like").displayName("Like").fromSemantic("likes").toSemantic("liked by").addAllowedFromType(ContentTypeName.from("mymodule-1.0.0:person")).addAllowedToType(ContentTypeName.from("mymodule-1.0.0:thing")).build();" is 291.,94
xp,com.enonic.wem.core.schema.relationship.dao,RelationshipTypeDaoImplTest,selectAllRelationshipTypes,Long Statement,The length of the statement "RelationshipType hates=RelationshipType.newRelationshipType().name("mymodule-1.0.0:hate").displayName("Hate").fromSemantic("hates").toSemantic("hated by").addAllowedFromType(ContentTypeName.from("mymodule-1.0.0:person")).addAllowedToType(ContentTypeName.from("mymodule-1.0.0:thing")).build();" is 292.,94
xp,com.enonic.wem.core.schema.relationship.dao,RelationshipTypeDaoImplTest,selectAllRelationshipTypes,Magic Number,The method contains a magic number: 2,94
xp,com.enonic.wem.core.schema.relationship.dao,RelationshipTypeDaoImplTest,updateRelationshipType,Long Statement,The length of the statement "RelationshipType like=RelationshipType.newRelationshipType().name("mymodule-1.0.0:like").fromSemantic("likes").toSemantic("liked by").addAllowedFromType(ContentTypeName.from("mymodule-1.0.0:person")).addAllowedToType(ContentTypeName.from("mymodule-1.0.0:thing")).build();" is 271.,134
xp,com.enonic.wem.core.schema.relationship.dao,RelationshipTypeDaoImplTest,updateRelationshipType,Long Statement,The length of the statement "RelationshipType relationshipTypeUpdate=newRelationshipType(like).fromSemantic("accepts").toSemantic("accepted by").setAllowedFromTypes(ContentTypeNames.from("mymodule-1.0.0:mymodule-1.0.0:worker")).setAllowedToTypes(ContentTypeNames.from("mymodule-1.0.0:mymodule-1.0.0:task")).build();" is 286.,134
xp,com.enonic.wem.core.schema.relationship.dao,RelationshipTypeDaoImplTest,updateRelationshipType,Long Statement,The length of the statement "RelationshipType.Builder relationshipTypesAfterUpdate=relationshipTypeDao.getRelationshipType(RelationshipTypeName.from("system-0.0.0:like"));" is 142.,134
xp,com.enonic.wem.core.schema.relationship.dao,RelationshipTypeDaoImplTest,deleteRelationshipType,Long Statement,The length of the statement "RelationshipType like=RelationshipType.newRelationshipType().name("mymodule-1.0.0:like").fromSemantic("likes").toSemantic("liked by").addAllowedFromType(ContentTypeName.from("mymodule-1.0.0:person")).addAllowedToType(ContentTypeName.from("mymodule-1.0.0:thing")).build();" is 271.,173
xp,com.enonic.wem.core.schema.relationship.dao,RelationshipTypeDaoImpl,deleteRelationshipType,Long Statement,The length of the statement "final boolean relationTypeDirExists=isDirectory(relationshipPath) && isRegularFile(relationshipPath.resolve(RELATIONSHIP_TYPE_XML));" is 132.,75
