Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
ontrack,net.nemerosa.ontrack.boot.ui,UIProject,projects,Long Statement,The length of the statement "return Resource.of(projects.stream().map(resourceAssembler::toProjectResource).collect(Collectors.toList())).self(link(fromMethodCall(on(UIProject.class).projects())));" is 168.,30
ontrack,net.nemerosa.ontrack.boot.ui,UIBranch,getBranchesForProject,Long Statement,The length of the statement "return Resource.of(branches.stream().map(resourceAssembler::toBranchResource).collect(Collectors.toList())).self(link(fromMethodCall(on(UIBranch.class).getBranchesForProject(project))));" is 186.,30
ontrack,net.nemerosa.ontrack.boot.ui,UITop,ui,Long Statement,The length of the statement "return Resource.empty().self(link(fromMethodCall(on(UITop.class).ui()))).link("projects"`link(fromMethodCall(on(UIProject.class).projects())));" is 143.,24
