Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest
xp,com.enonic.wem.core.schema.mixin,MixinsInitializerTest,demo,7,1,0,12,1
xp,com.enonic.wem.core.schema.mixin,MixinXmlSerializerTest,getSerializer,3,1,0,13,0
xp,com.enonic.wem.core.schema.mixin,MixinXmlSerializerTest,assertSerializedResult,3,1,2,19,0
xp,com.enonic.wem.core.schema.mixin,MixinXmlSerializerTest,getSerializedString,3,1,1,25,0
xp,com.enonic.wem.core.schema.mixin,AbstractMixinSerializerTest,getSerializer,0,1,0,22,0
xp,com.enonic.wem.core.schema.mixin,AbstractMixinSerializerTest,before,3,1,0,25,0
xp,com.enonic.wem.core.schema.mixin,AbstractMixinSerializerTest,assertSerializedResult,0,1,2,31,0
xp,com.enonic.wem.core.schema.mixin,AbstractMixinSerializerTest,getSerializedString,0,1,1,33,0
xp,com.enonic.wem.core.schema.mixin,AbstractMixinSerializerTest,generate_InputMixin,16,1,0,35,1
xp,com.enonic.wem.core.schema.mixin,AbstractMixinSerializerTest,generate_FormItemSetMixin,19,1,0,58,1
xp,com.enonic.wem.core.schema.mixin,AbstractMixinSerializerTest,parse_FormItemSetMixin,17,1,0,86,1
xp,com.enonic.wem.core.schema.mixin,AbstractMixinSerializerTest,mixin_serialize_parse_serialize_formSet_roundTrip,22,1,0,113,1
xp,com.enonic.wem.core.schema.mixin,AbstractMixinSerializerTest,mixin_serialize_parse_serialize_input_roundTrip,18,1,0,147,1
xp,com.enonic.wem.core.schema.mixin,AbstractMixinSerializerTest,toMixin,3,1,1,174,0
xp,com.enonic.wem.core.schema.mixin,AbstractMixinSerializerTest,toString,6,1,1,179,0
xp,com.enonic.wem.core.schema.mixin,MixinUsageResolverTest,resolveUsingMixinReferences_given_one_FormItem_being_matching_MixinReference_then_List_with_size_one_is_returned,7,1,0,20,1
xp,com.enonic.wem.core.schema.mixin,MixinUsageResolverTest,resolveUsingMixinReferences_given_two_FormItems_and_one_matching_MixinReference_then_List_with_size_one_is_returned,7,1,0,39,1
xp,com.enonic.wem.core.schema.mixin,MixinUsageResolverTest,resolveUsingMixinReferences_given_two_MixinReferences_and_one_is_matching_MixinReferences_then_List_with_size_one_is_returned,9,1,0,59,1
xp,com.enonic.wem.core.schema.mixin,CreateMixinHandlerTest,setUp,6,1,0,28,0
xp,com.enonic.wem.core.schema.mixin,CreateMixinHandlerTest,createMixin,11,1,0,39,1
xp,com.enonic.wem.core.schema.mixin,MixinJsonSerializerTest,getSerializer,5,1,0,12,0
xp,com.enonic.wem.core.schema.mixin,MixinJsonSerializerTest,assertSerializedResult,3,1,2,20,0
xp,com.enonic.wem.core.schema.mixin,MixinJsonSerializerTest,getSerializedString,3,1,1,26,0
xp,com.enonic.wem.core.schema.mixin,GetMixinHandler,handle,16,2,0,18,0
xp,com.enonic.wem.core.schema.mixin,MixinSerializer,toString,0,1,1,9,0
xp,com.enonic.wem.core.schema.mixin,MixinSerializer,toMixin,0,1,1,12,0
xp,com.enonic.wem.core.schema.mixin,GetMixinsHandler,handle,13,3,0,27,0
xp,com.enonic.wem.core.schema.mixin,GetMixinsHandler,getAllMixins,4,1,0,50,0
xp,com.enonic.wem.core.schema.mixin,GetMixinsHandler,getMixins,13,3,1,56,0
xp,com.enonic.wem.core.schema.mixin,GetMixinsHandler,getMixin,11,2,1,75,0
xp,com.enonic.wem.core.schema.mixin,MixinEntityIndexConfigFactory,create,17,2,1,19,0
xp,com.enonic.wem.core.schema.mixin,MixinEntityIndexConfigFactory,visit,8,2,1,27,0
xp,com.enonic.wem.core.schema.mixin,MixinXmlSerializer,prettyPrint,4,1,1,32,0
xp,com.enonic.wem.core.schema.mixin,MixinXmlSerializer,generateName,4,1,1,38,0
xp,com.enonic.wem.core.schema.mixin,MixinXmlSerializer,overrideName,4,1,1,44,0
xp,com.enonic.wem.core.schema.mixin,MixinXmlSerializer,toString,3,1,1,50,0
xp,com.enonic.wem.core.schema.mixin,MixinXmlSerializer,toJDomDocument,5,1,1,57,0
xp,com.enonic.wem.core.schema.mixin,MixinXmlSerializer,generate,7,2,2,64,0
xp,com.enonic.wem.core.schema.mixin,MixinXmlSerializer,toMixin,9,1,1,75,0
xp,com.enonic.wem.core.schema.mixin,MixinXmlSerializer,parse,10,2,1,90,0
xp,com.enonic.wem.core.schema.mixin,MixinNodeTranslator,toCreateNodeCommand,6,1,1,38,0
xp,com.enonic.wem.core.schema.mixin,MixinNodeTranslator,toRootDataSet,11,2,1,52,0
xp,com.enonic.wem.core.schema.mixin,MixinNodeTranslator,toUpdateNodeCommand,3,1,2,68,0
xp,com.enonic.wem.core.schema.mixin,MixinNodeTranslator,toNodeEditor,17,2,1,75,0
xp,com.enonic.wem.core.schema.mixin,MixinNodeTranslator,edit,3,1,1,90,0
xp,com.enonic.wem.core.schema.mixin,MixinNodeTranslator,fromNodes,7,2,1,100,0
xp,com.enonic.wem.core.schema.mixin,MixinNodeTranslator,fromNode,5,1,1,110,0
xp,com.enonic.wem.core.schema.mixin,MixinJsonSerializer,MixinJsonSerializer,3,1,0,23,0
xp,com.enonic.wem.core.schema.mixin,MixinJsonSerializer,serialize,8,1,1,28,0
xp,com.enonic.wem.core.schema.mixin,MixinJsonSerializer,toMixin,3,1,1,41,0
xp,com.enonic.wem.core.schema.mixin,MixinJsonSerializer,parse,10,2,1,48,0
xp,com.enonic.wem.core.schema.mixin,DeleteMixinHandler,handle,12,1,0,28,0
xp,com.enonic.wem.core.schema.mixin,DeleteMixinHandler,checkNotBeingUsed,8,2,0,51,0
xp,com.enonic.wem.core.schema.mixin,DeleteMixinHandler,setIndexService,3,1,1,63,0
xp,com.enonic.wem.core.schema.mixin,MixinUsageResolver,MixinUsageResolver,3,1,1,19,0
xp,com.enonic.wem.core.schema.mixin,MixinUsageResolver,resolveUsingContentTypes,9,3,1,24,0
xp,com.enonic.wem.core.schema.mixin,MixinUsageResolver,resolveUsingMixinReferences,13,2,1,41,0
xp,com.enonic.wem.core.schema.mixin,MixinUsageResolver,visit,6,2,1,46,0
xp,com.enonic.wem.core.schema.mixin,MixinsInitializer,MixinsInitializer,3,1,0,22,0
