Project Name,Package Name,Architecture Smell,Cause of the Smell
BranchMetrics_Branch-Android-SDK,io.branch.referral.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): io.branch.referral; io.branch.indexing
BranchMetrics_Branch-Android-SDK,io.branch.referral.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BranchContentSchema; ContentMetadata; Product; ProductCategory; CommerceEvent; CurrencyType; AdType; BranchEvent; BRANCH_STANDARD_EVENT]; [ShareSheetStyle]; [BranchEvent.ServerRequestLogEvent]; [LinkProperties]; [BranchCPID]; [BranchCPID.ProbabilisticCPID]; [ContentMetadata.CONDITION]. LCC (Lack of Component Cohesion) = 0.47
BranchMetrics_Branch-Android-SDK,io.branch.referral.QRCode,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.branch.referral.QRCode; io.branch.referral
BranchMetrics_Branch-Android-SDK,io.branch.referral.QRCode,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.branch.referral.QRCode; io.branch.indexing; io.branch.referral
BranchMetrics_Branch-Android-SDK,io.branch.referral.QRCode,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.branch.referral.QRCode; io.branch.indexing; io.branch.referral.util; io.branch.referral
BranchMetrics_Branch-Android-SDK,io.branch.referral.QRCode,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BranchQRCode; ServerRequestCreateQRCode]; [BranchQRCode.BranchImageFormat]; [BranchQRCode.BranchQRCodeDataHandler]; [BranchQRCode.BranchQRCodeImageHandler]; [BranchQRCode.BranchQRCodeRequestHandler]. LCC (Lack of Component Cohesion) = 0.83
BranchMetrics_Branch-Android-SDK,io.branch.referral.network,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.branch.referral.network; io.branch.referral
BranchMetrics_Branch-Android-SDK,io.branch.referral.validators,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.branch.referral.validators; io.branch.referral
BranchMetrics_Branch-Android-SDK,io.branch.referral.validators,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ServerRequestGetAppConfig; IntegrationValidator; BranchIntegrationModel]; [ServerRequestGetAppConfig.IGetAppConfigEvents]; [DeepLinkRoutingValidator]; [BranchIntegrationModel.getDeepLinkSchemeTasks]. LCC (Lack of Component Cohesion) = 0.67
BranchMetrics_Branch-Android-SDK,io.branch.indexing,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.branch.indexing; io.branch.referral.util
BranchMetrics_Branch-Android-SDK,io.branch.indexing,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.branch.indexing; io.branch.referral.util; io.branch.referral
BranchMetrics_Branch-Android-SDK,io.branch.branchandroiddemo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BUOTestRoutines]; [BUOTestRoutines.URLContentViewer]; [TrackingControlTestRoutines]; [AutoDeepLinkTestActivity]; [CustomBranchApp]; [MainActivity]; [SettingsActivity]. LCC (Lack of Component Cohesion) = 1.0
