Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnce_WithId_WithData_ReturnsData_AndCompletes,Long Statement,The length of the statement "gitHubRepositoryStore.getOnce(100).test().awaitDone(PROVIDER_WAIT_TIME`TimeUnit.MILLISECONDS).assertComplete().assertNoErrors().assertValue(value);" is 147.,77
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnce_WithId_WithData_ReturnsData_AndCompletes,Magic Number,The method contains a magic number: 100,77
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnce_WithId_WithData_ReturnsData_AndCompletes,Magic Number,The method contains a magic number: 100,77
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnce_WithId_WithNoData_ReturnsNoneValue_AndCompletes,Long Statement,The length of the statement "gitHubRepositoryStore.getOnce(100).test().awaitDone(PROVIDER_WAIT_TIME`TimeUnit.MILLISECONDS).assertComplete().assertNoErrors().assertValue(none());" is 148.,92
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnce_WithId_WithNoData_ReturnsNoneValue_AndCompletes,Magic Number,The method contains a magic number: 100,92
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnce_WithNoId_WithData_ReturnsAllData_AndCompletes,Long Statement,The length of the statement "gitHubRepositoryStore.getOnce().test().awaitDone(PROVIDER_WAIT_TIME`TimeUnit.MILLISECONDS).assertComplete().assertNoErrors().assertValue(asList(value1`value2));" is 160.,103
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnce_WithNoId_WithData_ReturnsAllData_AndCompletes,Magic Number,The method contains a magic number: 100,103
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnce_WithNoId_WithData_ReturnsAllData_AndCompletes,Magic Number,The method contains a magic number: 200,103
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnce_WithNoId_WithNoData_ReturnsEmptyList_AndCompletes,Long Statement,The length of the statement "gitHubRepositoryStore.getOnce().test().awaitDone(PROVIDER_WAIT_TIME`TimeUnit.MILLISECONDS).assertComplete().assertNoErrors().assertValue(emptyList());" is 150.,120
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_ReturnsOnlyValuesForSubscribedId_AndDoesNotComplete,Long Statement,The length of the statement "testObserver.awaitDone(PROVIDER_WAIT_TIME`TimeUnit.MILLISECONDS).assertNotComplete().assertNoErrors().assertValues(none()`value1);" is 130.,131
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_ReturnsOnlyValuesForSubscribedId_AndDoesNotComplete,Magic Number,The method contains a magic number: 100,131
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_ReturnsOnlyValuesForSubscribedId_AndDoesNotComplete,Magic Number,The method contains a magic number: 200,131
tehmou_rx-android-architecture,io.reark.rxgithubapp.advanced.data.stores,GitHubRepositoryStoreTest,getOnceAndStream_ReturnsOnlyValuesForSubscribedId_AndDoesNotComplete,Magic Number,The method contains a magic number: 100,131
