Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen.bean,ClassSpecDescription,asJavaFile,Long Statement,The length of the statement "return JavaFile.builder(((PackageElement)getClassElement().getEnclosingElement()).getQualifiedName().toString()`getSpec()).build();" is 131.,43
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen.bean,ClassSpecDescription,mergeWithParentFrom,Long Statement,The length of the statement "ClassSpecDescription container=classes.computeIfAbsent(getClassElement().getEnclosingElement()`enclosing -> new ClassSpecDescription(getClassElement().getEnclosingElement()`MethodsCollector.commonClassPart(enclosing).build()));" is 227.,50
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen,MatcherFactoryGenerator,process,Long Statement,The length of the statement "roundEnv.getElementsAnnotatedWith(annotation).stream().flatMap(MatcherFactoryGenerator::asFields).filter(ProcessingPredicates.shouldGenerateMatcher()).forEach(fields::add);" is 172.,52
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen,MatcherFactoryGenerator,process,Long Statement,The length of the statement "classes.values().stream().filter(isEntryWithParentPackageElement()).map(ClassSpecDescription::asJavaFile).forEach(write(processingEnv));" is 136.,52
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen,MatcherFactoryGenerator,groupedClasses,Long Statement,The length of the statement "Map<Element`ClassSpecDescription> classes=fields.stream().collect(groupingBy(Element::getEnclosingElement`collectingMethods()));" is 128.,95
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen,MatcherFactoryGenerator,groupedClasses,Long Statement,The length of the statement "classes.values().stream().filter(isEntryWithParentPackageElement().negate()).sorted(reverseOrder()).forEach(spec -> spec.mergeWithParentFrom(classes));" is 151.,95
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen.processing,MethodsCollector,commonClassPart,Long Statement,The length of the statement "TypeSpec.Builder builder=TypeSpec.classBuilder(withGeneratedSuffix(classOfField.getSimpleName())).addModifiers(Modifier.PUBLIC`Modifier.FINAL).addMethod(MethodSpec.constructorBuilder().addModifiers(Modifier.PRIVATE).addJavadoc("You should not instantiate this class\n").addStatement("throw new $T($S)"`UnsupportedOperationException.class`"This class has only static methods").build());" is 385.,80
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen.processing,MethodsCollector,commonClassPart,Long Statement,The length of the statement "builder.addAnnotation(AnnotationSpec.builder(Generated.class).addMember("value"`"$S"`MatcherFactoryGenerator.class.getCanonicalName()).addMember("date"`"$S"`ZonedDateTime.now()).build());" is 187.,80
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen.processing,MethodsCollector,asMethodSpec,Long Statement,The length of the statement "ParameterSpec matcher=ParameterSpec.builder(ParameterizedTypeName.get(ClassName.get(Matcher.class)`fieldType)`"matcher").build();" is 129.,109
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen.processing,MethodsCollector,asMethodSpec,Long Statement,The length of the statement "return MethodSpec.methodBuilder("with" + Naming.normalize(field.getSimpleName())).addModifiers(Modifier.PUBLIC`Modifier.STATIC).addParameter(matcher).returns(returnType).addJavadoc("Matcher for {@link $T#$L}\n"`ownerType`field.getSimpleName()).addStatement("return $L"`TypeSpec.anonymousClassBuilder("$N` $S` $S"`matcher`field.getSimpleName()`field.getSimpleName()).addSuperinterface(ParameterizedTypeName.get(ClassName.get(FeatureMatcher.class)`ownerType`fieldType)).addMethod(MethodSpec.methodBuilder("featureValueOf").addAnnotation(Override.class).addModifiers(Modifier.PUBLIC).addParameter(ownerType`"actual").returns(fieldType).addStatement("return $L.$L()"`"actual"`getGetterName(field)).build()).build()).build();" is 720.,109
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen.processing,MethodsCollector,getGetterName,Long Statement,The length of the statement "return field.getEnclosingElement().getEnclosedElements().stream().filter(elem -> elem.getSimpleName().toString().equalsIgnoreCase(caseInsensitiveGetterName)).findAny().orElseThrow(() -> new NoSuchElementException("cannot find getter for " + field.getSimpleName() + " on class "+ field.getEnclosingElement().getSimpleName())).getSimpleName().toString();" is 352.,156
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen.processing,ProcessingPredicates,shouldGenerateMatcher,Long Statement,The length of the statement "return element -> ElementParentsIterable.stream(element).noneMatch(next -> nonNull(next.getAnnotation(DoNotGenerateMatcher.class)));" is 132.,18
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen.processing,MethodsCollectorTest,shouldCollectFields,Long Statement,The length of the statement "assertThat(apply.getSpec().methodSpecs.stream().map(methodSpec -> methodSpec.name).collect(toList())`hasItems("withValue"`"withBytes"`"withStr"`"withInteger"`"withLower"));" is 172.,34
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.processors.matcher.gen.processing,MethodsCollectorTest,findFields,Long Statement,The length of the statement "return new LinkedList<>(compilation.getElements().getAllMembers(withFields).stream().filter(ofKind(ElementKind.FIELD)).map(elem -> (Element)elem).collect(toList()));" is 165.,56
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.proc.test,EnclosingClassTest,shouldHaveMatcherForStaticNestedClass1,Long Statement,The length of the statement "assertThat(Stream.of(EnclosingClassMatchers.class.getDeclaredMethods()).map(Method::getName).collect(Collectors.toList())`hasItems("withStaticNested"));" is 152.,17
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.proc.test,EnclosingClassTest,shouldHaveMatcherForStaticNestedClass2,Long Statement,The length of the statement "assertThat(Stream.of(EnclosingClassMatchers.StaticNestedClassMatchers.class.getDeclaredMethods()).map(Method::getName).collect(Collectors.toList())`hasItems("withStaticNestedTwice"));" is 183.,27
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.proc.test,EnclosingClassTest,shouldVariableMatcher,Long Statement,The length of the statement "assertThat(Stream.of(StaticNestedClassMatchers.class.getDeclaredMethods()).map(Method::getName).collect(Collectors.toList())`hasItems("withUninteresting"));" is 156.,37
yandex-qatools_hamcrest-pojo-matcher-generator,ru.yandex.qatools.proc.test,LordTest,shouldFindMatchersForAllField,Long Statement,The length of the statement "assertThat(Stream.of(LordMatchers.class.getDeclaredMethods()).map(Method::getName).collect(toList())`allOf(hasItems("withName"`"withSlavesCount")`not(hasItems("withFullName"`"withAge"))));" is 188.,27
