Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
mooso_azure-tables-hadoop,com.microsoft.hadoop.azure,AzureTableConfiguration,getPartitioner,Long Statement,The length of the statement "Class<? extends AzureTablePartitioner> partitionerClass=job.getClass(Keys.PARTITIONER_CLASS.getKey()`DefaultTablePartitioner.class`AzureTablePartitioner.class);" is 160.,56
mooso_azure-tables-hadoop,com.microsoft.hadoop.azure,AzureTableConfiguration,createTableClient,Long Statement,The length of the statement "throw new IllegalArgumentException(String.format("Invalid value specified for %s: %s"`Keys.ACCOUNT_URI`accountUriString)`ex);" is 125.,82
mooso_azure-tables-hadoop,com.microsoft.hadoop.azure,AzureTableRecordReader,getProgress,Magic Number,The method contains a magic number: 0.5f,93
mooso_azure-tables-hadoop,com.microsoft.hadoop.azure,TestDefaultTablePartitioner,testGetAllPartitionKeys,Magic Number,The method contains a magic number: 3,24
mooso_azure-tables-hadoop,com.microsoft.hadoop.azure,TestDefaultTablePartitioner,testGetAllPartitionKeys,Magic Number,The method contains a magic number: 2,24
mooso_azure-tables-hadoop,com.microsoft.hadoop.azure,TestUtils,getCreateAzureTableSql,Long Statement,The length of the statement "return "CREATE EXTERNAL TABLE " + hiveTableName + " ("+ columnsDefinition+ ") "+ " STORED BY 'com.microsoft.hadoop.azure.hive.AzureTableHiveStorageHandler'"+ " TBLPROPERTIES("+ "\"azure.table.name\"=\""+ table.getName()+ "\"`"+ "\"azure.table.account.uri\"=\""+ getAccountUri()+ "\"`"+ "\"azure.table.storage.key\"=\""+ getAccountKey()+ "\"`"+ "\"azure.table.partitioner.class\"=\""+ partitioner+ "\")";" is 403.,88
mooso_azure-tables-hadoop,com.microsoft.hadoop.azure,TestAzureTableInputFormat,testGetSplits,Magic Number,The method contains a magic number: 3,29
mooso_azure-tables-hadoop,com.microsoft.hadoop.azure,TestAzureTableInputFormat,testGetSplits,Magic Number,The method contains a magic number: 2,29
mooso_azure-tables-hadoop,com.microsoft.hadoop.azure.examples,SixCounter,populate,Magic Number,The method contains a magic number: 100,40
mooso_azure-tables-hadoop,com.microsoft.hadoop.azure.examples,SixCounter,run,Magic Number,The method contains a magic number: 2,99
