Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra,CassandraFactory,build,Long Statement,The length of the statement "maxSchemaAgreementWait.map(Duration::toSeconds).map(Long::intValue).ifPresent(builder::withMaxSchemaAgreementWaitSeconds);" is 122.,455
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra,CassandraFactory,build,Long Statement,The length of the statement "speculativeExecutionPolicy.map(SpeculativeExecutionPolicyFactory::build).ifPresent(builder::withSpeculativeExecutionPolicy);" is 124.,455
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra,CassandraFactoryTest,setUp,Long Identifier,The length of the field speculativeExecutionPolicyFactory is 33.,82
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra,CassandraFactoryTest,buildsACluster,Long Identifier,The length of the field speculativeExecutionPolicyFactory is 33.,102
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra,CassandraFactoryTest,buildsACluster,Magic Number,The method contains a magic number: 1234,102
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra,CassandraFactoryTest,buildsACluster,Magic Number,The method contains a magic number: 90,102
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra,CassandraFactoryTest,buildsACluster,Magic Number,The method contains a magic number: 1234,102
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra,CassandraFactoryTest,buildsACluster,Magic Number,The method contains a magic number: 90,102
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra,DropwizardInjectionIntegrationTest,canQuery,Long Statement,The length of the statement "assertThat(Lists.newArrayList(ClientBuilder.newClient().target(UriBuilder.fromUri("http://localhost").port(APP.getLocalPort()).path(path).build()).request().get(String[].class))).contains("system");" is 198.,37
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra,CassandraManagerTest,gracefullyClosesClusterOnStop,Magic Number,The method contains a magic number: 5000L,45
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra,CassandraManagerTest,forcesClusterToCloseAfterTimeoutOnStop,Magic Number,The method contains a magic number: 5000L,53
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra,CassandraMetricSetTest,createsMetricSetFromDriver,Long Statement,The length of the statement "assertThat(result).containsEntry("com.datastax.driver.core.Cluster.test-cluster.metricA"`metricA).containsEntry("com.datastax.driver.core.Cluster.test-cluster.metricB"`metricB);" is 177.,52
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra,DropwizardCassandraIntegrationTest,canQueryCassandra,Long Statement,The length of the statement "assertThat(Lists.newArrayList(ClientBuilder.newClient().target(UriBuilder.fromUri("http://localhost").port(APP.getLocalPort()).path("query").build()).request().get(String[].class))).contains("system");" is 201.,40
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra.speculativeexecution,ConstantSpeculativeExecutionPolicyFactoryTest,buildsPolicyWithConfiguredValues,Magic Number,The method contains a magic number: 5,12
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra.speculativeexecution,ConstantSpeculativeExecutionPolicyFactoryTest,buildsPolicyWithConfiguredValues,Magic Number,The method contains a magic number: 2,12
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra.pooling,PoolingOptionsFactoryTest,buildsPoolingOptionsWithConfiguredValues,Magic Number,The method contains a magic number: 2,28
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra.pooling,PoolingOptionsFactoryTest,buildsPoolingOptionsWithConfiguredValues,Magic Number,The method contains a magic number: 3,28
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra.pooling,PoolingOptionsFactoryTest,buildsPoolingOptionsWithConfiguredValues,Magic Number,The method contains a magic number: 5,28
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra.pooling,PoolingOptionsFactoryTest,buildsPoolingOptionsWithConfiguredValues,Magic Number,The method contains a magic number: 25,28
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra.pooling,PoolingOptionsFactoryTest,buildsPoolingOptionsWithConfiguredValues,Magic Number,The method contains a magic number: 2,28
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra.pooling,PoolingOptionsFactoryTest,buildsPoolingOptionsWithConfiguredValues,Magic Number,The method contains a magic number: 4,28
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra.pooling,PoolingOptionsFactoryTest,buildsPoolingOptionsWithConfiguredValues,Magic Number,The method contains a magic number: 6,28
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra.pooling,PoolingOptionsFactoryTest,buildsPoolingOptionsWithConfiguredValues,Magic Number,The method contains a magic number: 30,28
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra.pooling,PoolingOptionsFactoryTest,buildsPoolingOptionsWithConfiguredValues,Magic Number,The method contains a magic number: 60,28
stuartgunter_dropwizard-cassandra,systems.composable.dropwizard.cassandra.pooling,PoolingOptionsFactoryTest,buildsPoolingOptionsWithConfiguredValues,Magic Number,The method contains a magic number: 2000,28
