Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest
magarena,magic.data,DownloadImageFile,DownloadImageFile,4,1,2,17,0
magarena,magic.data,DownloadImageFile,getFilename,3,1,0,22,0
magarena,magic.data,DownloadImageFile,download,25,4,1,26,0
magarena,magic.data,SoundEffects,SoundEffects,2,1,0,23,0
magarena,magic.data,SoundEffects,playClip,16,2,1,27,0
magarena,magic.data,SoundEffects,playClip,5,2,2,43,0
magarena,magic.data,SoundEffects,getInstance,3,1,0,49,0
magarena,magic.data,TokenCardDefinitions,initialize,12,1,0,17,0
magarena,magic.data,TokenCardDefinitions,initialize,12,1,0,32,0
magarena,magic.data,TokenCardDefinitions,initialize,12,1,0,47,0
magarena,magic.data,TokenCardDefinitions,initialize,11,1,0,62,0
magarena,magic.data,TokenCardDefinitions,initialize,11,1,0,76,0
magarena,magic.data,TokenCardDefinitions,initialize,11,1,0,90,0
magarena,magic.data,TokenCardDefinitions,initialize,11,1,0,104,0
magarena,magic.data,TokenCardDefinitions,initialize,12,1,0,118,0
magarena,magic.data,TokenCardDefinitions,initialize,12,1,0,133,0
magarena,magic.data,TokenCardDefinitions,initialize,11,1,0,148,0
magarena,magic.data,TokenCardDefinitions,initialize,10,1,0,162,0
magarena,magic.data,TokenCardDefinitions,initialize,12,1,0,175,0
magarena,magic.data,TokenCardDefinitions,initialize,12,1,0,190,0
magarena,magic.data,TokenCardDefinitions,initialize,12,1,0,205,0
magarena,magic.data,TokenCardDefinitions,initialize,11,1,0,220,0
magarena,magic.data,TokenCardDefinitions,initialize,11,1,0,234,0
magarena,magic.data,TokenCardDefinitions,initialize,11,1,0,248,0
magarena,magic.data,TokenCardDefinitions,initialize,13,1,0,262,0
magarena,magic.data,TokenCardDefinitions,initialize,11,1,0,278,0
magarena,magic.data,TokenCardDefinitions,initialize,11,1,0,292,0
magarena,magic.data,TokenCardDefinitions,initialize,11,1,0,306,0
magarena,magic.data,TokenCardDefinitions,initialize,11,1,0,320,0
magarena,magic.data,TokenCardDefinitions,initialize,11,1,0,335,0
magarena,magic.data,TokenCardDefinitions,initialize,13,1,0,350,0
magarena,magic.data,TokenCardDefinitions,initialize,12,1,0,366,0
magarena,magic.data,TokenCardDefinitions,initialize,12,1,0,382,0
magarena,magic.data,TokenCardDefinitions,initialize,12,1,0,398,0
magarena,magic.data,TokenCardDefinitions,initialize,12,1,0,413,0
magarena,magic.data,DeckUtils,accept,3,1,1,31,0
magarena,magic.data,DeckUtils,getDescription,3,1,0,37,0
magarena,magic.data,DeckUtils,getDeckFolder,3,1,0,46,0
magarena,magic.data,DeckUtils,createDeckFolder,9,3,0,51,0
magarena,magic.data,DeckUtils,saveDeck,43,8,2,61,0
magarena,magic.data,DeckUtils,loadDeck,65,13,2,108,0
magarena,magic.data,DeckUtils,retrieveDeckFiles,11,4,2,181,0
magarena,magic.data,DeckUtils,loadRandomDeck,23,4,1,194,0
magarena,magic.data,ReadMeFile,ReadMeFile,3,1,1,9,0
magarena,magic.data,ReadMeFile,getDataFromFile,14,2,0,12,0
magarena,magic.data,TournamentConfig,TournamentConfig,2,1,0,45,0
magarena,magic.data,TournamentConfig,TournamentConfig,9,1,1,49,0
magarena,magic.data,TournamentConfig,getAvatar,3,1,0,59,0
magarena,magic.data,TournamentConfig,setAvatar,3,1,1,63,0
magarena,magic.data,TournamentConfig,getName,3,1,0,67,0
magarena,magic.data,TournamentConfig,setName,3,1,1,71,0
magarena,magic.data,TournamentConfig,getStartLife,3,1,0,75,0
magarena,magic.data,TournamentConfig,setStartLife,3,1,1,79,0
magarena,magic.data,TournamentConfig,getHandSize,3,1,0,83,0
magarena,magic.data,TournamentConfig,setHandSize,3,1,1,87,0
magarena,magic.data,TournamentConfig,setNrOfGames,3,1,1,91,0
magarena,magic.data,TournamentConfig,getNrOfGames,3,1,0,95,0
magarena,magic.data,TournamentConfig,getProfile,15,5,1,99,0
magarena,magic.data,TournamentConfig,getPlayerColors,3,1,0,112,0
magarena,magic.data,TournamentConfig,setPlayerColors,3,1,1,116,0
magarena,magic.data,TournamentConfig,getPlayerProfile,3,1,0,120,0
magarena,magic.data,TournamentConfig,getOpponentColors,3,1,0,124,0
magarena,magic.data,TournamentConfig,setOpponentColors,3,1,1,128,0
magarena,magic.data,TournamentConfig,getOpponentProfile,3,1,0,132,0
magarena,magic.data,TournamentConfig,getCube,3,1,0,136,0
