Project Name,Package Name,Architecture Smell,Cause of the Smell
spring-projects_spring-xd-modules,org.springframework.xd.throughput,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ThroughputMessageHandler; TimeUnit; ThroughputOptionsMetadata]; [ThroughputMessageHandler.Clock]; [ThroughputMessageHandler.ReportStats]; [SizeUnit]. LCC (Lack of Component Cohesion) = 0.67
spring-projects_spring-xd-modules,org.springframework.xd.loadgenerator,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [LoadGenerator]; [LoadGenerator.Producer]; [LoadGenerator]; [LoadGenerator.Producer]; [LoadGenerator.TestMessage]; [LoadGenerator.TestMessageHeaders]. LCC (Lack of Component Cohesion) = 1.0
