Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
ruediste1_btrbck,com.github.ruediste1.btrbck,GuiceModule,configure,Long Statement,The length of the statement "bind(JAXBContext.class).toInstance(JAXBContext.newInstance(Stream.class`VersionHistory.class`VersionHistoryEntry.class`SnapshotVersionHistoryEntry.class`RestoreVersionHistoryEntry.class`BackupStreamRepository.class`ApplicationStreamRepository.class`Retention.class`TimeUnit.class`SyncConfiguration.class));" is 306.,20
ruediste1_btrbck,com.github.ruediste1.btrbck,Util,waitFor,Magic Number,The method contains a magic number: 32,120
ruediste1_btrbck,com.github.ruediste1.btrbck,StreamService,takeSnapshot,Long Statement,The length of the statement "throw new DisplayException("Cannot take a snapshot of the working directory of stream " + stream.name + " in non-application stream repository "+ stream.streamRepository.rootDirectory.toAbsolutePath());" is 202.,222
ruediste1_btrbck,com.github.ruediste1.btrbck,StreamService,restoreSnapshot,Long Statement,The length of the statement "throw new DisplayException("Cannot restore snapshot. Stream " + stream.name + " does not contain snapshot number "+ snapshotNr);" is 128.,256
ruediste1_btrbck,com.github.ruediste1.btrbck,StreamService,pruneSnapshots,Complex Method,Cyclomatic complexity of the method is 8,343
ruediste1_btrbck,com.github.ruediste1.btrbck,BtrfsService,receive,Long Statement,The length of the statement "Process process=processBuilder("btrfs"`"receive"`"-e"`destinationPath.toAbsolutePath().toString()).redirectOutput(Redirect.PIPE).start();" is 137.,127
ruediste1_btrbck,com.github.ruediste1.btrbck,BtrfsService,takeSnapshot,Long Statement,The length of the statement "throw new RuntimeException("Error while taking snapshot of " + sourceVolume.toAbsolutePath() + " to "+ target.toAbsolutePath()`e);" is 130.,178
ruediste1_btrbck,com.github.ruediste1.btrbck,SnapshotTransferService,receiveSnapshots,Long Parameter List,The method has 5 parameters. ,90
ruediste1_btrbck,com.github.ruediste1.btrbck,SnapshotTransferService,receiveSnapshots,Long Statement,The length of the statement "throw new DisplayException("stream " + streamName + " does not exist in repository "+ repo.rootDirectory.toAbsolutePath());" is 123.,90
ruediste1_btrbck,com.github.ruediste1.btrbck,SnapshotTransferService,pull,Long Parameter List,The method has 5 parameters. ,218
ruediste1_btrbck,com.github.ruediste1.btrbck,SnapshotTransferService,pull,Long Statement,The length of the statement "throw new DisplayException("Local stream " + localStreamName + " was not found in repository "+ localRepo.rootDirectory.toAbsolutePath());" is 138.,218
