Commit,TotalTestabilitySmells,OpenIssues,ClosedIssues
41a2ce0991a2c32ffde06f623afb6ec3278fa4c2,492,0,0
7d9891403be14b9bc5e6e57803dd3d31d7b9cdf6,498,0,0
a96d6d4a0553ad5f38d0991cbf157a669514516b,506,0,0
72c0d6e06151f73cbfd39960876d99fdda375ffe,500,0,0
32fe0120605f9de36b4618e3695bcec74ae079f3,452,0,0
16e94e19c5595c74efe249d58abb6519bc79577b,452,0,0
4d8dbfb27a611070a2d23bc8cf6e253c5fb4845f,423,0,0
163e4d06710f6bd15dc236cb1f250786dec1f6dd,423,0,0
53e896ea0201d9a2bbe4123ffd1a2d6b0ba12ce2,423,0,0
b7e9b9d41f4c971d8a5ea9d6d97b2559fe02c0ef,439,0,0
9c8441c0548c40cc7a7121337683e90c6421f10c,440,0,0
4344748c5f2d51cc489beb65a5dd7c2554d9a7c4,448,0,0
3fcbb65af217abc5e5258d87c00c83f594f0fb31,448,0,0
16bb89ddee9a0a324d8cdfed7046701e7cef9b28,452,0,0
63de89a5dbffc91ebce1c80780201319ce133e91,455,0,0
61cd29a96a95a3231aeb931ff756ee9b2ab4860d,455,0,0
a42b3d3ea87e9e4af5127537df83802f9cd09a16,453,0,0
f65ce6e41ef274256ba30e9fd2429d611ec39412,445,0,0
06b8d39a9e933a24b2cc9f54415ce5c6bb68ae95,466,0,0
dcedd0ad37c05f222e72138088f8c160fb2f9329,375,0,0
a6cbc83bcb5b9f6b6cbd00926316d9fc866e29ad,378,0,0
0954b69ce15f7e695c35dfefaed91e1498a26699,389,0,0
95afe0e27d9265372fc4f4215af9a101ccfdad2d,389,0,0
680e31da00cc444a6524be6c78a8f09226214074,389,0,0
04935c7b20a85d28a4a40a89c448b347f2df0872,425,0,0
d8d547a5ea11c1d19aa708c855b359b74e3cc575,429,0,0
d82f95eab3508ba512fb9514891715d7daee071d,435,0,0
50801f8973f228eec7a1f6b6052dbbd7c3683126,437,0,0
ee054d0a1175df76473b7e3492d8df5b1e15ea2a,437,0,0
a66f7a261eb9a94891827569968ef8092c9459a7,437,0,0
46729186aec7f74cac978e6a46b63cf4bf784fd1,467,0,0
388b98d02e521f619e27d0bffd33f17e0f142d2b,499,0,0
a7d6f62dbc4caa58aec204a5bae095188fe12805,499,0,0
50269fcf60f33adfcd14649fa138c48062013071,506,0,0
3bb4a9cfb60c4817626b9207c88ff35c5766a07f,516,0,0
c9240c3d72b7492c326cc73a5b2c2dadc800399a,536,0,0
8e5e8642d3884c7c2071e367c86385d89cd848a5,559,0,0
fc324a5de9ae4df5149d56e3c433441f5421eaf3,585,0,0
cdd3b326ba018fb4ce88ef4e0c0b55ad667b039e,594,0,0
59d9d2ac5e8110817004a802e1af6b22b05dabdb,635,0,0
18c622f25d7beaef2a5d9c4ad15982c43fc86c7d,644,0,0
5d965aa24ef8a4980eef5225d94ec24c2b5e9de9,662,0,0
89535fc2e3b72fbc7776c879a99b8ea0f34d8a21,707,0,1
81a740d0ff31e8be0cc9ce8f5fa1b277b5ec3e1d,714,0,9
2c1902d8884ecaad8b757134216e853ad123740a,708,0,9
d021c62b000f9ffa8e73e2099d52ed0ed0a98bbb,714,0,9
eafb958978c99430a604a8a18b128ba7a56badb0,719,0,9
28bc556e2a159ebe88be0bb99af49a990fe26e5f,718,0,9
545a1fa59c7f1f867e77b35f3b73d57fd870770d,718,0,9
65e23116c3e00c2b93c475f03a0534d586d11d7e,718,0,9
c0020e27a7de6375e43d97cc246640f982e430b9,726,0,9
6a93c5414ae65f0048b54c3bce70c6ccda3a2294,707,0,9
b467ae473494f06def37483f81837598ca4836c0,723,0,9
5db5d8d24db58633992ce610f51a7a4b77cdddc3,733,0,9
21da8a89fe6e69b8c30eac7c3c977005240cab6c,733,0,9
c244f340b94a30ae9fa92587f0415510e0c5baeb,733,0,9
a0d29c92f9d59c9361ad0f51ef4d526b13b32008,742,0,9
a4dd3076082e071f524e33f6eca47f520332f1ab,745,0,9
b39071bf65f8e1d42182bccf82d7754927e6d850,745,0,9
79ce9018b77a52c12c66f49eff42ed892b76dd12,745,0,9
ed3578f0d96430b4f83f5a13754a753a32abce8b,745,0,9
04ae6d599f99fe925d271974c57bc23d89ad5d66,745,0,9
