Commit,LOC,TotalTestabilitySmells,TySmellDensity,OpenIssues,ClosedIssues,TotalIssues
0334509bb7641e71c7b463539c6e7232a50a6e18,12584,66,5.244755244755245,0,1,1
8e83aab8ae06baf111575cc9701f5e0a9242735e,13126,68,5.180557671796435,0,1,1
3e40f664f801f4954c91b46b4c2098ac8857149c,13685,72,5.26123492875411,0,2,2
8663053ba239c6c9722e2fc9546e7c3a74ec2d83,14454,74,5.1196900511969,0,3,3
00ccb104748e41b858ad912c812229061e2ddeea,14975,80,5.342237061769616,0,3,3
1170eac1233a37bd7e165382001fc3ab67ff5008,15519,82,5.283845608608802,0,6,6
8b174c625031fd529ac9c350db799d18a644f304,15943,85,5.331493445399235,0,10,10
2f4281b0f1251d8161fb228a22bd54053275da91,16174,93,5.749969086187709,0,15,15
23a09b8a7c2f991ffb085f1a7daf82bf5297c860,16929,97,5.729812747356607,0,18,18
abf1af5a829c1f60753ad7c9c07ab6d2867fa820,17584,129,7.33621474067334,0,19,19
b6333e30753dcf9b7883523708f76007d7704136,18369,133,7.240459469758833,0,27,27
bfa24961e3aaeb89c3918e71df5b1f643ab22b23,18786,133,7.079740232087725,0,30,30
225569e15f42fbb7ee35c2cefbef752b0008d47c,19164,136,7.09663953245669,0,30,30
2b1381b020fe8b39dbbbffa3b3113367eee6c089,19953,143,7.166842078885381,0,30,30
b986f7a8fb40ccee057877c5d5097e4fba9760db,20307,117,5.761560053183631,0,32,32
6514f6591278afdb967798c8cebbfe2e662a8558,20573,117,5.687065571379964,0,37,37
b05a70c06d42a0344d1204d90d3f94d63b7b27f9,21201,124,5.848780717890666,0,50,50
8c99d12ed03d8b8b877762daba85f279c1439ddd,21211,124,5.846023289802461,0,51,51
9655bbe985528d55c90fa17bfd2b15c30562c72b,21211,124,5.846023289802461,0,51,51
0d94485b870a0fc1bad0e12ac9208d4df2ee35e4,21211,124,5.846023289802461,0,51,51
226cdcf8538c9fe678ac5d4c4bf3389ecf1c31e7,21211,124,5.846023289802461,0,51,51
486e9c728ebc4d984068190ae8ddf2d94ee1d8d8,21360,124,5.805243445692884,0,51,51
4537e9c023c9a797d4a32662633203068997b5fc,21360,124,5.805243445692884,0,51,51
66234d7532dacbf124fb9043b7f421d3a8f9cc02,21377,124,5.800626841932918,0,51,51
2d8021b0764530a9e92240ae29c4b5f1d70d53dd,21395,124,5.79574666978266,0,52,52
52c8e6290205e626099d1f0b35ea93cb63978481,21555,127,5.8919044305265595,0,54,54
3ac1798967bf8e91b1120a330fcb71ddab7cb0be,21836,129,5.90767539842462,0,61,61
3550badc18843dbe4a7185974014b6b2db1dcd78,22504,132,5.865623889086384,0,70,70
e3b06322f5f304f2133d5af49d95853141acace4,23249,132,5.677663555421739,0,76,76
9a3dea94a0ad6dd2ac0ef90a32218d69f4797a13,24017,137,5.704292792605238,0,76,76
0f3f57d5099a96cb71cb7a9f0430426b7ab9b4a5,24287,137,5.640877835879277,0,76,76
585bcf2c7813cfe98b9a62b3fcc6b704c17ab6b6,24346,137,5.627207754867329,0,76,76
9ca23dc8b16da96343af5828018d69e8d8940e88,25037,140,5.591724248112793,0,77,77
2738451e6a1341779d9b944f019250793e44115c,25882,154,5.950081137470057,0,82,82
05dcab733e1aa304a51317399aacfeff61ff2ca1,26580,157,5.9066967644845745,0,84,84
b6dbc9b825313fbacdef4dd7269e4e2ce78879a8,26846,161,5.997169038217984,0,90,90
dfc61402128963ce96ed14606d6a36a8c990f514,27373,168,6.137434698425456,0,94,94
6920d3147fe865feacaee91265184108a69754de,28304,184,6.500847936687394,0,101,101
39d94e335e5c8b3d6b7ed776f6f52875c2bc367a,28918,187,6.466560619683242,0,109,109
bac371a6f220214e777352c7e5037ee4b2537e92,30027,195,6.494155260265761,1,111,112
fbd9d7eb35ebf73526fcc2106a47feeb06a30694,30191,195,6.458878473717333,1,118,119
5aa27fc447a60145992f73e0e0cb71e13f30858c,31791,204,6.416910446352741,2,123,125
a196cb1c1cb6a6e8d5b6a4b2d5948912a1eb0dc5,32864,233,7.089824732229795,2,127,129
240df87b275e18b3d3afb38d7b6ef967b9063127,32992,217,6.5773520853540255,2,128,130
71e9e4ffa958afd157ba34060af2f5476543c2a1,33284,209,6.279293354164163,2,129,131
d49373c2588a07b2005db7a168fddb29d4c0b88b,33514,207,6.176523244017425,2,129,131
