Commit,TotalTestabilitySmells,OpenIssues,ClosedIssues
ce1552565910080fdd42b171151b2e0fb8ce0ce2,0,0,0
974b2a32d8fbf61fd58fb972fbf7e4b9844d5f4f,481,0,0
093a9f0214cdee0db42cc7af2058afe838cde127,500,0,0
f21bf1de5318746ae83188caae6093018bcfa326,502,0,0
4563606118b9f0dc2250763bb1d0e2784e13cc51,505,0,0
183d1a0c97ba53336acf0d52af49d2271b15c9d9,516,0,0
d9206fee8749431a58bdb68f2f153b92747fd0b2,551,0,0
24b4a295f0e98d5ca225f6ca04d842ef834d0aeb,566,0,0
7f5ab47da4e17add3483e2a1d01be1cb31f84d7e,577,0,0
e1297b7c96a961254d4dbf1c3806ee0fc0466451,582,0,0
cd383c7ec84f610de33049210b7098b0452b31a0,595,0,0
9cb686b80d51259f1f1d5371275e709b3ba3a508,604,0,0
4af60a9341077200ee8f356f2ffc18ba556859c2,1278,0,0
504506763dbfda497cb6e11043c8514f53647df0,1278,0,0
5bbddd1b416afbb72a85c6b6809eb227510d9f9b,1278,0,0
5b03db020780388ed3bbd753c1502c2d5254f1c0,1629,0,0
9abf60d72636e92247d14457dc407e0db9e18a6b,0,0,0
4f534f9f3e255cdef4ab0f1edadc24476bdcc9db,1605,0,0
4891bfb36eb54cb71a6a68fb6cc1a0941b113374,1605,0,0
b8fe02a43ef02d6391ef9d627043b4d535765132,1604,0,0
d740deb6ba352e7b70483bb47b33ba61d3473b1b,1579,0,0
9fc27d01fd4c834496e82594267f1fdc4687344d,1602,0,0
a19bffe2d732795567b3d282879ac26c162bbf4e,1613,0,0
113f6b1303896d12d616f7c179cc2531af69dd31,1614,0,0
ced7ed1298f98f8a3884e152c4dcee1d58d261e0,1527,0,0
3653def3570e9cbd493a613c7f136b00bdbb9826,1588,0,0
0ada62b6cdcd2cc4340f433410ac0338b1ca824a,1649,0,0
d8e9b31598e9e236eda3b3297e0b5d523127da29,1714,0,0
6c79aa97454715cfa7bae80ebca4997fa112fd63,1877,0,0
1c79a6dcce174726789f3becdcc6a184986e2d79,1977,0,0
a9c7b81e38b9245c925ef2b3a08ba33ba7c714ae,2373,0,0
561cf11c04d499204182e506e9be0ceb7f480319,0,0,0
63b1c448de3409d3b910bbe235b5ee377e8d243c,2896,0,0
dbc749880ba5e42e099a0be1c6bc37824cf5cdf0,0,0,0
3efad5eebb32643ecfb348e37ce855e0cc1c2b15,3184,0,0
27f2497dcdc2586f097d3199005e2eba983bb7c6,2812,0,0
3159937b327727c4721c16fd1727d8a3e828b6c8,0,0,0
20d8143369760c3d2d647e50662ae3a4c640dd89,2843,0,0
2546ef28efc4ae30d3e73d60e92ba18591fdcc96,2951,0,0
884f15acb5b1e15d0e7cdcb54180a37cad2011b4,2916,0,0
e91200afde52ca0faf3acda435becbf9166ee552,2927,0,0
7355d0463217391457ee96b2d4a88c2d5dc18ea4,3028,0,0
204c74b66611bf463570502abeb532f02a385ce4,3071,0,0
16879622d29c6dd332d58cc9ca362763368e717f,3053,0,0
da5cdd2714693e999ab45c43f17f90877d49cb03,0,0,0
881620916328504778db07c2bef71824cf8386f0,3008,0,0
939de1eb65ecdd51c50484c84a48553d06d99ae2,0,0,0
2e997a7b3a4c19199f321ced6594f8ed9b806647,2993,0,0
50d46790169ed4809aefe0cbcec6b000a193996d,2985,0,0
de54339568a3526db88b5faca89563be0da863a8,2984,0,0
5688a84a021c27dcdb793df61a16095cb5edea66,2985,0,0
dbcd4d00391395b795de423b876f5805aaee8e89,2983,0,0
992f35c43ca3d974b8b938a45a1af2fa29555ba2,2969,0,0
d08f7c6a2fa629be2e68f63766b7e39be9533c1a,2968,0,0
9cd9aae53d60a9c8ebcbac92ae1a57ce88bb0941,2968,0,0
3c9a300bee91c8b5103bb33d48d4fd065a245b8d,2969,0,0
774babed7eaae62e7c35b226c3179becadbb16e7,0,0,0
fa058a0ed42bec94576b7f3a541cc2e4e8c74aa6,2925,0,0
a44bcf5f44b8999b2d207453743b692a4991cd56,2810,0,0
40992c0e1aa925d370f46c8761a5f08038e1d4d0,2821,0,0
f12af04991d333257e818fb38578722fc69d6adc,0,0,0
4965fdc33fa3c96a6e06cbf99e01c54ebc8f2fd2,2599,0,0
814cc440b6a1af3d58ccca6f784429ce1b811ae1,2537,0,0
25ac501b3c4e99efcdc821996588a2b26c7d74f4,2517,0,0
03b97f8252182783a2aeda9c278e58447488ee5f,2518,0,0
158013d661f6802c0bdd855008b76a4b5ed3696c,2518,0,0
49b770ae57ba09fa5f71ffc1c2055f4fbf3e68e8,2488,0,0
8faba795dc37950a74ed2816d1e59879c846a9a3,2484,0,0
fe5e6f7b1c49b24715e53f66db7a05a2eccc34db,2484,0,0
6f69e6f0e32998cbf479b590040d7ad2e9565811,2486,0,0
4bfa1f9f7b6c2c2769d49f752d4f8c8e580dd434,0,0,0
b00460660173dd8865db5eeb852faf05b3289e83,2294,0,0
8e7d104fe7a81baede7f122c5b5c2de31984348a,2156,0,0
e19c3bf96e07cc966cf87af2506821155f7eb3eb,2008,0,0
d8d2fd4bacbdee233a43498780d10cbd1044e2fa,1733,0,0
7a2192128660d472cd98bc784f5101b3186ab8e3,1692,0,0
3d452432d592b47a6c26914bdf64d486514ad926,1691,0,0
