Commit,HWD,GS,ED,LDV,Total
dbcd4d00391395b795de423b876f5805aaee8e89,9,2221,750,3,2983
e1ebdd379f0ff43ddf1ed818720ee4f57f3ec77a,30,951,177,7,1165
66ffd3f1d1089cee07ed451492f3c615097f60e1,22,1153,221,10,1406
57976f7804ba138a6549c82bc4050f6a906dfb9a,12,1166,497,3,1678
3bd9be7b597aa6d27751503a34c4dbf148aeb037,15,933,119,7,1074
a650a21efe608fda75c682a29db8e1ab0caa9b0c,13,623,112,7,755
a4df87c2443f582513ee90cadeff53f6beb2c879,22,1158,222,10,1412
9935d4dabcd643a577a17830e51b171ca178156f,12,567,97,3,679
f02b44a2f49eb3ce141693acc341dddd341cca81,22,1349,192,9,1572
e0c148b9dcb24e392dddbc5d51bc4d202092fc4d,13,638,111,7,769
9fc27d01fd4c834496e82594267f1fdc4687344d,7,1231,364,0,1602
2546ef28efc4ae30d3e73d60e92ba18591fdcc96,12,2144,790,5,2951
3cec4ee1033f04953dbaab7e80f26ec23f0403a4,31,1060,149,9,1249
ac5a1ccabdab0724ba9e06d93d12293e625fbe73,27,1059,143,9,1238
b7ce5c0ed72f35b3c7f249d26a77410c9c69fd22,22,1349,193,9,1573
20d8143369760c3d2d647e50662ae3a4c640dd89,12,2069,757,5,2843
07bde929a2a3a8c7c3e36dca254acad3f27c55e3,31,1060,149,9,1249
de54339568a3526db88b5faca89563be0da863a8,9,2221,751,3,2984
5688a84a021c27dcdb793df61a16095cb5edea66,9,2221,752,3,2985
ced7ed1298f98f8a3884e152c4dcee1d58d261e0,7,1139,381,0,1527
d9ad9452573a2b9f7916f7ea3e86d8f70167dce6,7,1363,433,1,1804
91a36d951e9e44f0bfb30cfe44549b66ea464996,13,622,115,6,756
093a9f0214cdee0db42cc7af2058afe838cde127,6,434,60,0,500
16879622d29c6dd332d58cc9ca362763368e717f,9,2200,841,3,3053
5f0021e180436d4b7a7510916132b5c566141784,18,857,126,7,1008
dfc6ba22e6b4b3e00eacdccab306de6ba7b81657,7,1929,586,1,2523
5ca4fa817ef9d7fb0bbe60f61df5467bdf9ab3d4,12,988,360,3,1363
27f2497dcdc2586f097d3199005e2eba983bb7c6,7,2040,764,1,2812
ee072e07b43ab361a07aebad07fbf45e5afde9f5,7,517,71,0,595
ca4827ffe8e4071b88c7d6e6a1df9aafcd47fcbe,32,1350,184,8,1574
648806f1d833cab27490785be52ce2d1d85cca93,23,1164,228,10,1425
72d69bed5460c0764beecdfdbe65ca5265335e07,31,1118,162,7,1318
2466bdad77350c45e5bb2a1ffd37fa5a6139e734,32,1354,183,9,1578
8b8d590cd6103eef0204945b940713ad7d8ba3eb,22,1164,223,10,1419
50d46790169ed4809aefe0cbcec6b000a193996d,9,2221,752,3,2985
36e9e6115b7f2fe535ca04d85fc56d83cd64cff8,33,939,173,7,1152
1f3c87162d83c8f0aa9b5b3b1da3d984e272c7c2,27,988,135,7,1157
9961c4fdb5bbedf849ffbc4a077dec0ce56e26d8,30,1078,178,8,1294
b644106f04fcb70bb3627850ed75621eb8b3efaa,12,661,112,7,792
e95dce59d95a3bfce0fa6370b545abfcba5dbeff,33,1352,191,9,1585
2158aa922d33bdfab5fe8b799db37eeb25b01979,18,857,126,7,1008
4463c57d7871d7a8d4ecab53709139179dc5797e,7,1150,196,0,1353
320baff01a5358402bb84ab93309c7ffc9d9a249,22,1159,218,10,1409
557217d7b77c623ed1cd0667f6ced18151d4b777,12,2252,828,5,3097
a8c74fc5b55d431a794571d5314d2510befbc148,12,712,114,7,845
e19c3bf96e07cc966cf87af2506821155f7eb3eb,12,1356,637,3,2008
974b2a32d8fbf61fd58fb972fbf7e4b9844d5f4f,6,415,60,0,481
158013d661f6802c0bdd855008b76a4b5ed3696c,11,1775,730,2,2518
4cf08c9860c76cb7230ac1025b00f8e460ea112d,32,1350,206,8,1596
6918160ef768de803352c561c7a674bb10f2a76d,32,1104,194,8,1338
cefa241fbcbf394e0b51af823b36cbda4931530a,31,1060,149,9,1249
d1decc87cee066af453e75fd07a74f24a13561a5,29,1035,171,8,1243
01c9d1e0ba325890206e41260ba157f41ee4ed0c,31,1060,149,9,1249
fab0a36fafb208a922f9a8fd3cd95f95366cffdd,31,1060,146,9,1246
5ac03de50f37ed80fa1078fdc1ffe7ce7c394331,31,1101,194,8,1334
49b770ae57ba09fa5f71ffc1c2055f4fbf3e68e8,11,1775,700,2,2488
d740deb6ba352e7b70483bb47b33ba61d3473b1b,7,1214,358,0,1579
38fb79ad0934bd1a654becf24a26974a6310721d,12,673,112,7,804
1c79a6dcce174726789f3becdcc6a184986e2d79,7,1495,474,1,1977
96e73c9aeef9db245ffb05a67fa40792ab422e58,31,1060,149,9,1249
c441ead2d881f4322c36b4378847674209ac8761,30,953,176,7,1166
c80429538a2025a6218d686da9b96b64c6847a0c,22,1141,206,10,1379
31f542017090f754f8e63716fbc777e52cb9b868,16,731,113,7,867
df7596b9085549e5ec9db122de97433ab0c18f63,7,1454,459,1,1921
7fc3e28580a79d6a31fbb89612708b94a02047fe,22,1145,208,10,1385
aef74af8caa02dac7f40350da3c9c1a3785ad32b,30,953,176,7,1166
c1b881f8309aa9a8b207ee021875756ae1bed798,31,1060,149,9,1249
2a90f5f28534550475c70dbbb4448601d3ff2870,31,1060,147,9,1247
7f6daca4f23bbceaa93722903edc3f1e561fc7a6,22,1346,191,9,1568
8faba795dc37950a74ed2816d1e59879c846a9a3,11,1775,696,2,2484
992f35c43ca3d974b8b938a45a1af2fa29555ba2,9,2221,736,3,2969
117a267f9767f70e4d6d4cc61f282f52bd4a7e19,29,1063,169,8,1269
37b5bb7d83e4724ad8deeb6a74367e01769f5dad,12,1692,696,2,2402
3efad5eebb32643ecfb348e37ce855e0cc1c2b15,7,2379,797,1,3184
2e997a7b3a4c19199f321ced6594f8ed9b806647,9,2221,760,3,2993
b90d9e8321b7cc4a5cad6ef83e560bed4bc00ede,0,0,0,0,0
fb49da0ec7535e0aa306f61c14cd2a9b4e996d0a,23,1349,191,9,1572
129535e15f0bd5aad59b22aa5fe73cbf701c72b7,13,724,114,7,858
6ae792b230e2dad62e43258a97218c8684ccde61,0,0,0,0,0
c787b744f49d588450a4f3d8eaaa70595f199ac5,12,1043,405,3,1463
d8e9b31598e9e236eda3b3297e0b5d523127da29,7,1299,408,0,1714
18719684ede2dc6740d7295bdb362b00b6176975,12,712,114,7,845
40992c0e1aa925d370f46c8761a5f08038e1d4d0,10,2072,737,2,2821
fe5e6f7b1c49b24715e53f66db7a05a2eccc34db,11,1775,696,2,2484
428e562a4c704861aed7c7c9b8be0d492c358db3,28,1001,137,7,1173
4af60a9341077200ee8f356f2ffc18ba556859c2,7,1089,182,0,1278
4f534f9f3e255cdef4ab0f1edadc24476bdcc9db,7,1214,384,0,1605
2626e60828ab3d5a6b392b9fa751ce32589ebf14,9,1984,754,3,2750
ea389fe5b4d4f93722e93b3de5ac7c0bb8e3f338,7,2166,786,1,2960
d283abe4aac74ddb048735d46ef576b79a926a27,33,951,174,7,1165
351dac0d2d42c5326e04742560f50c42ebeb2f67,0,0,0,0,0
93821737f4ff652c8d0330590e087a9031024612,12,657,110,7,786
1f9fa469c9768fc88ccb804aacdad34247299444,27,982,132,7,1148
60898d8f49a82cc0efe5326248c57a3830174995,30,926,170,8,1134
dbc749880ba5e42e099a0be1c6bc37824cf5cdf0,0,0,0,0,0
22430b6caafc006c41b06276aff3aa612512bb87,31,1394,187,9,1621
dc7168f44d10b4e3d84f5dfa27e19efbcad0585e,32,1350,184,8,1574
1b072974f9ab5f80e858634858f22f30b30ee1ed,7,1310,410,0,1727
4563606118b9f0dc2250763bb1d0e2784e13cc51,6,438,61,0,505
fd237b5621abcebcda24630f2a1db0a2fc04f139,13,620,113,6,752
cbffdbf2da0fd1a17c995487b1d5d31e524a6f8f,16,731,114,7,868
ba2ca7751cff13ded142783da2bd80029cea292d,12,731,117,7,867
60533ec514bc249d29d83758752d6f9837ddbbc6,12,567,97,3,679
24b4a295f0e98d5ca225f6ca04d842ef834d0aeb,6,490,70,0,566
7f5ab47da4e17add3483e2a1d01be1cb31f84d7e,7,499,71,0,577
68b221d064fa3ac80eb112748aec929d8bfc2586,33,1091,192,8,1324
7e16dfbfc4980a2c6f8f1754a756af819949fd41,0,0,0,0,0
b6739cb4efde26d5c1d30768cc3801509258c12c,30,953,174,7,1164
e5bd77a90993de80ea16fd1f6562027ee57001eb,7,1689,545,1,2242
5bbddd1b416afbb72a85c6b6809eb227510d9f9b,7,1089,182,0,1278
047a5a87785bc7f911791ab6112d98c0dccb53d9,33,1095,191,8,1327
81321375819f8b8c5849a3b980cd28b35dd89284,31,1069,151,9,1260
5a051397412cbb6e0e38b378ea6190dabb88f077,30,925,170,8,1133
3c9a300bee91c8b5103bb33d48d4fd065a245b8d,9,2221,736,3,2969
e5821cddbe1101029d4057462297f187f3476e61,31,1060,149,9,1249
71d8b330d7f54f69cbb4a0c99617f7572eaad5b1,12,569,99,3,683
