Commit,HWD,GS,ED,LDV,Total
fb02444553c2aa41fbe0a4bf7695efad42fe2f56,5,116,32,0,153
1fdcfdd612b044725439051a58a045346b626698,0,60,5,0,65
6b6351a45d20008d56a5b899b4df52a2d63469f5,150,183,127,1684,2144
c9b3adaf7a11c098e9a2ef796287cc4aa1fadbb5,4,482,212,26,724
42ba58f4f8b608ca0010d6d83058bce6b8b520c8,4,121,27,0,152
7d8581bfa6a62eacbcd609b2de8f2c01b0f360de,5,518,228,26,777
297cfac0e52fe288a619f3a6c50a589c402b782a,3,369,189,13,574
511c74a7ce8c62c992e7799423b143e86861bec3,6,122,31,0,159
ca6bb60344ab995ada5c70bcad7ce880a94de92c,3,382,182,13,580
d23b6f68a854d764a09551d2177eb46dce5fa730,6,648,298,27,979
e363dbf4f46a0c63f0e93c7cfca67c030059e277,5,768,435,29,1237
03f4f88fe8fd464b4657c898bb3e291fee2611a3,6,128,31,0,165
28cbe1709d4e21ca6b34d23c0cf9b75c229efeda,179,268,166,2039,2652
7b439c64da0622462e30d8a1183f4a7525007768,3,159,93,1,256
3662f5d3515fb6a3fa42f7fb3586bb379c3a3cd6,5,71,45,0,121
3e2b68df70f0be8f8323a7d55ecdff5c36dd70f0,5,662,338,26,1031
914744f4fcd0687a18a628edd9ace9f10155fcd9,3,363,171,13,550
6225b05808d902f27d8358a1a24a2af5c976d763,4,590,267,26,887
0c63bb922b0fae6327c33ca81f692749464669f1,163,197,136,1887,2383
c755bc51a175be8509eda5757cab719026c4fdce,3,371,180,13,567
7fa1758f412861d6fc824196d2d772f1c9198a55,7,358,189,11,565
cd611d1b993600e7a79d5b968d1d9704d0c2c446,5,116,33,0,154
38e5132239fe5cc276e4ee86297a34be24e1f03b,5,637,312,26,980
afe38fae48a38f35a8c8f66a690cfe43d7899bdd,5,808,453,30,1296
94c337acb8394335e1b82b515bd8fdd2196f7ded,6,437,189,20,652
cfc68f21717bd31e9a5eef2ae3a803bf427ad7cc,6,1063,713,44,1826
9f51a5c2d146e04bc687d4b4912f1bc488128117,3,121,24,0,148
347203f26d34cd3029a079145ebf98d409551550,143,153,96,1528,1920
d9463741646bed920eb3d9c88f85ef79c4696f2b,145,144,94,1210,1593
99a2a4cfe53dd3012f9fabf2d276ddb0466da1f5,4,369,178,13,564
13ff3568b39a9472d52dabd10c062547115b34d3,5,508,231,26,770
0ed8bede70c6302cfe7867c35f1cf18cfdbe2aaf,5,638,307,26,976
822a187009e94a97caeacc44648839641978de7a,149,184,127,1724,2184
3c37984081067633550a5bc5a7892840ef389616,3,368,197,13,581
1832966e7a9461ac5a62ba865afb35e322e865e0,6,864,527,33,1430
d2b11562fb2cb6ef608412784609d12b7fa2c113,4,74,47,0,125
e26c09810d8fdb49f5ba4fbc7daf551067a08aa0,8,335,169,11,523
f734cf9a02656a7df44282325de74747223ec13b,3,121,26,0,150
26f735e6b10b1beec18d9bd9beba31494d130153,5,119,60,2,186
2000d918206f9a0afc717d0f01f0c3e0aa741ee4,0,0,0,0,0
d7532423ddcf5f72db4486ee7f3032178ca7989c,145,150,98,1457,1850
9a44a97dec893d2378c3570fafa0b70e93b1fbb3,4,132,75,3,214
e6e971abb8551d397aa5d1b0a6814a5fee60d69c,6,876,541,39,1462
6097427f3e6b97e2709467f6581ca1b37eb94f0b,4,550,235,27,816
dc244265fb2aeee4128f8ef835c77a6a3fd41d64,4,381,176,13,574
c0d9063f3b028a4810676d24fed974853e45370f,6,121,33,0,160
7c38bf032e7d38cd54e6476c733ee3013615a55f,5,663,339,26,1033
1c8aadd3687682789e43ccad1a0977f1ec96634b,0,0,0,0,0
b173141c0975529514228a0b473f60610e761d21,3,400,174,15,592
e081e29c1538ed8c63e1479bbd904d92669e7510,188,279,178,2191,2836
a3e8e7bd8e92e2e8ec2a99f3a1927b1130cc79e0,3,393,189,13,598
ecb590848543dd33504a94d555ec7067172d7dac,9,1259,835,56,2159
e44cb8be8a186d4a8d7a3573a1f8a6d51488f3c9,0,0,0,0,0
bdcf5d84977b676ee9fa0548c2ea8189b8644845,4,85,46,0,135
b8c8d4019ae5f321be88e7832a05c95cc014d062,182,269,166,2040,2657
ff64c73c29c682637ce693f40c86e5d0ab5883b3,8,328,168,11,515
b67c6c8549cfafe9656b79594386fe505dac8791,3,383,182,13,581
b8cded4c431243fcc1da5d6f42b3be1d2401a998,6,127,31,0,164
9878f5c8bc0bdf4ba2b4d2e6916786d8ad7a47d2,5,119,61,2,187
38ad9f100cce4d934459b7a5e107eed2f74c4ff3,4,359,176,13,552
770a79d732b56230f39f3872fa96618c03158d41,5,693,362,26,1086
f2076dff7cbf59cc1fdabd87ca8702f48ddebc37,4,375,182,13,574
ecdb4cce6a2d94f48133a250dd5912b08a18c338,207,299,181,2276,2963
0cb9f55c9d10f374526532d247c912b7a7bf3c19,4,103,22,0,129
49878fedc2bd3c7632795107f8ec19ba06618f51,196,286,180,2238,2900
18af5a4e0698565bd4c762cfb029750619a71fde,144,153,98,1537,1932
e4def5922d8e02c5e3d3cfcb56ec997660f22eb5,4,459,207,17,687
f5b3a2b713ce90c4154009454e34a916a07d2bb9,4,748,418,28,1198
4f5c4eed913d714236e2972de40d3c62848cc076,3,396,192,13,604
91f6233a56a72b93927c2d861b5b58a025264a8a,177,264,159,1996,2596
79aeede37f472b18b611f5103e37fae6e768998f,6,127,34,0,167
4c8ef3f5429c8ad9669273048fe274caa91a0a85,149,184,127,1723,2183
09d612efacacb2109e7dd6fb7a44f61365b8631a,5,127,36,0,168
8331c8b9a9da0e134b842b6cefe5894318dd9e53,5,124,63,2,194
3216d082d1c992359cbc71f5078cbf03cd0e2b7e,2,96,13,0,111
35778081df239f09ce335d06d87d5515f219c906,184,301,179,2229,2893
8016d30b7295992a80b215d3ec922d8e30054e98,3,394,164,15,576
91876efe4c3da198dc5da8277f9ed769f47a443b,3,102,24,0,129
8918deb58b8ddeefdcaee3ebf3b613ccc774c654,4,591,257,28,880
9f72e96cbeafee79063b1004bb707bfe545ce9be,165,249,145,1972,2531
8d6c2e414862818ff7e879b531a30289bd267a77,3,360,161,13,537
1266eca4bd05cefee85ed21eab2b23762d779a7d,8,1246,786,57,2097
c47b43339fb9e0e138806d6205b8fb80bffa4af6,8,320,167,11,506
0bb88841906900533fdeb53faebdafa1a3b54c67,6,401,203,13,623
64b8e4aa48c2805ae1a007b1098e4ed1b7e89993,6,121,29,0,156
baefccd39c2b600ad43a20d5a546d8344d60b51e,3,383,182,13,581
65ae0261d5d28ed3b87fc5d9fa9f4928552127a5,6,439,192,20,657
f57d5864c52e4d850cd0fc238df12b48a156cac6,3,398,152,15,568
5bac35849af761384bdbb8de3be024d8435a88c4,5,63,31,0,99
85658c19445ab9e99f0d972eabb56c838d43fcd0,5,719,375,28,1127
a4b755df89f049056c884eca7a1fd0bcf4cb4c6f,149,184,127,1724,2184
4e78557b5af6ad8d83fa359cad0bcd81f6bbcbc4,192,285,180,2240,2897
28baf7f38bc4394bb87a2fad81cb55b374c3354a,148,168,111,1673,2100
d90e0befbb8eee2633570cda3bfbe7bf65c747bb,148,182,126,1707,2163
e4e178f33e8ecf2b4b74f8258f9a808564758245,5,780,448,30,1263
d5f41b7e2a6ecce36e8ec7a7cedc8f3c4ca3a8e6,5,124,63,2,194
a275846f229551ce0f0393bd8712e192b12efb43,4,505,234,26,769
f3d516d9ee6318b40dd10cbc2d533cd6abcf1260,149,184,127,1724,2184
0cb0291b8fc5082384bb4628b219f637ff5fa4d3,3,367,190,13,573
f9a4f1f7bca2d33a13e6ffdd5ca1453fa73a5fa4,2,94,13,0,109
81ed14787a632654223e79136baab1388ce02ff8,4,386,204,14,608
8e171ea1e9f0fbabb38954b0415c937a12205931,149,187,127,1726,2189
5fbabe29dba0e2da9b89d4a4da96062ee9e871db,5,100,50,0,155
5db4d6dd3e2e3168121aad7eee823ac2b329e297,0,0,0,0,0
c641f3a18ac496958edc99f078c68758f3d3c275,0,70,6,0,76
a6af86946a0f9f022b03a4ed55233a8871072874,7,927,566,41,1541
2562a880f818481eef87c59b4bf20c2f2e818bb1,8,1267,817,57,2149
64b855b3d21e89c34606c5715d8a3a6cb02b5229,4,523,236,26,789
16410c031ce162d631c3e6dc7b1798902bc3a1d5,4,591,257,28,880
39738af8fcb8691e3994d973163f1c3ad18fc86a,0,70,6,0,76
8b482a68801b46f3598c53769b7702a09802e972,10,1295,858,56,2219
808c44faac8e1f348dcb95896d8f537a89156414,8,1214,783,55,2060
84c72ca90c7180ab5ca3857063084a128504c304,3,400,168,15,586
4ef7e3fb5a36ee7571d7a2577f4b73b3fd5ea392,6,1182,768,51,2007
4976dd6bca27c8ec5b1adaa6d6a6c7a0a633ce95,4,382,179,14,579
7f475ca53056f545654b09266f90b65ba2b6161a,6,842,527,33,1408
6aa4a5f034badaccbe273724a658982eb50bb94e,5,747,420,28,1200
850b8f2b858105cd38da9c6a8cd2c4ed0b37651c,183,273,166,2045,2667
4287bce90928aeef601cbace11d1431e698f6f45,5,116,33,0,154
4568f89726e17c72fe83774def675727c9b56653,151,168,125,1701,2145
1a1790f81e2e037ae3e62eb3aa5d292501bec64c,4,591,257,28,880
87f794d43954ae3016953acc992aabd3ac7e80d4,190,307,184,2301,2982
72b7f15056842d6ad1065ae0be86ccef5a1801a9,4,382,179,14,579
c51f0689fea3e74c039ba783fb19433f8f642a4d,4,64,36,0,104
17d368df0a50ac12607cac27b5562b5462eac9f4,4,496,212,27,739
3aad37db853e13f2939abe6f173fc464efa14485,145,164,120,1675,2104
6f8f2d551c8f1503c32f3c117edba9b8ef980e1c,5,359,179,11,554
a36a8373ed7c81c92e118fd690ef9b5cd48950db,7,309,174,11,501
be90e3443b6f6a4efc5a26153e075d480baf356e,5,119,60,2,186
1b7b385cb8907c7b57ecf3187075d03973e834b0,4,101,23,0,128
7a9e5143e3022d376c277ed19c4dcb4ec15cda0d,189,303,180,2261,2933
15dbf7fa4cf093d22eb818bb0b73238078ce0f0a,4,380,179,13,576
2c80efab94dcc681dcefc6b9f621382925c27d51,0,0,0,0,0
28ea85482b9332de21e78d035142e09b2b29f8d5,0,70,7,0,77
79bf1d54d698b0e5c636aea2fc0280714a28c3bf,2,95,11,0,108
a79bfe7c7c788f15e11028adf26c691b39ebaec7,5,637,311,26,979
1eb2212d098a6559417fac8162c681ca8f2aae02,4,418,168,18,608
740295be23ef44932a25a21456d46799749f77dc,0,42,5,0,47
f69be111ef302822f397294825694f281c81f706,11,1273,802,57,2143
b860a99ada3d54b9e642d520d1dd573385969bcb,3,393,156,15,567
16cff29153eff22ecbba258075bf854d7868311f,190,307,184,2304,2985
934ddf58e49943d7f37ce2176b518db52168580b,5,121,31,0,157
14f4224b3b6a6a63cab7e1cd6099d6f9a4a12202,4,100,21,0,125
3ae811e32ffa76ea86740c202b6aceb7b667d84a,6,1066,693,45,1810
7f732fe8ea040704a888706af2233c6b80398788,6,1195,767,52,2020
ab941321653acda7e2d6493872181306864ab803,4,368,176,13,561
b763be1732e5a3e83d46c3012830d363de9a464d,5,479,206,21,711
64499c8bcb65d8d6f24949e7b83211c147e97153,3,298,154,13,468
d5ba7aec6bf7df78cff316ed9215a5412cd6f15e,6,121,33,0,160
3f247d4f1f4c610e0d6d3cf9794867d2c370a30c,4,121,27,0,152
f6c003a8c05e420251d64f74bcaec7e25fdc97ab,3,355,172,13,543
5f03115bf55bf5cd8cf82c7269cfd2c24a76f983,7,671,303,26,1007
7d365755c186edb92e3ef563327154c259be02aa,162,219,140,1951,2472
c48fed735c489d754f6b8d99e2e9619ba0228851,3,340,154,13,510
977a11dbc29d40b4f2746272d571355530779d6b,5,127,34,0,166
a8c35650650fb59e9c98b767ec6380324a743614,5,75,48,0,128
7b36e3e4101e39a03e71cfea90a5593f22efd185,149,174,127,1710,2160
e5ce2ad4aad48017f4d1fdae6ec8b6b641ef6d76,4,590,267,26,887
10d20fa687e5d4a8d4d4dbe789260e4f9457451b,143,170,117,1657,2087
0a2d9b1393843770a5092de4484d5e631eece71d,4,101,23,0,128
0a0cf41b96963cea08b1bfc4404f0e9fdcf7a82b,6,121,35,0,162
96117496c3f6ff47d675e571d024f6b3368ccafb,4,103,22,0,129
19f134809d4c705eba7f1a7eae8a25b2e1a668d6,5,794,468,32,1299
c271b90417b2b3a68f0a652aaf758d6f4c6bfe9e,5,127,34,0,166
a782e611cc42b8457c4e245c02c1a830a7026f5d,3,400,152,15,570
a5325489f25188be28b8b0ec5c6d9dd842f8f167,6,876,550,33,1465
1c5047a58c3dd52ebbd6b3571b11d9667b769582,182,269,166,2040,2657
5e54dbb1627399926152e1a038cecb800090b845,148,168,115,1686,2117
cb8f3b5d5bb3cbf6589c904a49bf7a2f47d2983a,179,268,166,2039,2652
88ebf4baec315dfa979381deabb9ad409531a189,0,0,0,0,0
2255eb28fbaf65f05ae2abf967db37dd63715556,145,150,98,1457,1850
75ffa73af7493b13fe23d528c28d7855c2428410,3,390,174,15,582
f4920da4ecb9a0429c03327ed6bbfc215031188f,177,264,157,1996,2594
d0c9629639049b6fded839236b2dd5017b79d7b2,5,71,43,0,119
05090c5f2ee6c4c3d021bdb856d780e4a3ae7785,4,101,22,0,127
d99dae1770ecc33bb91dec7ba7aaef2ecea33b91,148,168,117,1686,2119
5863cefcbf996d8bda0b43320be04ff2b032b2c5,6,125,32,0,163
45c3a4224042204a9ec0e17039ed079fd724c465,4,121,27,0,152
9014de9451c2ed18b27612aaf04beaa59bf2bdbb,4,553,236,27,820
2dab50198566ff8802947cb4ff145b896f0ed460,4,549,230,27,810
33132b10b4d5c73f07dd9f1aece49ddd783c9055,0,69,6,0,75
bb3fb0229754b37086dd5291c9563ecebb0cfe2b,177,264,157,1996,2594
d20826f27289d93c8e79fdc203c67d9407fb5a2c,182,269,166,2040,2657
b2351e31f0e77df19796dbc1f920794bc5d102ae,4,591,256,28,879
60e2112d68b67356a05c1407533224e7d7dab988,5,69,42,0,116
f14c355422dcf6472856ad865e61d4aad9d051fb,2,95,9,0,106
c1ca97646227bacb8d86d086a608090695138b28,0,0,0,0,0
22c25e3e8f203f853e7aaeee51baeb537dfa31f9,6,410,209,13,638
783be8300685c7ef58c248283e6e4639b1a92535,5,519,230,26,780
cba1648c8efc6c29b6cdb290e0253978e70a482d,3,368,196,13,580
2ecf5e12d7f13fb25da70df3e1b4ad3364cae326,182,269,166,2040,2657
219d4f1555bdc44f0b17687cb341c623c171d59f,5,119,60,2,186
0a4c6580b23347c513a8dea1763a1d03c606225c,8,1259,831,56,2154
ac8298ca3034a6ff9f06b1ec1bff6741e3395d29,5,119,60,2,186
15b4f12fa24a272d5e945729b140803a2ddcc606,3,391,188,13,595
498e8e69d8f89a90aa6d4b9fb6485c8276ade4e0,5,84,47,0,136
6de214b80d155b2805f17aad23480e097dde8ced,148,168,113,1677,2106
47c660fd34a45ac7f7b29245a1df3fb7a8547783,3,393,189,13,598
4f174a1804d97539e0a9a75a3829804fedb2aa90,3,392,190,13,598
48e8e7c4cfc1c580562981a6be9755b667660d94,151,220,140,1936,2447
dc84e364057c1c4265c40314826dfe9824f96149,6,874,540,39,1459
eee3558e0f5eab3ebd9f411d30ad10e77320e142,6,1148,752,50,1956
f6fa003d681ae1b97bccbbb72fc5f0f1c70d0528,5,269,150,6,430
27c4be365c9d23744391ce2bea7027b83a405b8a,6,843,485,33,1367
91170bf16f354199c8d83549c27fed08e2170c65,5,364,171,11,551
09de4054b45ff6da5cff6035026c19fae7dc5318,8,320,167,11,506
6d3e0e640fd19260f07e241c0d91b75d6aaf0e1b,6,127,34,0,167
3f2df72aeaae3eb8e3907bc0ebcc62dc2be16189,0,70,6,0,76
9a4c18769e2fe1f872613a989f167536188d4abe,164,210,136,1898,2408
b87b7bf16efed94bc614c8168789ee657a9d26e9,3,390,174,15,582
8b9101d0c5615c57a86428e3aa7bc0e436f728aa,186,275,172,2100,2733
23c785ff0b7b0b0e5ad7c3987d988fd248aef0ae,3,377,181,13,574
b3f8bca1108b50d8471dcc5538ca4ac4aaa2ba17,153,230,144,1941,2468
90ac47453fd9cdefa2c1dbff57005e217e666a04,6,850,513,33,1402
e85c9fc8385b3d0a07bb13d910b19da1602d8468,183,301,177,2226,2887
837d17b94beb6b8d6c325395e6baf8686ce706ee,6,115,30,0,151
f153ddf4d6d1ef4156dc62f184c9a8da64343250,2,94,13,0,109
8b783c2ad781567723356d6432ce943d6f55ac55,5,127,34,0,166
cc7f645933028f76abfd00706ee14aa046062a91,4,522,238,26,790
953d554bed1f3748a2509d78cf059f535798e56f,5,84,47,0,136
cbf80b0e2d1af7ba74cf00396b8da3c8978f866b,3,369,180,13,565
efa172514a61e4f613e3d99e5b0dd2339e245be6,5,637,310,26,978
9026660487abfca6dc5c4dd89d9a9a6f39d3a150,5,127,34,0,166
23946add8fd7662ef6c3d10ee290b99462a3e3e0,4,386,206,13,609
fdf6523d27cd897d72a306e8e74f3ffd386d0bf9,6,646,298,27,977
82d961483306fb0e9c7df1ceaa920f976f561d43,142,150,96,1539,1927
f7204bdcafaa6282ff9e8a730885cf530aab175a,6,842,527,33,1408
d630e0b8d03e606d4ca6f135c385dc492af2d5f6,5,66,39,0,110
d6abed27e44786825d89c9e3aff7396517faf4f8,177,264,157,1996,2594
b5f8ae414c13b3b4336e8b4c526dcb926ae498d7,150,183,127,1684,2144
2d29e5444ba9c88d8816437125b0dd451f048288,139,150,96,1531,1916
f0daba22295c7aa45077f1e6d1737a23b92d5578,4,591,261,28,884
c1cc9e56126027e57ec2157434bccbb0b3cc3870,5,63,35,0,103
9fd609234bb426081bfb5ea7203aa9d30d163ae4,6,408,212,13,639
7d5d9fc3b88d7cbfb46d6a1de5a7a226b513f957,3,358,156,13,530
26348877ebfed71a7745377dec83284547bca8a6,3,391,156,15,565
489a986507c49c7f1eb22f1afd2d194cd4fb4983,3,298,149,13,463
ea226813adabc183649129573eefa55522833eff,4,748,418,28,1198
196923a118abd73d0a317f1a5c7048fcf5b4eba1,4,374,174,13,565
1122352e81010a96fcabe13c6c4e8dc18f4c3b58,4,121,30,0,155
13b509b70de84e24e1a11d1ffbd74ef0535e39b5,188,279,178,2191,2836
56fb1a0aa2c49c0924ee8356b4b04864f2fc09e8,2,95,11,0,108
b82fe54415e0eb1d31778306a983a18e77f5fc82,193,283,181,2217,2874
f7264b2e34f4159b3328165bb5e48423ab1b8920,6,117,30,0,153
6bbbe845c6fe5921d2d2c68a306368fa46abb031,151,220,140,1936,2447
f6f589b8b014cb568d3932cd14449bb173b9e384,5,475,204,21,705
469d1d2729cd1713f1c20909045c8110784ad7bc,5,116,33,0,154
00c635e0b095d096c784044f694ccd2eefc4809e,5,522,235,26,788
8ce22facee89a94949e4f79cbe7cd234d0ba37d0,6,439,195,19,659
fdd032a5a861ecba5c3bb10b79d914cb15d71f25,6,121,30,0,157
238375b63cf43a945871dfc76c0cfc5131f2baed,5,665,337,26,1033
510dee181132e4f8374e346afe899e1a09bf67ea,150,162,107,1630,2049
378f190650be10871d703a8a74991ec65a4ef7be,145,150,99,1459,1853
18fcd3237049884d4e23c5deea6e292007a9e778,0,42,5,0,47
cd79decbe7419e44128e1efa89d4ca00fdef5fc8,4,585,261,27,877
7a8a2701f8c8792947c6c4c89c6d88ec64fdb56c,7,348,179,11,545
e2b4e05f07704e8d171d6c38be4649fd88ce1f61,6,411,220,13,650
372d70bd3056b0ba961f317acc05f2cba121a3e2,0,0,0,0,0
54ee3cbb3cf11fef4d8a0b5860dd0c895879ce2b,0,0,0,0,0
5d74e83849df3b2ec8ded37287c38f00989bca64,5,637,318,26,986
679bdbfff57d00bad7e86af8e0e7b1fc5f0dae3f,3,298,148,13,462
2f64ad85dda704d596270bdfb2f7cf2f198f7f2c,182,273,166,2040,2661
3568b3b2706c904297b8edb32f1ba32fb6980da0,6,117,30,0,153
5cefd4a1fbde287097b9fdb6f5aacb9491b88580,3,344,163,13,523
34ba6fccd3ca33806c061bf99150b00bdc5483a9,0,70,6,0,76
10eb04dfb66bc4572a8f961b9974dac1f1dd24f7,5,795,469,32,1301
c9b7f2266fef3fcb70b3030a1ecc94b8a3418a28,5,663,339,26,1033
42a8de9d5fc5381bf3f0ef37d555175357781d44,4,103,22,0,129
24dbda0a93a4f01720ac452d43b6057828bc8633,4,100,21,0,125
6d989cfffad12038576cd6a1f07dc3683c7f792a,2,95,9,0,106
3bcbff82f7f3d6e45b59f7d86e91720d23b83ffd,5,670,334,26,1035
4c31679571d098927726b7a6bd967c2574c9c444,5,119,61,2,187
64fb6c2681d971dfecf734ec929f5bd02fa1b324,6,439,199,19,663
7fdbad2406861dd2925ceda157fbb7b572069c5d,6,1047,672,44,1769
73e006d4aa114999afa3cc8633b6fb88c7b8ba35,4,457,206,20,687
bfbdd2d2b8d60e63a5835665eddd292cb70dab0d,3,383,182,13,581
95cb7a1631dad1a41e2aabba827049ea96d5561a,196,286,180,2238,2900
fa1740c8e219f4ef2994bdf906a2d5a9e7f6fab5,5,127,35,0,167
cd162c3f6d5cd2567e82875c6aa2c23a7c272ca7,5,116,33,0,154
