Project Name,Package Name,Architecture Smell,Cause of the Smell
Cascading_fluid,cascading.fluid.builder,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ReflectionMethodHandler; AssemblyMethodHandler; SubAssemblyMethodHandler; OperationMethodHandler; ConcreteAssemblyHelper]; [LocalMethodLogger]; [ConcreteAssemblyHelper.CompleteBranchFunction]; [ConcreteAssemblyHelper.PipeFunction]; [ConcreteAssemblyHelper.CheckpointFunction]. LCC (Lack of Component Cohesion) = 0.56
Cascading_fluid,cascading.fluid.generator.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Types; Reflection; Pair; ParameterGraphs; Prefix]; [Text]; [ChildFirstURLClassLoader; ClassLoaderRunner]; [ChildFirstURLClassLoader.ChildURLClassLoader]. LCC (Lack of Component Cohesion) = 0.44
