Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
ontrack,net.nemerosa.ontrack.boot.ui,UITop,ui,Long Statement,The length of the statement "return Resource.empty().self(link(fromMethodCall(on(UITop.class).ui()))).link("projects"`link(fromMethodCall(on(UITop.class).projects())));" is 139.,30
ontrack,net.nemerosa.ontrack.boot.ui,UITop,projects,Long Statement,The length of the statement "return Resource.of(projects.stream().map(resourceAssembler::toProjectResource).collect(Collectors.toList())).self(link(fromMethodCall(on(UITop.class).projects())));" is 164.,45
