Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
jlpoolen_libreveris,com.audiveris.installer,MessagePanel,MessagePanel,Magic Number,The method contains a magic number: 5,50
jlpoolen_libreveris,com.audiveris.installer,MessagePanel,MessagePanel,Magic Number,The method contains a magic number: 5,50
jlpoolen_libreveris,com.audiveris.installer,MessagePanel,MessagePanel,Magic Number,The method contains a magic number: 10,50
jlpoolen_libreveris,com.audiveris.installer,GhostscriptCompanion,GhostscriptCompanion,Magic Number,The method contains a magic number: 95,41
jlpoolen_libreveris,com.audiveris.installer,BundleView,buildButtonPanel,Magic Number,The method contains a magic number: 500,145
jlpoolen_libreveris,com.audiveris.installer,BundleView,buildButtonPanel,Magic Number,The method contains a magic number: 50,145
jlpoolen_libreveris,com.audiveris.installer,BundleView,buildCompPanel,Magic Number,The method contains a magic number: 2,167
jlpoolen_libreveris,com.audiveris.installer,BundleView,buildNorthPanel,Magic Number,The method contains a magic number: 2,216
jlpoolen_libreveris,com.audiveris.installer,BundleView,buildNorthPanel,Magic Number,The method contains a magic number: 2,216
jlpoolen_libreveris,com.audiveris.installer,BundleView,buildNorthPanel,Magic Number,The method contains a magic number: 2,216
jlpoolen_libreveris,com.audiveris.installer,BundleView,buildNorthPanel,Magic Number,The method contains a magic number: 2,216
jlpoolen_libreveris,com.audiveris.installer,BundleView,setSizeAndLocation,Magic Number,The method contains a magic number: 687,257
jlpoolen_libreveris,com.audiveris.installer,BundleView,setSizeAndLocation,Magic Number,The method contains a magic number: 400,257
jlpoolen_libreveris,com.audiveris.installer,BundleView,setSizeAndLocation,Magic Number,The method contains a magic number: 20,257
jlpoolen_libreveris,com.audiveris.installer,TrainingCompanion,TrainingCompanion,Magic Number,The method contains a magic number: 95,48
jlpoolen_libreveris,com.audiveris.installer,PluginsCompanion,PluginsCompanion,Magic Number,The method contains a magic number: 90,48
jlpoolen_libreveris,com.audiveris.installer,FolderSelector,checkFolder,Long Statement,The length of the statement "JOptionPane.showMessageDialog(Installer.getFrame()`"Invalid folder: " + ex`"Folder selection"`JOptionPane.WARNING_MESSAGE);" is 123.,115
jlpoolen_libreveris,com.audiveris.installer,FolderSelector,defineLayout,Magic Number,The method contains a magic number: 3,150
jlpoolen_libreveris,com.audiveris.installer,FolderSelector,defineLayout,Magic Number,The method contains a magic number: 5,150
jlpoolen_libreveris,com.audiveris.installer,Installer,install,Long Statement,The length of the statement "logger.info("\nEnvironment:\n" + "- OS: {}\n" + "- Architecture: {}\n"+ "- Java VM: {}\n"`System.getProperty("os.name") + " " + System.getProperty("os.version")`System.getProperty("os.arch")`System.getProperty("java.vm.name") + " (build " + System.getProperty("java.vm.version")+ "` "+ System.getProperty("java.vm.info")+ ")");" is 327.,136
jlpoolen_libreveris,com.audiveris.installer,Installer,install,Long Statement,The length of the statement "logger.info("Please:\n" + "- Add or remove OCR-supported languages`\n" + "- Check or uncheck optional components`\n"+ "- Launch installation.\n");" is 146.,136
jlpoolen_libreveris,com.audiveris.installer,Installer,install,Long Statement,The length of the statement "JOptionPane.showMessageDialog(Installer.getFrame()`"Installation has failed"`"Installation completion"`JOptionPane.WARNING_MESSAGE);" is 132.,136
jlpoolen_libreveris,com.audiveris.installer,Installer,uninstall,Long Statement,The length of the statement "JOptionPane.showMessageDialog(Installer.getFrame()`"Bundle successfully uninstalled"`"Uninstallation completion"`JOptionPane.INFORMATION_MESSAGE);" is 146.,262
jlpoolen_libreveris,com.audiveris.installer,Installer,uninstall,Long Statement,The length of the statement "JOptionPane.showMessageDialog(Installer.getFrame()`"Uninstallation has failed: " + ex`"Uninstallation completion"`JOptionPane.WARNING_MESSAGE);" is 143.,262
jlpoolen_libreveris,com.audiveris.installer,LangSelector,defineLayout,Magic Number,The method contains a magic number: 3,122
jlpoolen_libreveris,com.audiveris.installer,LangSelector,defineLayout,Magic Number,The method contains a magic number: 5,122
jlpoolen_libreveris,com.audiveris.installer,BasicCompanionView,getBackground,Complex Method,Cyclomatic complexity of the method is 9,165
jlpoolen_libreveris,com.audiveris.installer,BasicCompanionView,getBackground,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@5ca5dd08,165
jlpoolen_libreveris,com.audiveris.installer,BasicCompanionView,defineLayout,Magic Number,The method contains a magic number: 3,198
jlpoolen_libreveris,com.audiveris.installer,CppCompanion,CppCompanion,Magic Number,The method contains a magic number: 50,42
jlpoolen_libreveris,com.audiveris.installer.unix,Package,getInstalledVersion,Complex Method,Cyclomatic complexity of the method is 9,82
jlpoolen_libreveris,com.audiveris.installer.unix,VersionNumber,compareLetters,Complex Method,Cyclomatic complexity of the method is 12,234
jlpoolen_libreveris,com.audiveris.installer.unix,VersionNumber,compareStrings,Complex Method,Cyclomatic complexity of the method is 9,302
jlpoolen_libreveris,com.audiveris.installer.unix,UnixDescriptor,getSpecificFiles,Long Statement,The length of the statement "return Arrays.asList(new SpecificFile("unix/audiveris.sh"`"/usr/bin/audiveris"`true)`new SpecificFile("unix/AddPlugins.sh"`"/usr/share/audiveris/AddPlugins.sh"`true));" is 167.,173
jlpoolen_libreveris,com.audiveris.installer.unix,UnixDescriptor,runShell,Complex Method,Cyclomatic complexity of the method is 9,298
jlpoolen_libreveris,com.audiveris.installer.unix,UnixDescriptor,runShell,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@927d091,298
jlpoolen_libreveris,com.audiveris.installer.windows,WindowsDescriptor,isTesseractInstalled,Long Statement,The length of the statement "return Files.exists(Paths.get(sysDir`TESS.DLL_LEPTONICA)) && Files.exists(Paths.get(sysDir`TESS.DLL_TESSERACT)) && Files.exists(Paths.get(sysDir`TESS.DLL_BRIDGE));" is 163.,466
jlpoolen_libreveris,com.audiveris.installer.windows,WindowsDescriptor,getGhostscriptPath,Complex Method,Cyclomatic complexity of the method is 9,556
jlpoolen_libreveris,com.audiveris.installer.windows,WindowsDescriptor,getGhostscriptPath,Long Statement,The length of the statement "final Pattern keyPattern=Pattern.compile("^HKEY_LOCAL_MACHINE\\\\SOFTWARE\\\\(Wow6432Node\\\\)?GPL Ghostscript\\\\" + group(VERSION`"\\d+\\.\\d+") + "$");" is 154.,556
jlpoolen_libreveris,com.audiveris.installer.windows,WindowsUtilities,getModuleFilename,Magic Number,The method contains a magic number: 512,59
jlpoolen_libreveris,hudson.util.jna,InitializationErrorInvocationHandler,create,Long Statement,The length of the statement "return type.cast(Proxy.newProxyInstance(type.getClassLoader()`new Class[]{type}`new InitializationErrorInvocationHandler(cause)));" is 130.,34
jlpoolen_libreveris,hudson.util.jna,Kernel32Utils,createSymbolicLink,Long Statement,The length of the statement "if (!Kernel32.INSTANCE.CreateSymbolicLinkW(new WString(symlink.getPath())`new WString(target)`dirLink ? Kernel32.SYMBOLIC_LINK_FLAG_DIRECTORY : 0)) {" is 149.,48
jlpoolen_libreveris,hudson.util.jna,Kernel32Utils,getWin32FileAttributes,Magic Number,The method contains a magic number: 260,67
jlpoolen_libreveris,hudson.util.jna,Kernel32Utils,getWin32FileAttributes,Magic Number,The method contains a magic number: 2,67
jlpoolen_libreveris,hudson.util.jna,Kernel32Utils,waitForExitProcess,Magic Number,The method contains a magic number: 1000,98
jlpoolen_libreveris,hudson.util.jna,SHELLEXECUTEINFO,getFieldOrder,Long Statement,The length of the statement "return Arrays.asList(new String[]{"cbSize"`"fMask"`"hwnd"`"lpVerb"`"lpFile"`"lpParameters"`"lpDirectory"`"nShow"`"hInstApp"`"lpIDList"`"lpClass"`"hkeyClass"`"dwHotKey"`"hIcon"`"hProcess"});" is 189.,70
jlpoolen_libreveris,omr.constant,UnitModel,getValueAt,Complex Conditional,The conditional expression constant instanceof Scale.Fraction || constant instanceof Scale.LineFraction || constant instanceof Scale.AreaFraction is complex.,269
jlpoolen_libreveris,omr.constant,UnitModel,getValueAt,Complex Method,Cyclomatic complexity of the method is 21,269
jlpoolen_libreveris,omr.constant,UnitModel,getValueAt,Long Statement,The length of the statement "if (constant instanceof Scale.Fraction || constant instanceof Scale.LineFraction || constant instanceof Scale.AreaFraction) {" is 125.,269
jlpoolen_libreveris,omr.constant,UnitModel,setValueAt,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@672b9a75,444
jlpoolen_libreveris,omr.constant,UnitManager,storeUnits,Magic Number,The method contains a magic number: 1024,423
jlpoolen_libreveris,omr.constant,UnitTreeTable,getCellEditor,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@48fdf1d6,101
jlpoolen_libreveris,omr.constant,UnitTreeTable,getCellRenderer,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@114d0a36,138
jlpoolen_libreveris,omr.constant,UnitTreeTable,scrollRowToVisible,Magic Number,The method contains a magic number: 2,186
jlpoolen_libreveris,omr.constant,ConstantSet,dumpOf,Long Statement,The length of the statement "sb.append(String.format("%-25s %12s %-14s =%5s %-25s\t%s%n"`constant.getName()`constant.getShortTypeName()`(constant.getQuantityUnit() != null) ? ("(" + constant.getQuantityUnit() + ")") : ""`origin`constant.getCurrentString()`constant.getDescription()));" is 255.,79
jlpoolen_libreveris,omr.check,CheckSuite,dump,Long Statement,The length of the statement "sb.append(String.format("%4.1f %-19s %5b % 6.2f % 6.2f %n"`weights.get(index++)`check.getName()`check.isCovariant()`check.getLow()`check.getHigh()));" is 149.,116
jlpoolen_libreveris,omr.check,CheckSuite,pass,Magic Number,The method contains a magic number: 512,220
jlpoolen_libreveris,omr.check,Check,Check,Long Parameter List,The method has 6 parameters. ,89
jlpoolen_libreveris,omr.check,Check,pass,Complex Method,Cyclomatic complexity of the method is 9,211
jlpoolen_libreveris,omr.check,Check,toString,Magic Number,The method contains a magic number: 128,284
jlpoolen_libreveris,omr.check,CheckPanel,passForm,Complex Method,Cyclomatic complexity of the method is 10,126
jlpoolen_libreveris,omr.check,CheckPanel,passForm,Magic Number,The method contains a magic number: 2,126
jlpoolen_libreveris,omr.check,CheckPanel,passForm,Magic Number,The method contains a magic number: 2,126
jlpoolen_libreveris,omr.check,CheckPanel,passForm,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@308d7528,126
jlpoolen_libreveris,omr.check,CheckPanel,buildComponent,Magic Number,The method contains a magic number: 2,252
jlpoolen_libreveris,omr.check,CheckPanel,buildComponent,Magic Number,The method contains a magic number: 3,252
jlpoolen_libreveris,omr.check,CheckPanel,buildComponent,Magic Number,The method contains a magic number: 5,252
jlpoolen_libreveris,omr.check,CheckPanel,buildComponent,Magic Number,The method contains a magic number: 7,252
jlpoolen_libreveris,omr.check,CheckPanel,buildComponent,Magic Number,The method contains a magic number: 9,252
jlpoolen_libreveris,omr.check,CheckPanel,buildComponent,Magic Number,The method contains a magic number: 11,252
jlpoolen_libreveris,omr.check,CheckPanel,buildComponent,Magic Number,The method contains a magic number: 2,252
jlpoolen_libreveris,omr.check,CheckPanel,buildComponent,Magic Number,The method contains a magic number: 13,252
jlpoolen_libreveris,omr.check,CheckPanel,buildComponent,Magic Number,The method contains a magic number: 2,252
jlpoolen_libreveris,omr.check,CheckPanel,buildComponent,Magic Number,The method contains a magic number: 5,252
jlpoolen_libreveris,omr.check,CheckPanel,buildComponent,Magic Number,The method contains a magic number: 9,252
jlpoolen_libreveris,omr.check,CheckPanel,createBoundFields,Magic Number,The method contains a magic number: 2,342
jlpoolen_libreveris,omr.check,CheckPanel,createValueFields,Magic Number,The method contains a magic number: 3,406
jlpoolen_libreveris,omr.check,CheckPanel,createValueFields,Magic Number,The method contains a magic number: 2,406
jlpoolen_libreveris,omr,CLI,addItem,Empty catch clause,The method has an empty catch block.,268
jlpoolen_libreveris,omr,CLI,parse,Complex Method,Cyclomatic complexity of the method is 22,348
jlpoolen_libreveris,omr,CLI,parse,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@30c3aeaf,348
jlpoolen_libreveris,omr,CLI,stopUsage,Long Statement,The length of the statement "buf.append(String.format("%n %-36s %s"`String.format(" [-%s%s]"`command.toString().toLowerCase(Locale.ENGLISH)`((command.params != null) ? (" " + command.params) : ""))`command.description));" is 191.,557
jlpoolen_libreveris,omr,WellKnowns,getConfigFolder,Complex Method,Cyclomatic complexity of the method is 9,269
jlpoolen_libreveris,omr,WellKnowns,getDataFolder,Complex Method,Cyclomatic complexity of the method is 9,316
jlpoolen_libreveris,omr,Main,doMain,Long Statement,The length of the statement "List<Future<Void>> futures=OmrExecutors.getCachedLowExecutor().invokeAll(tasks`constants.processTimeOut.getValue()`TimeUnit.SECONDS);" is 133.,94
jlpoolen_libreveris,omr,Main,getFilesTasks,Long Statement,The length of the statement "logger.info("Launching {} on {} {}"`parameters.desiredSteps`name`(parameters.pages != null) ? ("pages " + parameters.pages) : "");" is 130.,225
jlpoolen_libreveris,omr,Main,call,Long Statement,The length of the statement "logger.info("Launching {} on {} {}"`parameters.desiredSteps`name`(parameters.pages != null) ? ("pages " + parameters.pages) : "");" is 130.,242
jlpoolen_libreveris,omr,Main,showEnvironment,Long Statement,The length of the statement "logger.info("Environment:\n" + "- Audiveris: {}\n" + "- OS: {}\n"+ "- Architecture: {}\n"+ "- Java VM: {}"`WellKnowns.TOOL_REF + ":" + WellKnowns.TOOL_BUILD`System.getProperty("os.name") + " " + System.getProperty("os.version")`System.getProperty("os.arch")`System.getProperty("java.vm.name") + " (build " + System.getProperty("java.vm.version")+ "` "+ System.getProperty("java.vm.info")+ ")");" is 394.,508
jlpoolen_libreveris,omr.math,BasicLine,BasicLine,Magic Number,The method contains a magic number: 2,113
jlpoolen_libreveris,omr.math,BasicLine,getMeanDistance,Magic Number,The method contains a magic number: 2,177
jlpoolen_libreveris,omr.math,BasicLine,getMeanDistance,Magic Number,The method contains a magic number: 2,177
jlpoolen_libreveris,omr.math,BasicLine,getMeanDistance,Magic Number,The method contains a magic number: 2,177
jlpoolen_libreveris,omr.math,BasicLine,getMeanDistance,Magic Number,The method contains a magic number: 2,177
jlpoolen_libreveris,omr.math,BasicLine,checkLineParameters,Complex Conditional,The conditional expression Double.isNaN(a) || Double.isNaN(b) || Double.isNaN(c) is complex.,452
jlpoolen_libreveris,omr.math,BasicLine,compute,Magic Number,The method contains a magic number: 2,472
jlpoolen_libreveris,omr.math,Population,getVariance,Magic Number,The method contains a magic number: 2,120
jlpoolen_libreveris,omr.math,ReversePathIterator,ReversePathIterator,Complex Method,Cyclomatic complexity of the method is 19,107
jlpoolen_libreveris,omr.math,ReversePathIterator,ReversePathIterator,Magic Number,The method contains a magic number: 16,107
jlpoolen_libreveris,omr.math,ReversePathIterator,ReversePathIterator,Magic Number,The method contains a magic number: 8,107
jlpoolen_libreveris,omr.math,ReversePathIterator,ReversePathIterator,Magic Number,The method contains a magic number: 6,107
jlpoolen_libreveris,omr.math,ReversePathIterator,ReversePathIterator,Magic Number,The method contains a magic number: 2,107
jlpoolen_libreveris,omr.math,ReversePathIterator,ReversePathIterator,Magic Number,The method contains a magic number: 2,107
jlpoolen_libreveris,omr.math,ReversePathIterator,ReversePathIterator,Magic Number,The method contains a magic number: 4,107
jlpoolen_libreveris,omr.math,ReversePathIterator,ReversePathIterator,Magic Number,The method contains a magic number: 6,107
jlpoolen_libreveris,omr.math,ReversePathIterator,ReversePathIterator,Magic Number,The method contains a magic number: 2,107
jlpoolen_libreveris,omr.math,ReversePathIterator,ReversePathIterator,Magic Number,The method contains a magic number: 2,107
jlpoolen_libreveris,omr.math,ReversePathIterator,ReversePathIterator,Magic Number,The method contains a magic number: 2,107
jlpoolen_libreveris,omr.math,ReversePathIterator,ReversePathIterator,Magic Number,The method contains a magic number: 2,107
jlpoolen_libreveris,omr.math,ReversePathIterator,ReversePathIterator,Magic Number,The method contains a magic number: 2,107
jlpoolen_libreveris,omr.math,ReversePathIterator,ReversePathIterator,Magic Number,The method contains a magic number: 2,107
jlpoolen_libreveris,omr.math,ReversePathIterator,ReversePathIterator,Magic Number,The method contains a magic number: 2,107
jlpoolen_libreveris,omr.math,ReversePathIterator,ReversePathIterator,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@17178a20,107
jlpoolen_libreveris,omr.math,ReversePathIterator,ReversePathIterator,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@6e722e4e,107
jlpoolen_libreveris,omr.math,ReversePathIterator,coordinatesForSegmentType,Magic Number,The method contains a magic number: 2,470
jlpoolen_libreveris,omr.math,ReversePathIterator,coordinatesForSegmentType,Magic Number,The method contains a magic number: 4,470
jlpoolen_libreveris,omr.math,ReversePathIterator,coordinatesForSegmentType,Magic Number,The method contains a magic number: 6,470
jlpoolen_libreveris,omr.math,LinearEvaluator,patternDistance,Complex Conditional,The conditional expression (one == null) || (one.length != inputSize) || (two == null)|| (two.length != inputSize) is complex.,344
jlpoolen_libreveris,omr.math,Rational,hashCode,Magic Number,The method contains a magic number: 5,226
jlpoolen_libreveris,omr.math,Rational,hashCode,Magic Number,The method contains a magic number: 89,226
jlpoolen_libreveris,omr.math,Rational,hashCode,Magic Number,The method contains a magic number: 89,226
jlpoolen_libreveris,omr.math,Histogram,getPeaks,Complex Method,Cyclomatic complexity of the method is 8,363
jlpoolen_libreveris,omr.math,Histogram,toString,Long Statement,The length of the statement "sb.append(String.format(" %s-%s"`(firstBucket() != null) ? firstBucket().toString() : ""`(lastBucket() != null) ? lastBucket().toString() : ""));" is 145.,505
jlpoolen_libreveris,omr.math,Histogram,preciseKey,Long Statement,The length of the statement "return ((prev.doubleValue() * (nextCount - count)) + (next.doubleValue() * (count - prevCount))) / (nextCount - prevCount);" is 123.,581
jlpoolen_libreveris,omr.math,NaturalSpline,interpolate,Long Statement,The length of the statement "return new NaturalSpline(new QuadCurve2D.Double(xx[0]`yy[0]`(2 * xx[1]) - ((xx[0] + xx[2]) / 2)`(2 * yy[1]) - ((yy[0] + yy[2]) / 2)`xx[2]`yy[2]));" is 146.,97
jlpoolen_libreveris,omr.math,NaturalSpline,interpolate,Long Statement,The length of the statement "curves[i]=new CubicCurve2D.Double(xx[i]`yy[i]`xx[i] + (dx[i] / 3)`yy[i] + (dy[i] / 3)`xx[i + 1] - (dx[i + 1] / 3)`yy[i + 1] - (dy[i + 1] / 3)`xx[i + 1]`yy[i + 1]);" is 163.,97
jlpoolen_libreveris,omr.math,NaturalSpline,interpolate,Magic Number,The method contains a magic number: 2,97
jlpoolen_libreveris,omr.math,NaturalSpline,interpolate,Magic Number,The method contains a magic number: 2,97
jlpoolen_libreveris,omr.math,NaturalSpline,interpolate,Magic Number,The method contains a magic number: 2,97
jlpoolen_libreveris,omr.math,NaturalSpline,interpolate,Magic Number,The method contains a magic number: 2,97
jlpoolen_libreveris,omr.math,NaturalSpline,interpolate,Magic Number,The method contains a magic number: 2,97
jlpoolen_libreveris,omr.math,NaturalSpline,interpolate,Magic Number,The method contains a magic number: 2,97
