Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
mraad_Shapefile,com.esri.mapreduce,PointReaderTest,testPointReader,Long Statement,The length of the statement "final RecordReader<LongWritable`PointWritable> recordReader=pointInputFormat.createRecordReader(fileSplit`taskAttemptContext);" is 126.,24
mraad_Shapefile,com.esri.mapreduce,PointFeatureReaderTest,testPointFeatureReader,Long Statement,The length of the statement "final RecordReader<LongWritable`PointFeatureWritable> recordReader=inputFormat.createRecordReader(fileSplit`taskAttemptContext);" is 128.,24
mraad_Shapefile,com.esri.mapreduce,PolygonFeatureReaderTest,testPolygonFeatureReader,Long Statement,The length of the statement "final RecordReader<LongWritable`PolygonFeatureWritable> recordReader=pointInputFormat.createRecordReader(fileSplit`taskAttemptContext);" is 135.,24
mraad_Shapefile,com.esri.mapreduce,PolygonReaderTest,testPolygonReader,Long Statement,The length of the statement "final RecordReader<LongWritable`PolygonWritable> recordReader=pointInputFormat.createRecordReader(fileSplit`taskAttemptContext);" is 128.,24
mraad_Shapefile,com.esri.shp,ShpReader,readRecordHeader,Magic Number,The method contains a magic number: 4,51
mraad_Shapefile,com.esri.shp,ShpHeader,ShpHeader,Magic Number,The method contains a magic number: 9994,25
mraad_Shapefile,com.esri.shp,ShpHeader,ShpHeader,Magic Number,The method contains a magic number: 5,25
mraad_Shapefile,com.esri.shp,ShpHeader,ShpHeader,Magic Number,The method contains a magic number: 4,25
mraad_Shapefile,com.esri.shp,PointTest,testReadPoint,Magic Number,The method contains a magic number: 0.000001,18
mraad_Shapefile,com.esri.shp,PointTest,testReadPoint,Magic Number,The method contains a magic number: 0.000001,18
mraad_Shapefile,com.esri.shp,PointTest,testQueryPoint,Magic Number,The method contains a magic number: 0.000001,39
mraad_Shapefile,com.esri.shp,PointTest,testQueryPoint,Magic Number,The method contains a magic number: 0.000001,39
mraad_Shapefile,com.esri.shp,PolygonTest,testReadPolygon,Magic Number,The method contains a magic number: 0.000001,19
mraad_Shapefile,com.esri.shp,PolygonTest,testReadPolygon,Magic Number,The method contains a magic number: 0.000001,19
mraad_Shapefile,com.esri.shp,PolygonTest,testReadPolygon,Magic Number,The method contains a magic number: 0.000001,19
mraad_Shapefile,com.esri.shp,PolygonTest,testReadPolygon,Magic Number,The method contains a magic number: 0.000001,19
mraad_Shapefile,com.esri.shp,PolygonTest,testQueryPolygon,Magic Number,The method contains a magic number: 5,43
mraad_Shapefile,com.esri.shp,PolygonTest,testQueryPolygon,Magic Number,The method contains a magic number: 0.000001,43
