Project Name,Package Name,Architecture Smell,Cause of the Smell
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue.internal.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.openhft.chronicle.queue.internal.util; net.openhft.chronicle.queue.util
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue.internal.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.openhft.chronicle.queue.internal.util; net.openhft.chronicle.queue.impl.single; net.openhft.chronicle.queue.util
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue.internal.reader,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.openhft.chronicle.queue.internal.reader; net.openhft.chronicle.queue.reader
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue.internal.reader,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.openhft.chronicle.queue.internal.reader; net.openhft.chronicle.queue; net.openhft.chronicle.queue.reader
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue.internal.reader,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [InternalMessageToTextQueueEntryHandler]; [PatternFilterMessageConsumer]; [InternalDummyMethodReaderQueueEntryHandler]; [MessageCountingMessageConsumer]; [ChronicleReaderTest; TimestampComparator; Say; SayWhen]; [ChronicleReaderTest.ChronicleReaderRunner]; [ChronicleReaderTest.RecordCounter]; [ChronicleReaderTest.FiniteDocumentPollMethod]; [ChronicleMethodReaderTest]; [ChronicleMethodReaderTest.Method1]; [ChronicleMethodReaderTest.Method2]; [ChronicleMethodReaderTest.All]; [ChronicleMethodReaderTest.Method1Type]; [ChronicleMethodReaderTest.Method2Type]; [ChronicleHistoryReaderTest]; [ChronicleHistoryReaderTest.DummyListener]; [ChronicleHistoryReaderTest.DummyListenerId]; [ChronicleHistoryReaderTest.SetTimeMessageHistory]; [RollEOFTest]. LCC (Lack of Component Cohesion) = 0.86
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue.internal.reader,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: net.openhft.chronicle.queue.impl.single; net.openhft.chronicle.queue.reader.
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue.internal.writer,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ChronicleWriterMain; ChronicleWriter; ChronicleWriterTest]; [ChronicleWriterTest.MyInterface]; [ChronicleWriterTest.MyInterface2]; [ChronicleWriterTest.DTO]; [ChronicleWriterTest.DTO2]. LCC (Lack of Component Cohesion) = 0.71
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue.internal.domestic,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.openhft.chronicle.queue.internal.domestic; net.openhft.chronicle.queue.impl.single
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue.main,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.openhft.chronicle.queue.main; net.openhft.chronicle.queue
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue.main,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.openhft.chronicle.queue.main; net.openhft.chronicle.queue; net.openhft.chronicle.queue.impl.single
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue.main,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ReaderMain]; [DumpMain]; [HistoryMain]; [PingPongMain]; [BenchmarkMain]; [RemovableRollFileCandidatesMain]; [UnlockMain]. LCC (Lack of Component Cohesion) = 1.0
