Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
ontrack,net.nemerosa.ontrack.boot.ui,StructureAPIController,getProjectList,Long Statement,The length of the statement "return ResourceCollection.of(structureRepository.getProjectList().stream().map(this::toProjectResource)`uri(on(StructureAPIController.class).getProjectList())).with(Link.CREATE`uri(on(StructureAPIController.class).newProject(null)));" is 233.,27
ontrack,net.nemerosa.ontrack.test,TestUtils,getEnv,Long Statement,The length of the statement "throw new IllegalStateException(String.format("The %s value must be defined with the system property `%s` or the environment variable `%s`."`name`systemProperty`envProperty));" is 175.,41
ontrack,net.nemerosa.ontrack.ui.resource,ResourceTest,resource_to_json,Long Statement,The length of the statement "Resource<Dummy> resource=Resource.of(info`URI.create("http://host/dummy")).with("connectors"`URI.create("http://host/dummy/test"));" is 131.,16
ontrack,net.nemerosa.ontrack.ui.resource,ResourceTest,resource_to_json,Long Statement,The length of the statement "TestUtils.assertJsonEquals(object().with("version"`"1.0.0").with("href"`"http://host/dummy").with("connectors"`object().with("href"`"http://host/dummy/test").end()).end()`node);" is 177.,16
ontrack,net.nemerosa.ontrack.ui.resource,ResourceCollectionTest,to_json,Long Statement,The length of the statement "ResourceCollection<Dummy> collection=ResourceCollection.of(Arrays.asList(Resource.of(new Dummy("1")`URI.create("http://host/dummy/1"))`Resource.of(new Dummy("2")`URI.create("http://host/dummy/2")))`URI.create("http://host/dummy"));" is 231.,16
ontrack,net.nemerosa.ontrack.ui.resource,ResourceCollectionTest,to_json,Long Statement,The length of the statement "TestUtils.assertJsonEquals(object().with("href"`"http://host/dummy").with("resources"`array().with(object().with("version"`"1").with("href"`"http://host/dummy/1").end()).with(object().with("version"`"2").with("href"`"http://host/dummy/2").end()).end()).end()`ObjectMapperFactory.create().valueToTree(collection));" is 313.,16
ontrack,net.nemerosa.ontrack.ui.controller,MockURIBuilder,build,Long Statement,The length of the statement "return URI.create(format("urn:test:%s#%s:%s"`info.getControllerMethod().getDeclaringClass().getName()`info.getControllerMethod().getName()`StringUtils.join(info.getArgumentValues()`"`")));" is 188.,16
ontrack,net.nemerosa.ontrack.ui.support,StringToID,convert,Magic Number,The method contains a magic number: 10,8
ontrack,net.nemerosa.ontrack.service,DefaultStructureFactory,newValidationRun,Long Parameter List,The method has 5 parameters. ,52
ontrack,net.nemerosa.ontrack.it,ITConfig,dataSource,Magic Number,The method contains a magic number: 2,22
ontrack,net.nemerosa.ontrack.model.structure,StructureFactory,newValidationRun,Long Parameter List,The method has 5 parameters. ,20
ontrack,net.nemerosa.ontrack.model.structure,IDTest,set_to_json,Magic Number,The method contains a magic number: 12,40
ontrack,net.nemerosa.ontrack.model.structure,IDTest,set_to_json,Magic Number,The method contains a magic number: 12,40
ontrack,net.nemerosa.ontrack.json,ObjectMapperFactory,create,Long Statement,The length of the statement "AnnotationIntrospector pair=AnnotationIntrospector.pair(config.getAnnotationIntrospector()`new ConstructorPropertiesAnnotationIntrospector());" is 142.,17
ontrack,net.nemerosa.ontrack.json,ProxyAnnotation,of,Long Statement,The length of the statement "return (A)Proxy.newProxyInstance(annotationType.getClassLoader()`new Class[]{annotationType}`new AnnotationInvocationHandler<A>(annotationType`properties));" is 156.,11
