Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,KinesisProducingMessageHandlerTests,testKinesisMessageHandler,Long Statement,The length of the statement "message2=MessageBuilder.fromMessage(message).setHeader(AwsHeaders.PARTITION_KEY`"fooKey").setHeader(AwsHeaders.SEQUENCE_NUMBER`"10").build();" is 141.,81
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,KinesisProducingMessageHandlerTests,testKinesisMessageHandler,Long Statement,The length of the statement "assertThat(((PutRecordRequest)putRecordFailure.getRequest()).getData()).isEqualTo(ByteBuffer.wrap("message".getBytes()));" is 121.,81
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,KinesisProducingMessageHandlerTests,testKinesisMessageHandler,Long Statement,The length of the statement "message2=new GenericMessage<>(new PutRecordsRequest().withStreamName("myStream").withRecords(new PutRecordsRequestEntry().withData(ByteBuffer.wrap("test".getBytes())).withPartitionKey("testKey")));" is 197.,81
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,KinesisProducingMessageHandlerTests,testKinesisMessageHandler,Long Statement,The length of the statement "assertThat(((PutRecordsRequest)success.getPayload()).getRecords()).containsExactlyInAnyOrder(new PutRecordsRequestEntry().withData(ByteBuffer.wrap("test".getBytes())).withPartitionKey("testKey"));" is 196.,81
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,KinesisProducingMessageHandlerTests,testKinesisMessageHandler,Long Statement,The length of the statement "message2=new GenericMessage<>(new PutRecordsRequest().withStreamName("myStream").withRecords(new PutRecordsRequestEntry().withData(ByteBuffer.wrap("test".getBytes())).withPartitionKey("testKey")));" is 197.,81
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,KinesisProducingMessageHandlerTests,testKinesisMessageHandler,Long Statement,The length of the statement "assertThat(((PutRecordsRequest)putRecordsFailure.getRequest()).getRecords()).containsExactlyInAnyOrder(new PutRecordsRequestEntry().withData(ByteBuffer.wrap("test".getBytes())).withPartitionKey("testKey"));" is 206.,81
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,KinesisProducingMessageHandlerTests,testKinesisMessageHandler,Magic Number,The method contains a magic number: 10000,81
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,KinesisProducingMessageHandlerTests,testKinesisMessageHandler,Magic Number,The method contains a magic number: 10000,81
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,KinesisProducingMessageHandlerTests,testKinesisMessageHandler,Magic Number,The method contains a magic number: 10000,81
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,KinesisProducingMessageHandlerTests,testKinesisMessageHandler,Magic Number,The method contains a magic number: 10000,81
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,SqsMessageHandlerTests,testSqsMessageHandler,Long Identifier,The length of the identifier sendMessageRequestArgumentCaptor is 32.,85
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,SqsMessageHandlerTests,testSqsMessageHandler,Long Identifier,The length of the identifier sendMessageRequestArgumentCaptorValue is 37.,85
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,SqsMessageHandlerTests,testSqsMessageHandler,Long Statement,The length of the statement "assertThatExceptionOfType(MessageHandlingException.class).isThrownBy(() -> this.sqsSendChannel.send(message)).withCauseInstanceOf(IllegalStateException.class);" is 159.,85
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,SqsMessageHandlerTests,testSqsMessageHandler,Magic Number,The method contains a magic number: 2,85
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,SqsMessageHandlerTests,testSqsMessageHandler,Magic Number,The method contains a magic number: 3,85
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,SqsMessageHandlerTests,testSqsMessageHandlerWithAutoQueueCreate,Long Identifier,The length of the identifier createQueueRequestArgumentCaptor is 32.,128
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,SqsMessageHandlerTests,testSqsMessageHandlerWithAutoQueueCreate,Long Identifier,The length of the identifier sendMessageRequestArgumentCaptor is 32.,128
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,SqsMessageHandlerTests,testSqsMessageHandlerWithAutoQueueCreate,Long Identifier,The length of the field sqsMessageHandlerWithAutoQueueCreate is 36.,128
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,KinesisMessageHandlerTests,testKinesisMessageHandler,Long Identifier,The length of the identifier putRecordRequestArgumentCaptor is 30.,81
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,KinesisMessageHandlerTests,testKinesisMessageHandler,Long Identifier,The length of the identifier putRecordsRequestArgumentCaptor is 31.,81
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,KinesisMessageHandlerTests,testKinesisMessageHandler,Long Statement,The length of the statement "assertThatExceptionOfType(MessageHandlingException.class).isThrownBy(() -> this.kinesisSendChannel.send(message)).withCauseInstanceOf(IllegalStateException.class).withMessageContaining("'stream' must not be null for sending a Kinesis record");" is 243.,81
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,KinesisMessageHandlerTests,testKinesisMessageHandler,Long Statement,The length of the statement "assertThatExceptionOfType(MessageHandlingException.class).isThrownBy(() -> this.kinesisSendChannel.send(message)).withCauseInstanceOf(IllegalStateException.class).withMessageContaining("'partitionKey' must not be null for sending a Kinesis record");" is 249.,81
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,KinesisMessageHandlerTests,testKinesisMessageHandler,Long Statement,The length of the statement "Message<?> message2=MessageBuilder.fromMessage(message).setHeader(AwsHeaders.PARTITION_KEY`"fooKey").setHeader(AwsHeaders.SEQUENCE_NUMBER`"10").setHeader("foo"`"bar").build();" is 175.,81
