Commit,LOC,TotalTestabilitySmells,TySmellDensity,OpenIssues,ClosedIssues,TotalIssues
d5f245aecd9731dff0aa00d77e7fdf5880d8e56f,61376,1312,21.37643378519291,0,2,2
72d69bed5460c0764beecdfdbe65ca5265335e07,63164,1318,20.866316256095246,1,10,11
4dba318487027a0c1413eeb5ea6d9b88722d1d4d,63208,1322,20.9150740412606,1,10,11
87eb42584f225dcb70560bab8dcef080e2989c97,63149,1136,17.989200145687185,1,10,11
36e9e6115b7f2fe535ca04d85fc56d83cd64cff8,63413,1152,18.1666219860281,2,10,12
b13cd3cc5cb496a2a0c64ded300d54420973bb4d,63591,1163,18.288751552892705,2,11,13
e1ebdd379f0ff43ddf1ed818720ee4f57f3ec77a,63701,1165,18.28856689847883,4,20,24
db7a709678b4bd919f0c448e6251c16769eda496,63877,1164,18.222521408331637,4,21,25
c441ead2d881f4322c36b4378847674209ac8761,63724,1166,18.297658652940807,4,21,25
aef74af8caa02dac7f40350da3c9c1a3785ad32b,63726,1166,18.29708439255563,4,21,25
d572a37c8fa9c31fa904afdfebe8d79276f3de98,62878,1164,18.512039186997043,4,21,25
3cd880c6b547cc96ef760b7f397bab42cb09d36c,63726,1166,18.29708439255563,4,21,25
33d825f6f6b907b0456d791f1c419059c9db52f9,63726,1166,18.29708439255563,4,21,25
6572be00a836258afa41488984875d1fb5fc2150,62938,1164,18.494391305729447,4,21,25
b6739cb4efde26d5c1d30768cc3801509258c12c,62938,1164,18.494391305729447,4,21,25
5a051397412cbb6e0e38b378ea6190dabb88f077,62830,1133,18.0327868852459,4,25,29
a0b16697890fb63a213b3fe427265e6df63292b4,62935,1135,18.034480019067292,4,25,29
9998fef72c676858da65b1bd1aca8ec195bedb11,63070,1252,19.850959251625177,6,39,45
201018db2a1512dde609aff9afde332158072f3f,63198,1260,19.937339789233835,6,44,50
95736803222c57b20ebdd0e28cedd0dac4d2100e,65639,1313,20.003351665930317,9,56,65
68b221d064fa3ac80eb112748aec929d8bfc2586,67205,1324,19.70091511048285,9,58,67
56a3c4e06871776d5950680558f49017a1b3e14e,67851,1333,19.64598900532048,12,92,104
6918160ef768de803352c561c7a674bb10f2a76d,68136,1338,19.637196195843607,14,103,117
ad859665890d9720e02d111ffeaeaab75b14c645,68717,1351,19.660346057016458,16,107,123
9dc20b5b33ab2dae1b0c65d4822b7039f9df0a06,69991,1583,22.61719363918218,18,123,141
994d287197bb62095d07d107ec007e784359c587,71398,1597,22.367573321381553,19,128,147
fabf0d5579fd98ae59df8113eac27ef74d0ad224,71357,1592,22.310354975685637,19,132,151
4cf08c9860c76cb7230ac1025b00f8e460ea112d,71375,1596,22.36077057793345,19,133,152
8662ef25648962cadb56165e1ef45046ba4cd679,70505,1574,22.32465782568612,19,133,152
dc7168f44d10b4e3d84f5dfa27e19efbcad0585e,70456,1574,22.34018394458953,19,133,152
ca4827ffe8e4071b88c7d6e6a1df9aafcd47fcbe,70324,1574,22.382117058187816,19,134,153
a382bfb2d918ace6ea9b5ea848ff34425913ce38,70613,1574,22.290513078328352,20,135,155
5c6d8f7af7b3a91576ec61160c074bea0e2fcfa5,70786,1576,22.264289548780834,20,135,155
3859ef4250fc49e20181852628d9ce5433a1308a,71237,1590,22.31986186953409,25,152,177
7852b2462d94dd16f0274be3abd073d978b17622,68848,1564,22.71670927260051,28,178,206
e95dce59d95a3bfce0fa6370b545abfcba5dbeff,70106,1585,22.608621230707787,28,188,216
d0b14c71c188518e31746dc47b17704639c5bf54,70106,1585,22.608621230707787,28,188,216
f02b44a2f49eb3ce141693acc341dddd341cca81,69910,1572,22.48605349735374,46,199,245
b7ce5c0ed72f35b3c7f249d26a77410c9c69fd22,70024,1573,22.463726722266653,47,204,251
085016cf9a5dd283d6878b1f37b36669cb8f39fb,72433,1375,18.983060207364048,50,223,273
c80429538a2025a6218d686da9b96b64c6847a0c,73028,1379,18.883168099906886,51,232,283
320baff01a5358402bb84ab93309c7ffc9d9a249,73756,1409,19.103530560225607,58,281,339
66ffd3f1d1089cee07ed451492f3c615097f60e1,71544,1406,19.652241976965225,64,291,355
a4df87c2443f582513ee90cadeff53f6beb2c879,70934,1412,19.905827952744804,71,294,365
81d0562f0f11161a4c21036a4e4fd9b62201bcc5,71002,1416,19.94310019436072,71,296,367
8b8d590cd6103eef0204945b940713ad7d8ba3eb,71082,1419,19.96285979572888,71,296,367
970115f1a8bd53302f1cf05bb0f91a6289bcd71e,71320,1423,19.952327537857542,72,296,368
4d8a061212953fdcbd94098749d14f85add00ab4,71320,1423,19.952327537857542,72,296,368
648806f1d833cab27490785be52ce2d1d85cca93,71567,1425,19.911411684156107,72,296,368
