Commit,HWD,GS,ED,LDV,Total
b0021ef337b7f998f8d72502ec48bf4a3c5ae188,0,0,0,0,0
0dcd20152632619b5959aa330feccb7024e6a7df,2,98,56,14,170
7492747191b51e7db467d2eb3ab7799c74be0ac1,0,0,0,0,0
cdc384ce4c07fb3a8a25b68b5a6ad5789870986f,1,81,44,11,137
1728263b93c7305bdb01cc9b8bd8abb6eb8fce95,0,23,13,3,39
bd9e5a87fd1c1d2ab7d0ce5ab8ad2028b620724d,0,0,0,0,0
ae17bba444d3d17a2c2620f0fa9ac3a951082b1a,0,23,13,3,39
9e93b4ccbda4abd101ea558db4eb4ce0b289e71b,0,0,0,0,0
a090f9ac4ec38b1ad9fe4e0adee4da0bd0b24948,2,124,78,15,219
8652d773d742e82acf5da4dcb26a9fda86c75617,0,50,38,5,93
f84fae46db7ded8038877c70ed81958b7b654c45,0,8,1,1,10
9748aa3eae7d895895ca9b2d7297858f3d28b5e1,2,60,7,3,72
e1d9084374acb58d0a58119c4aaeec9c65dd1e98,0,11,4,2,17
70c3fea1ce93be4e81a0d82025f3b84538496a2f,0,27,16,3,46
f8959cf25470bf07cbb7b3810b355593b8e89ff8,0,21,8,2,31
09dca4c861ed30403155bf5c52871c465dfc84de,0,7,0,1,8
0d855f5e20dfec6cf7812ec57807d813d2e55498,2,105,65,15,187
688aa03f0dfb5389149e58c58e6d81a9d6cf4c13,1,79,40,11,131
4e45fbb9d81e98ba4d533cb6272cbffe27ae1db4,2,92,88,12,194
2d8021b0764530a9e92240ae29c4b5f1d70d53dd,1,65,47,11,124
7c599ef400ef0177cf7a8aaa251ceca927729c98,0,6,1,0,7
3196148ff2d4a7506417ca63b7980ac4e98db6d8,2,124,73,15,214
0d033c39c460707fbfcce840fc0b0c9c7c5b86fd,0,4,1,0,5
ca23d690ec3741870b45a88146749fbb0dcbc792,0,12,4,2,18
bcf25958b19c75f7861ace23ff2010a5290f13b5,2,127,83,15,227
34ac9587ae044add646305dce1a6f07c59f6d482,0,11,3,2,16
785cf5ef47c2477bc67af3ce8492b12a890b2885,0,30,21,3,54
80a36d2d95bc4a4bbad787e807af7dfc6c792339,0,8,2,2,12
93580a34c5b768ff22279466b64fd764bae2276a,2,93,53,15,163
