Commit,HWD,GS,ED,LDV,Total
a66f7a261eb9a94891827569968ef8092c9459a7,20,383,32,2,437
bc3f02ca996dca25d54b69375031cf87d1182f87,114,888,122,212,1336
6a93c5414ae65f0048b54c3bce70c6ccda3a2294,29,623,50,5,707
d4863e7fe5ced186442b48fb709048af9be7f0de,133,772,117,394,1416
4289335067936859ca205930b7da8d609a3bbf85,33,682,71,6,792
111efd6f9064f0ffc186ee5524d9071d82f1a861,114,888,122,212,1336
545a1fa59c7f1f867e77b35f3b73d57fd870770d,33,629,51,5,718
8250b151082d1ce8a99191241893a2c5f8d5b6aa,141,1012,133,436,1722
f8f9f5805be168da7de3d03fd8cddf8117184e80,124,664,103,388,1279
e5fe210397716330c01761854fdc3b334db996ef,17,455,24,2,498
a7d6f62dbc4caa58aec204a5bae095188fe12805,23,437,35,4,499
5b6b9ba346445ada168b9a476f9838b7a473a38a,105,958,137,212,1412
04935c7b20a85d28a4a40a89c448b347f2df0872,20,370,33,2,425
07b9a6fc3501a8f428589a5c3de9f14a313e455d,122,841,118,345,1426
b58c88ed75e38ae7fbf3c9083e384adf183bd1b5,106,937,136,205,1384
88fe9f8e90be611fe93e940060afad5385591dd6,134,750,111,420,1415
323c1a19cf31b519475351cd97489b3c31830c7d,107,902,133,209,1351
8096790e96779e255fe82cb155dabeda96e46eec,114,887,121,212,1334
ee92c5b000ade4043d2bd185ce25cef3e9fa6ca2,105,957,137,212,1411
f09e8a6167857a1e2019877796ec782f8e93fcca,114,888,122,212,1336
dcedd0ad37c05f222e72138088f8c160fb2f9329,19,324,30,2,375
05da2b6c19ce23bec3574bf2345e1eca3d9047ac,117,884,119,334,1454
f8110245165762cf8dc252c9686a9ac5e8a12b07,36,682,82,28,828
9afaa31a54d5bb4ae01a441abdf880d792246710,128,692,110,418,1348
9c8441c0548c40cc7a7121337683e90c6421f10c,17,392,29,2,440
9160f3f6526e6a2cf727ba2bae186ef1338b2a96,121,845,119,346,1431
cdd3b326ba018fb4ce88ef4e0c0b55ad667b039e,26,521,43,4,594
41a2ce0991a2c32ffde06f623afb6ec3278fa4c2,17,450,23,2,492
8f271626536953a4e941befcb79c7cad4e8a185b,115,903,124,212,1354
3ac443fd3291483ffefdc015d97afe190a5cbb18,114,888,122,212,1336
970e37bb623dff5f1b5def5f1570db395facd877,28,657,70,5,760
ca114ae0499a160f4b54d66d55b54dff37de00f2,128,686,108,413,1335
8d13192acfe4a316fd6b8b7c28c3d1244844f0e3,128,727,109,395,1359
5d965aa24ef8a4980eef5225d94ec24c2b5e9de9,30,581,46,5,662
ad851922dae0a362c32096abc4c759f429fad354,114,888,122,212,1336
9f5ad79a3e8c7e0c4c86494af855cfbe634f6a51,114,888,122,212,1336
52150d15cee20d1c632582334e1bf8a8f76bc331,128,727,109,395,1359
e2d8dcc2f5c2ea6703ae770fa52e8e18eb4921b5,132,677,103,423,1335
6f6afccca5fd1639b2ebd63e4600d41ee16a8019,107,884,126,205,1322
6a8e90d9cd6a39f77c706f58e6019bfe93bb0a90,125,674,103,401,1303
7d4666e3cc198650fc378ea3f8f1a2f2f6a68e34,128,728,109,395,1360
0469f0cb28dd5c75e8d9aae38f249e7196da8fc8,117,872,119,332,1440
365eeabd5bed964fb48948be8955175559b332b8,132,677,103,423,1335
1cc17774bff80a904bd50bf58b311f8d66d8cb88,141,977,130,425,1673
8d59fc4dc56d3037a51be2e191a3cdce3dd082c4,28,644,68,5,745
63de89a5dbffc91ebce1c80780201319ce133e91,19,402,32,2,455
c9240c3d72b7492c326cc73a5b2c2dadc800399a,23,470,39,4,536
b318a318942e320d00fbf8b44241dfa958a13bac,130,676,102,423,1331
5068ecc4e8a8f8033214f8667a321870bd9dbe42,32,674,70,6,782
968c2d7e195479f42c0692564b9e75637272fb84,128,722,111,420,1381
46c808e39099d234eff20007dfcf55d4e8b0d3f9,105,1115,138,212,1570
d8d547a5ea11c1d19aa708c855b359b74e3cc575,20,374,33,2,429
dcbe2024dfab13035fb47413a7f8d398144a761f,105,957,137,212,1411
8d25d4660c9f7e67d438239c8d1881cbae49d7cb,115,672,102,395,1284
d7788907ba20296e5f831cbdb0fd3a12df6118bc,132,680,103,426,1341
28bc556e2a159ebe88be0bb99af49a990fe26e5f,33,629,51,5,718
6445e299b319a964c3def5361283eb50802b38ef,128,727,109,395,1359
a4389b929fe4deb22b1eeb3ca08ead87a5811456,124,664,103,388,1279
932bde1989bead4ab84138072fcb72ce8754cc08,133,880,120,416,1549
f75b77702dabd0e6c6a58a8c46ea916d3326c8e4,117,870,119,334,1440
58749247ec01d436796293c52638e024c435c776,132,678,103,423,1336
50801f8973f228eec7a1f6b6052dbbd7c3683126,20,383,32,2,437
ac3a2a134be35d37c4378472dc1fcf027bdb1873,128,728,109,395,1360
94f5cc3e6e06b61781484bc2f1007675eedddb9f,136,751,113,432,1432
a66dfb43c661637c65e51d6c63adad0056226315,114,888,122,212,1336
f4068e45f9e3bf6c4fdb9111445b33727e96bdca,114,888,122,212,1336
508b6e5158ef5a9702fe1c440f1557f09d79c012,128,727,109,395,1359
172f3e755aa0498954426c256b68b82b8397b7a5,114,888,122,212,1336
23a2f72349a2dbada8159a05d15014d6ad313c77,124,661,103,388,1276
a4dd3076082e071f524e33f6eca47f520332f1ab,28,645,67,5,745
4344748c5f2d51cc489beb65a5dd7c2554d9a7c4,17,399,30,2,448
8e5e8642d3884c7c2071e367c86385d89cd848a5,23,490,42,4,559
e31541ff371f72c9c60fc823dd50755fe9dcb167,142,978,129,425,1674
ec57a9e5d18403753bc25df793db814ca282be58,128,727,109,395,1359
338a42313f61451ab3d741c33ec45a7501f292d8,133,761,114,396,1404
69fdd9647e15f4b77b261c0a39872cc868f6842a,128,727,109,395,1359
7e897336e14edd57a7724c3c6b453ad45e44877f,118,885,121,334,1458
c244f340b94a30ae9fa92587f0415510e0c5baeb,29,642,57,5,733
45188d90d7e8e342733979b483bc8a1e4053b99d,33,682,71,6,792
98f5536f2715edb45d87468f8a8f2f045783be73,132,678,103,423,1336
40b60ef1693a1d4e710f84afa427896d157bbe54,32,673,70,6,781
cf47252de26e35ded04920e51a99005ff782ecdc,119,863,119,327,1428
76c12ce60709d85c54b6763f86e6e65147f3bf3d,27,524,43,4,598
79ce9018b77a52c12c66f49eff42ed892b76dd12,28,644,68,5,745
18c47537aeb25ac743ff8abcc77c454eac93884b,29,637,56,5,727
1cd85f1669cd8a2059b04d4dc74b388537ba1bdf,106,932,136,205,1379
7ceb1d2e61968de697c3ebb974041d49c6ee8045,117,870,119,334,1440
b467ae473494f06def37483f81837598ca4836c0,29,634,55,5,723
