Commit,TotalTestabilitySmells,OpenIssues,ClosedIssues
2000d918206f9a0afc717d0f01f0c3e0aa741ee4,0,0,0
07deaf2e72f37585251e7e8ede12ecb0eb3d0682,0,0,0
4c7d7d4959c08d832b07ea9bb7210794833f5a01,0,0,0
7b79fc0a689d087ebea1e89beafa6821179a17bb,0,0,0
e25d4468b038763aeca7e76676f0f05b4021f293,0,0,0
372d70bd3056b0ba961f317acc05f2cba121a3e2,0,0,0
244ecd93b31aebf954d86cc57203dacbed4e97c5,0,0,0
c1ca97646227bacb8d86d086a608090695138b28,0,0,0
411c89d442a03a62ea100456c3e1c1cd5611e206,1,0,0
0a858f3599a4571f109c0464ccbc9221e232f106,1,0,0
73ae50987b1602d6876dc9837aef830b5a291f94,47,0,0
9c7dfc5d4dd14eda823b1b2b8bb8cd433c723f71,47,0,0
18fcd3237049884d4e23c5deea6e292007a9e778,47,0,0
28c6107406896e695daff36ec5c636c4371a62f3,47,0,0
4e7fc47089d449ab0bf8be2e8da556338d828a93,47,0,0
cc83e98defec91b23464b294dbebbbf6787cb3f9,47,0,0
740295be23ef44932a25a21456d46799749f77dc,47,0,0
5f451888cf4b9a607185cecd642ace8337df8082,47,0,0
17b78ee469f9ab4678c9aa823663f0cd4871b1fc,47,0,0
7aecb0eff2d9ba0db99f2dc8c555d2f2fbd963b0,65,0,0
e9fb0fcbedf7208d62342b31772168f72637e558,65,0,0
3b7a80f355aee304612a2f409818120e1ca414d1,65,0,0
d0c4a28a8a2c68b1ca7da4320260173150a4d6ea,73,0,0
1fdcfdd612b044725439051a58a045346b626698,65,0,0
8ca9776b509ac81f3c6871b02cbc9a840816c7a5,66,0,0
c6ee15ef0eb47cd352c237112af211b8cedb4f55,74,0,0
33132b10b4d5c73f07dd9f1aece49ddd783c9055,75,0,0
c641f3a18ac496958edc99f078c68758f3d3c275,76,0,0
b6a73feffa4c7d004baacc800f05aa4e9db32bbd,76,0,0
34ba6fccd3ca33806c061bf99150b00bdc5483a9,76,0,0
c9f157e40d49a2f9a6986a0101ffc33d56631f9c,76,0,0
f07bdac47cb16edb97e3346433425cffdd08ee06,76,0,0
3f2df72aeaae3eb8e3907bc0ebcc62dc2be16189,76,0,0
8c47320a36a0cbc1b3c824a59bb42d38fae558a2,77,0,0
28ea85482b9332de21e78d035142e09b2b29f8d5,77,0,0
c075e315e3ac84c0c0410360a0dac3ceefa634bb,106,0,0
2060e05a33f21b9f5ce0a63e3d32111e6839bd6f,78,0,0
f14c355422dcf6472856ad865e61d4aad9d051fb,106,0,0
6d989cfffad12038576cd6a1f07dc3683c7f792a,106,0,0
5b8509436a60728d00b3344f3986fd8ea8a02cc0,107,0,0
56fb1a0aa2c49c0924ee8356b4b04864f2fc09e8,108,0,0
79bf1d54d698b0e5c636aea2fc0280714a28c3bf,108,0,0
8c98033b185bd65de7b2348ef430a065e34b4e7f,109,0,0
69e3a258b9c9b324e08ff5d1c6009bab2813c9a4,110,0,0
3216d082d1c992359cbc71f5078cbf03cd0e2b7e,111,0,0
f153ddf4d6d1ef4156dc62f184c9a8da64343250,109,0,0
f9a4f1f7bca2d33a13e6ffdd5ca1453fa73a5fa4,109,0,0
a621820685a68d51d822aed14786936fa7ce5cf6,125,0,0
764611455d1ef91e529ff37c83d3405709bb0fd7,125,0,0
177244775c5ac9f6e455fe8f736f85f2109d9bfb,125,0,0
0f4e19ff79912b8fe98a5c9836c4e276e3ff19d3,124,0,0
e1ea7ed088c597c12b994b868e58ac4c2d603d9c,124,0,0
5c574c519c1291734fde13bd0d1f9578919df4c1,124,0,0
291c4db43b1fe0cedb627fba15ca03cf506234d6,125,0,0
df4bf33252b496978afa125a6a4c525702085f8c,125,0,0
8627b033292f855fa3b5c59ad0687eeb95636955,125,0,0
14f4224b3b6a6a63cab7e1cd6099d6f9a4a12202,125,0,0
21e41175362cae9b8df32f605a11b7ca8279515a,129,0,0
42a8de9d5fc5381bf3f0ef37d555175357781d44,129,0,0
24dbda0a93a4f01720ac452d43b6057828bc8633,125,0,0
96117496c3f6ff47d675e571d024f6b3368ccafb,129,0,0
3f372ae368e5b3ff6ed9036c0c218cfea996514f,128,0,0
05090c5f2ee6c4c3d021bdb856d780e4a3ae7785,127,0,0
8524c5d79f85cbc5f4548813e6146e2aa3527da6,127,0,0
0e8a6cbcf55d3ca78bb77495e38dfbeacad8f20a,128,0,0
0a2d9b1393843770a5092de4484d5e631eece71d,128,0,0
1b7b385cb8907c7b57ecf3187075d03973e834b0,128,0,0
457f7302482971b08cb4a73d185374c6fe59c43b,128,0,0
91876efe4c3da198dc5da8277f9ed769f47a443b,129,0,0
9a670fb30aae8a4be65bb063d381d76bb5aaa9ec,129,0,0
097e49009b23d24092dfa358a51fd7ddc103c558,148,0,0
9f51a5c2d146e04bc687d4b4912f1bc488128117,148,0,0
4cb5a476a4bc7561d8236e26a90b523ad1532768,149,0,0
72576f5ce834a636526a4f3f38b807579a65e93e,149,0,0
51c04b049f0e51d345693b70d4a49659ae751efa,150,0,0
3fa55515cbb817b21c48b4430fd7e99464c728c7,150,0,0
7be36544a60c1894d2773f25bf0de27dcdaf7ab9,150,0,0
45c3a4224042204a9ec0e17039ed079fd724c465,152,0,0
5bd32810885e589a47d394d0900a7659938dae1f,152,0,0
3f247d4f1f4c610e0d6d3cf9794867d2c370a30c,152,0,0
42ba58f4f8b608ca0010d6d83058bce6b8b520c8,152,0,0
fc447b1b873a734b5fe7acbdfe4c95497178087a,155,0,0
6430ba31759c77c020a48964f9718d8e195a115a,155,0,0
b7dd836ad01c3fa315fe95f48496d874b4337939,155,0,0
1122352e81010a96fcabe13c6c4e8dc18f4c3b58,155,0,0
082a2d69d135b1bd343039c66758251a589981be,157,0,0
934ddf58e49943d7f37ce2176b518db52168580b,157,0,0
c23cccc41d69c94db89048257125e6cd58a8d71c,157,0,0
bf5f3e3680ae5220a2fdd487e0ac4f32dcf42859,157,0,0
bc08923c640e0ead73abb625889ae83e28f1556b,160,0,0
03f4f88fe8fd464b4657c898bb3e291fee2611a3,165,0,0
511c74a7ce8c62c992e7799423b143e86861bec3,159,0,0
8d060bf1a211de063ab0b83e59f02c0bb6373292,160,0,0
c0d9063f3b028a4810676d24fed974853e45370f,160,0,0
f86f9a318e8d72d020a065c36a707555eed81afa,160,0,0
eaf6771a4016baf3f5bfee6f7bf983cb80339051,160,0,0
