Project Name,Package Name,Architecture Smell,Cause of the Smell
real-logic_Aeron,io.aeron.samples.echo,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aeron.samples.echo; io.aeron
real-logic_Aeron,io.aeron.samples.echo,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aeron.samples.echo; io.aeron.logbuffer; io.aeron
real-logic_Aeron,io.aeron.samples.echo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ProvisioningMessage; Provisioning; CreateEchoPair; RemoveAllEchoPairs; ProvisioningServerMain; EchoPair]; [EchoPair.EchoMonitor]; [ProvisioningClientMain]. LCC (Lack of Component Cohesion) = 0.38
real-logic_Aeron,io.aeron.samples.archive,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aeron.samples.archive; io.aeron.archive
real-logic_Aeron,io.aeron.samples.archive,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aeron.samples.archive; io.aeron.test; io.aeron.test.cluster
real-logic_Aeron,io.aeron.samples.archive,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aeron.samples.archive; io.aeron.driver; io.aeron.test; io.aeron.test.cluster
real-logic_Aeron,io.aeron.samples.archive,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aeron.samples.archive; io.aeron.driver; io.aeron; io.aeron.test; io.aeron.test.cluster
real-logic_Aeron,io.aeron.samples.archive,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): io.aeron.samples
real-logic_Aeron,io.aeron.samples.archive,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ArchiveCreator]; [SampleAuthenticator]; [SampleAuthenticator.SessionState]; [IndexedReplicatedRecording]; [IndexedReplicatedRecording.Sequencer]; [IndexedReplicatedRecording.Indexer]; [SegmentInspector]; [EmbeddedReplayThroughputLhsPadding; EmbeddedReplayThroughputLhsPadding.EmbeddedReplayThroughputValue]; [EmbeddedReplayThroughputLhsPadding.EmbeddedReplayThroughput]; [EmbeddedRecordingThroughput; Samples]; [ReplayedBasicSubscriber]; [RecordingDescriptorCollector; RecordingDescriptor; RecordingDescriptorCollectorTest]; [RecordedBasicPublisher]; [SampleAuthenticatorSupplier]. LCC (Lack of Component Cohesion) = 0.78
real-logic_Aeron,io.aeron.archive,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 88
real-logic_Aeron,io.aeron.archive,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aeron.archive; io.aeron.samples.archive
real-logic_Aeron,io.aeron.archive,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aeron.archive; io.aeron.test; io.aeron.test.cluster
real-logic_Aeron,io.aeron.archive,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aeron.archive; io.aeron; io.aeron.test; io.aeron.test.cluster
real-logic_Aeron,io.aeron.archive,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aeron.archive; io.aeron; io.aeron.test; io.aeron.test.cluster; io.aeron.cluster
real-logic_Aeron,io.aeron.archive,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): io.aeron.samples.archive
real-logic_Aeron,io.aeron.archive.status,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aeron.archive.status; io.aeron; io.aeron.test; io.aeron.test.cluster
real-logic_Aeron,io.aeron.archive.status,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aeron.archive.status; io.aeron; io.aeron.test; io.aeron.test.cluster; io.aeron.cluster.service
real-logic_Aeron,io.aeron.archive.status,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): io.aeron
real-logic_Aeron,io.aeron.archive.client,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aeron.archive.client; io.aeron; io.aeron.test; io.aeron.test.cluster
real-logic_Aeron,io.aeron.archive.client,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.aeron.archive.client; io.aeron; io.aeron.test; io.aeron.test.cluster; io.aeron.cluster.service
real-logic_Aeron,io.aeron.archive.client,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): io.aeron
real-logic_Aeron,io.aeron.archive.client,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RecordingSubscriptionDescriptorPoller; RecordingSubscriptionDescriptorConsumer; ArchiveException; RecordingSignalConsumer; AeronArchive; AeronArchive.Configuration; AeronArchive.Context; RecordingSignalAdapter; ReplayParams; ControlEventListener; ControlResponsePoller; AeronArchiveTest; ArchiveProxy; ReplicationParams; AeronArchive.AsyncConnect; RecordingDescriptorPoller; RecordingDescriptorConsumer; ControlResponseListener; ControlResponseAdapter; ReplayMerge]; [RecordingEventsAdapter; RecordingEventsListener]; [RecordingEventsPoller]; [RecordingSignalPoller]; [ReplayMerge.State]; [ArchiveEvent]. LCC (Lack of Component Cohesion) = 0.23
real-logic_Aeron,io.aeron.archive.checksum,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Crc32c; Checksums; Checksum; ChecksumsTest; ChecksumsTest.TestChecksum; Crc32]; [Crc32Test]; [Crc32cTest]. LCC (Lack of Component Cohesion) = 0.38
real-logic_Aeron,io.aeron.agent,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 101
