Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
alexanderdean_Unified-Log-Processing,plum,Emailer,send,Long Statement,The length of the statement "Response resp=Mail.using(configuration).to(alert.recipient.email.toString()).subject(alert.notification.summary.toString()).text(alert.notification.detail.toString()).build().send();" is 182.,19
alexanderdean_Unified-Log-Processing,plum,ExecutorApp,main,Magic Number,The method contains a magic number: 2,7
alexanderdean_Unified-Log-Processing,plum,ExecutorApp,main,Magic Number,The method contains a magic number: 3,7
alexanderdean_Unified-Log-Processing,plum,Consumer,run,Magic Number,The method contains a magic number: 100,18
alexanderdean_Unified-Log-Processing,plum,IExecutor,createConfig,Magic Number,The method contains a magic number: 1000,18
alexanderdean_Unified-Log-Processing,plum,ExecutorApp,main,Magic Number,The method contains a magic number: 2,7
alexanderdean_Unified-Log-Processing,plum,ExecutorApp,main,Magic Number,The method contains a magic number: 3,7
alexanderdean_Unified-Log-Processing,plum,Consumer,run,Magic Number,The method contains a magic number: 100,18
alexanderdean_Unified-Log-Processing,plum,IExecutor,createConfig,Magic Number,The method contains a magic number: 1000,18
alexanderdean_Unified-Log-Processing,nile,FullProducer,process,Long Statement,The length of the statement "IProducer.write(this.producer`this.badTopic`"{\"error\": \"" + e.getClass().getSimpleName() + ": "+ e.getMessage()+ "\"}");" is 123.,28
alexanderdean_Unified-Log-Processing,nile,Consumer,run,Magic Number,The method contains a magic number: 100,18
alexanderdean_Unified-Log-Processing,nile,StreamApp,main,Magic Number,The method contains a magic number: 2,9
alexanderdean_Unified-Log-Processing,nile,StreamApp,main,Magic Number,The method contains a magic number: 3,9
alexanderdean_Unified-Log-Processing,nile,StreamApp,main,Magic Number,The method contains a magic number: 4,9
alexanderdean_Unified-Log-Processing,nile,StreamApp,main,Magic Number,The method contains a magic number: 5,9
alexanderdean_Unified-Log-Processing,nile,IProducer,createConfig,Magic Number,The method contains a magic number: 1000,18
alexanderdean_Unified-Log-Processing,nile,Consumer,run,Magic Number,The method contains a magic number: 100,18
alexanderdean_Unified-Log-Processing,nile,StreamApp,main,Magic Number,The method contains a magic number: 2,5
alexanderdean_Unified-Log-Processing,nile,StreamApp,main,Magic Number,The method contains a magic number: 3,5
alexanderdean_Unified-Log-Processing,nile,IProducer,createConfig,Magic Number,The method contains a magic number: 1000,18
alexanderdean_Unified-Log-Processing,hellocalculator,HelloCalculator,main,Magic Number,The method contains a magic number: 2,7
