Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
kuenishi_presto-riak,com.basho.riak.presto,RiakPartition,toString,Long Statement,The length of the statement "return Objects.toStringHelper(this).add("schemaName"`schemaName).add("tableName"`tableName).add("tupleDomain"`tupleDomain).add("indexColumns"`indexedColumns).toString();" is 169.,67
kuenishi_presto-riak,com.basho.riak.presto,RiakClient,RiakClient,Long Statement,The length of the statement "RiakNode node=new RiakNode.Builder().withRemoteAddress(hp.getHostText()).withRemotePort(hp.getPortOrDefault(config.getPort())).withMaxConnections(10).withConnectionTimeout(CONNECTION_TIMEOUT_MIL).build();" is 204.,66
kuenishi_presto-riak,com.basho.riak.presto,RiakClient,RiakClient,Magic Number,The method contains a magic number: 10,66
kuenishi_presto-riak,com.basho.riak.presto,DirectConnection,processSplitIndex,Long Parameter List,The method has 5 parameters. ,137
kuenishi_presto-riak,com.basho.riak.presto,RiakMetadata,getColumnMetadata,Long Statement,The length of the statement "checkArgument(((RiakTableHandle)tableHandle).getConnectorId().equals(connectorId)`"tableHandle is not for this connector");" is 123.,203
kuenishi_presto-riak,com.basho.riak.presto,CoverageRecordSet,CoverageRecordSet,Long Parameter List,The method has 5 parameters. ,46
kuenishi_presto-riak,com.basho.riak.presto,CoverageRecordCursor,fetchData,Complex Method,Cyclomatic complexity of the method is 9,99
kuenishi_presto-riak,com.basho.riak.presto,CoverageRecordCursor,fetchData,Empty catch clause,The method has an empty catch block.,99
kuenishi_presto-riak,com.basho.riak.presto,CoverageRecordCursor,buildQuery,Complex Method,Cyclomatic complexity of the method is 13,228
kuenishi_presto-riak,com.basho.riak.presto,RiakConnectorFactory,create,Long Statement,The length of the statement "Injector injector=app.strictConfig().doNotInitializeLogging().setRequiredConfigurationProperties(requiredConfig).setOptionalConfigurationProperties(optionalConfig).initialize();" is 177.,45
kuenishi_presto-riak,com.basho.riak.presto,InternalRiakObject,InternalRiakObject,Magic Number,The method contains a magic number: 2,38
kuenishi_presto-riak,com.basho.riak.presto,InternalRiakObject,InternalRiakObject,Magic Number,The method contains a magic number: 3,38
kuenishi_presto-riak,com.basho.riak.presto,InternalRiakObject,InternalRiakObject,Magic Number,The method contains a magic number: 2,38
kuenishi_presto-riak,com.basho.riak.presto,RiakConfig,parsePort,Complex Method,Cyclomatic complexity of the method is 8,40
kuenishi_presto-riak,com.basho.riak.presto,RiakConfig,parsePort,Magic Number,The method contains a magic number: 8087,40
kuenishi_presto-riak,com.basho.riak.presto,RiakConfig,parsePort,Magic Number,The method contains a magic number: 10017,40
kuenishi_presto-riak,com.basho.riak.presto,RiakConfig,parsePort,Magic Number,The method contains a magic number: 10027,40
kuenishi_presto-riak,com.basho.riak.presto,RiakConfig,parsePort,Magic Number,The method contains a magic number: 10037,40
kuenishi_presto-riak,com.basho.riak.presto,RiakConfig,parsePort,Magic Number,The method contains a magic number: 10047,40
kuenishi_presto-riak,com.basho.riak.presto,RiakConfig,parsePort,Magic Number,The method contains a magic number: 10057,40
kuenishi_presto-riak,com.basho.riak.presto,RiakConfig,parsePort,Magic Number,The method contains a magic number: 10067,40
kuenishi_presto-riak,com.basho.riak.presto,Coverage,plan,Magic Number,The method contains a magic number: 9979,39
kuenishi_presto-riak,com.basho.riak.presto,RiakSplitManager,getPartitions,Long Statement,The length of the statement "List<ConnectorPartition> partitions=ImmutableList.<ConnectorPartition>of(new RiakPartition(riakTableHandle.getSchemaName()`riakTableHandle.getTableName()`tupleDomain`indexedColumns));" is 183.,50
kuenishi_presto-riak,com.basho.riak.presto,RiakSplitManager,getPartitionSplits,Long Statement,The length of the statement "CoverageSplit coverageSplit=new CoverageSplit(riakTableHandle`table`split.getHost()`split.toString()`partition.getTupleDomain());" is 129.,87
kuenishi_presto-riak,com.basho.riak.presto,RiakHandleResolver,canHandle,Long Statement,The length of the statement "return columnHandle instanceof RiakColumnHandle && ((RiakColumnHandle)columnHandle).getConnectorId().equals(connectorId);" is 121.,62
kuenishi_presto-riak,com.basho.riak.presto,TestSplitTask,testEncode,Magic Number,The method contains a magic number: 12,25
